,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,59.12,91.5,53.32,93.63,46.82,71.63,43.56,75.79,60.48,74.37,67.02
ROS,63.91,92.86,64.42,95.36,58.18,78.48,48.99,75.59,61.73,67.6,70.71
RUS,71.18,96.64,68.27,98.44,66.41,78.06,52.35,76.01,67.58,74.54,74.95
Smote,62.27,92.12,62.36,94.84,55.21,76.59,46.95,76.28,60.94,70.42,69.8
Bag,55.94,91.55,54.82,93.51,48.57,75.53,42.45,77.1,66.54,62.48,66.85
ROSBag,65.22,93.32,64.55,95.58,58.87,85.96,51.65,79.13,65.15,69.07,72.85
RUSBag,77.23,96.62,70.96,99.62,71.12,84.53,56.19,78.62,73.38,76.66,78.49
SmoteBag,64.34,92.32,62.32,94.93,56.81,82.0,48.4,78.7,62.59,72.62,71.5
Boost,60.21,92.91,59.37,94.68,52.11,86.42,45.03,80.19,64.27,76.91,71.21
ROSBoost,58.94,92.89,59.37,94.24,52.69,86.01,45.24,79.56,62.0,66.89,69.78
RUSBoost,65.0,94.3,62.5,95.6,60.55,86.65,48.02,79.84,61.55,66.85,72.09
SmoteBoost,60.12,92.66,60.64,94.53,53.96,86.23,46.21,79.79,60.6,69.6,70.43

