,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,62.83,87.42,18.05,84.38,54.35,46.52,44.78,60.19,68.92,69.31,59.67
ROS,64.1,86.15,19.39,86.47,54.55,46.53,44.89,60.96,68.61,63.79,59.54
RUS,62.93,80.44,20.24,85.93,55.68,47.17,45.1,60.84,67.97,62.44,58.87
Smote,58.2,87.0,21.75,86.08,51.52,63.54,46.42,56.85,63.79,52.85,58.8
Bag,62.84,88.61,17.69,85.63,54.32,47.03,44.23,60.35,68.54,78.93,60.82
ROSBag,64.31,87.69,18.94,85.43,55.13,48.23,45.33,61.52,67.68,66.51,60.08
RUSBag,63.85,85.27,19.82,85.28,55.94,48.63,46.16,61.29,68.23,61.26,59.57
SmoteBag,58.2,87.14,21.23,86.25,51.44,63.7,46.72,56.85,63.76,54.26,58.95
Boost,68.32,88.15,18.44,88.98,54.32,46.6,46.72,60.19,68.85,56.81,59.74
ROSBoost,66.27,85.99,21.51,91.64,54.41,45.67,45.32,60.78,69.83,62.69,60.41
RUSBoost,66.86,85.84,22.25,91.98,55.22,45.98,45.01,60.7,69.84,61.22,60.49
SmoteBoost,63.74,86.85,18.89,92.28,49.79,52.24,46.98,57.77,64.9,53.95,58.74

