,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,50.13,87.45,51.12,93.74,54.72,80.34,37.68,77.16,73.95,64.08,67.04
ROS,61.11,90.91,59.7,95.68,56.28,81.26,45.04,76.94,60.82,65.77,69.35
RUS,68.6,92.37,66.62,97.89,66.93,84.46,47.93,77.95,65.39,72.1,74.02
Smote,56.98,88.71,57.94,94.81,54.85,83.51,45.34,77.76,66.98,66.05,69.29
Bag,50.49,88.16,50.74,93.79,51.32,79.84,38.95,77.58,75.53,59.73,66.61
ROSBag,65.09,94.66,63.08,96.18,60.6,87.3,48.15,79.83,63.18,68.75,72.68
RUSBag,75.47,94.54,71.12,98.77,71.3,88.56,49.87,80.1,70.95,77.3,77.8
SmoteBag,60.98,92.01,60.15,95.33,58.44,86.96,48.71,79.9,66.97,65.33,71.48
Boost,53.77,90.33,55.11,94.19,50.47,85.53,41.67,79.41,71.94,67.11,68.95
ROSBoost,54.35,90.69,55.77,94.68,49.79,85.67,41.59,79.92,70.82,72.97,69.63
RUSBoost,54.5,90.71,55.17,95.2,51.14,85.52,41.71,79.88,70.95,66.01,69.08
SmoteBoost,54.42,90.94,56.07,94.67,50.3,85.64,41.84,79.96,71.84,70.66,69.63

