,,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,R1,7.0,6.0,7.0,9.0,8.0,7.0,4.0,6.0,7.0,3.0,6.4
,P1,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.6
,F1,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0
,AUC,2.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,3.3
ROS,R1,4.0,3.0,4.0,4.0,5.0,6.0,2.0,5.0,4.0,2.0,3.9
,P1,4.0,7.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.7
,F1,2.0,2.0,3.0,3.0,2.0,6.0,3.0,4.0,2.0,3.0,3.0
,AUC,2.0,3.0,3.0,4.0,2.0,6.0,3.0,5.0,3.0,3.0,3.4
RUS,R1,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,2.1
,P1,5.0,9.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,4.0,6.1
,F1,3.0,2.0,4.0,5.0,3.0,7.0,3.0,4.0,2.0,2.0,3.5
,AUC,3.0,4.0,4.0,5.0,2.0,7.0,3.0,5.0,3.0,3.0,3.9
Smote,R1,5.0,5.0,5.0,6.0,5.0,5.0,2.0,5.0,5.0,3.0,4.6
,P1,3.0,6.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.5
,F1,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.7
,AUC,2.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0
Bag,R1,7.0,6.0,7.0,8.0,8.0,7.0,3.0,5.0,7.0,3.0,6.1
,P1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.2
,F1,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.2
,AUC,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.6
ROSBag,R1,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.4
,P1,4.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.3
,F1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.3
,AUC,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.4
RUSBag,R1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,P1,5.0,8.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,5.8
,F1,1.0,1.0,3.0,5.0,2.0,5.0,2.0,3.0,1.0,1.0,2.4
,AUC,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.5
SmoteBag,R1,4.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,4.0,2.0,3.2
,P1,3.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.3
,F1,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.4
,AUC,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.4
Boost,R1,6.0,5.0,6.0,8.0,7.0,4.0,3.0,4.0,6.0,3.0,5.2
,P1,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.1
,F1,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,2.9
,AUC,3.0,4.0,6.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.5
ROSBoost,R1,6.0,5.0,6.0,7.0,7.0,4.0,3.0,3.0,6.0,3.0,5.0
,P1,2.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.3
,F1,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.9
,AUC,3.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.4
RUSBoost,R1,6.0,4.0,6.0,6.0,6.0,4.0,3.0,3.0,6.0,3.0,4.7
,P1,2.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,2.7
,F1,3.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.8
,AUC,3.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.3
SmoteBoost,R1,6.0,4.0,6.0,7.0,7.0,4.0,3.0,3.0,6.0,3.0,4.9
,P1,2.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.3
,F1,3.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.8
,AUC,3.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.5
