,,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,R1,4.0,5.0,8.0,6.0,7.0,7.0,6.0,6.0,4.0,2.0,5.5
,P1,2.0,2.0,2.0,1.0,2.0,6.0,2.0,5.0,3.0,1.0,2.6
,F1,3.0,3.0,5.0,4.0,4.0,7.0,4.0,6.0,4.0,2.0,4.2
,AUC,4.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,4.6
ROS,R1,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,1.0,3.1
,P1,5.0,5.0,8.0,3.0,6.0,9.0,4.0,7.0,7.0,5.0,5.9
,F1,3.0,2.0,5.0,4.0,4.0,7.0,4.0,7.0,5.0,3.0,4.4
,AUC,6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,6.3
RUS,R1,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0
,P1,7.0,7.0,10.0,4.0,8.0,10.0,5.0,8.0,7.0,5.0,7.1
,F1,3.0,3.0,6.0,5.0,5.0,8.0,4.0,7.0,4.0,2.0,4.7
,AUC,4.0,4.0,6.0,6.0,4.0,8.0,5.0,5.0,5.0,4.0,5.1
Smote,R1,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,3.8
,P1,4.0,4.0,6.0,2.0,4.0,7.0,3.0,6.0,3.0,3.0,4.2
,F1,3.0,3.0,3.0,4.0,3.0,6.0,4.0,6.0,3.0,2.0,3.7
,AUC,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,3.0,4.6
Bag,R1,5.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,3.0,5.6
,P1,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.4
,F1,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.3
,AUC,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.9
ROSBag,R1,2.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,2.1
,P1,4.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,4.0,3.0,3.5
,F1,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.6
,AUC,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.8
RUSBag,R1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,P1,6.0,6.0,9.0,4.0,7.0,8.0,4.0,6.0,6.0,4.0,6.0
,F1,1.0,1.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,1.0,2.7
,AUC,1.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.9
SmoteBag,R1,2.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,3.2
,P1,3.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.9
,F1,2.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.1
,AUC,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.9
Boost,R1,4.0,4.0,6.0,5.0,6.0,1.0,5.0,1.0,4.0,3.0,3.9
,P1,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0
,F1,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,4.0,2.4
,AUC,3.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.5
ROSBoost,R1,4.0,4.0,6.0,5.0,6.0,2.0,5.0,2.0,4.0,3.0,4.1
,P1,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,2.3
,F1,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,5.0,4.0,2.8
,AUC,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.7
RUSBoost,R1,2.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,2.5
,P1,3.0,5.0,7.0,2.0,5.0,2.0,3.0,2.0,5.0,4.0,3.8
,F1,2.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,3.0,2.6
,AUC,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.8
SmoteBoost,R1,4.0,4.0,5.0,5.0,6.0,2.0,5.0,2.0,4.0,3.0,4.0
,P1,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,2.2
,F1,3.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,2.6
,AUC,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.6
