,,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,R1,1.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0
,P1,3.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.1
,F1,1.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
,AUC,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.9
ROS,R1,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.6
,P1,5.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.5
,F1,2.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
,AUC,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.2
RUS,R1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.3
,P1,5.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.9
,F1,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.9
,AUC,2.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.3
Smote,R1,2.0,3.0,4.0,2.0,3.0,5.0,1.0,5.0,1.0,1.0,2.7
,P1,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.6
,F1,2.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,2.8
,AUC,1.0,5.0,1.0,5.0,3.0,1.0,4.0,3.0,1.0,1.0,2.5
Bag,R1,1.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.9
,P1,4.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
,F1,2.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
,AUC,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.6
ROSBag,R1,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4
,P1,5.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.4
,F1,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.8
,AUC,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.7
RUSBag,R1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2
,P1,5.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.7
,F1,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5
,AUC,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1
SmoteBag,R1,2.0,3.0,4.0,2.0,3.0,5.0,1.0,5.0,1.0,1.0,2.7
,P1,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.6
,F1,2.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,2.8
,AUC,1.0,5.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,1.0,2.4
Boost,R1,1.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0
,P1,5.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.3
,F1,1.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.9
,AUC,2.0,4.0,7.0,3.0,4.0,3.0,4.0,6.0,4.0,1.0,3.8
ROSBoost,R1,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.6
,P1,5.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,2.4
,F1,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.8
,AUC,2.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,3.2
RUSBoost,R1,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.4
,P1,5.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,2.5
,F1,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.6
,AUC,2.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,3.2
SmoteBoost,R1,1.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,2.4
,P1,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.7
,F1,1.0,4.0,5.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,2.5
,AUC,1.0,4.0,6.0,1.0,5.0,3.0,3.0,4.0,2.0,2.0,3.1
