,,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,R1,4.0,4.0,4.0,6.0,3.0,4.0,4.0,3.0,5.0,4.0,4.1
,P1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1
,F1,1.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,3.6
,AUC,7.0,5.0,6.0,6.0,6.0,9.0,6.0,7.0,7.0,5.0,6.4
ROS,R1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.4
,P1,5.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,3.7
,F1,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.4
,AUC,6.0,4.0,4.0,4.0,4.0,7.0,5.0,5.0,6.0,4.0,4.9
RUS,R1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.2
,P1,6.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,6.0,2.0,4.2
,F1,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5
,AUC,6.0,4.0,4.0,4.0,4.0,7.0,4.0,6.0,6.0,4.0,4.9
Smote,R1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.3
,P1,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,5.0,2.0,3.9
,F1,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.3
,AUC,5.0,4.0,4.0,4.0,4.0,7.0,5.0,5.0,5.0,4.0,4.7
Bag,R1,4.0,4.0,3.0,6.0,3.0,5.0,4.0,3.0,5.0,4.0,4.1
,P1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,F1,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.6
,AUC,4.0,4.0,5.0,5.0,5.0,8.0,3.0,5.0,6.0,4.0,4.9
ROSBag,R1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.4
,P1,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.2
,F1,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.3
,AUC,3.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,2.6
RUSBag,R1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.2
,P1,6.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,3.8
,F1,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5
,AUC,3.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,2.8
SmoteBag,R1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.3
,P1,5.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,3.7
,F1,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.3
,AUC,4.0,3.0,3.0,4.0,3.0,6.0,3.0,4.0,4.0,3.0,3.7
Boost,R1,3.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,3.2
,P1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.8
,F1,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.4
,AUC,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.7
ROSBoost,R1,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.9
,P1,3.0,3.0,3.0,3.0,4.0,3.0,6.0,3.0,3.0,2.0,3.3
,F1,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.9
,AUC,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.5
RUSBoost,R1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.5
,P1,5.0,4.0,3.0,4.0,4.0,4.0,6.0,3.0,3.0,2.0,3.8
,F1,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.8
,AUC,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.5
SmoteBoost,R1,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0
,P1,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.3
,F1,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.8
,AUC,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.3
