project, method, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 57.6, 79.3, 66.7,90.5
,ROS, 71.3, 69.0, 70.1,90.6
,RUS, 81.2, 59.1, 68.4,90.2
,Smote, 66.5, 73.0, 69.6,90.8
,Bag, 59.0, 81.7, 68.5,92.8
,ROSBag, 76.3, 69.4, 72.6,93.1
,RUSBag, 89.0, 60.1, 71.7,93.1
,SmoteBag, 71.4, 73.9, 72.6,93.0
,Boost, 62.1, 77.9, 69.1,89.5
,ROSBoost, 62.7, 76.4, 68.9,89.9
,RUSBoost, 63.1, 75.9, 68.9,89.9
,SmoteBoost, 63.0, 76.7, 69.2,89.8

MyBuck,Simple, 30.2, 68.8, 41.9,84.6
,ROS, 47.2, 53.4, 50.0,85.1
,RUS, 73.3, 38.2, 50.2,84.3
,Smote, 40.1, 55.8, 46.6,84.3
,Bag, 29.8, 76.2, 42.8,88.9
,ROSBag, 54.9, 56.5, 55.7,88.3
,RUSBag, 82.7, 39.9, 53.9,88.3
,SmoteBag, 45.8, 58.7, 51.5,87.5
,Boost, 38.9, 66.2, 48.9,83.7
,ROSBoost, 40.0, 65.1, 49.5,84.6
,RUSBoost, 42.1, 63.2, 50.5,84.8
,SmoteBoost, 40.9, 64.8, 50.1,84.4

MyFlink,Simple, 51.5, 84.3, 63.9,88.7
,ROS, 62.7, 69.6, 65.9,89.3
,RUS, 75.5, 54.2, 63.1,88.8
,Smote, 59.8, 73.7, 66.0,89.2
,Bag, 51.3, 89.1, 65.1,91.6
,ROSBag, 67.2, 72.0, 69.5,91.9
,RUSBag, 82.2, 54.1, 65.3,91.5
,SmoteBag, 62.9, 74.8, 68.3,91.6
,Boost, 55.5, 81.5, 66.0,87.5
,ROSBoost, 56.2, 79.4, 65.8,88.2
,RUSBoost, 55.6, 78.7, 65.1,88.2
,SmoteBoost, 56.6, 79.3, 66.0,88.0

MyHadoop,Simple, 65.6, 76.6, 70.6,95.4
,ROS, 79.1, 68.2, 73.3,95.7
,RUS, 92.3, 52.6, 67.0,95.4
,Smote, 72.9, 71.5, 72.2,95.7
,Bag, 67.8, 77.4, 72.2,97.1
,ROSBag, 83.3, 70.0, 76.1,96.9
,RUSBag, 97.2, 50.6, 66.5,96.7
,SmoteBag, 76.4, 72.0, 74.1,96.9
,Boost, 67.8, 76.3, 71.8,95.3
,ROSBoost, 69.5, 75.7, 72.4,95.7
,RUSBoost, 73.3, 73.5, 73.4,96.1
,SmoteBoost, 69.7, 75.5, 72.5,95.4

MyItextpdf,Simple, 44.0, 71.1, 54.3,86.5
,ROS, 58.7, 59.7, 59.1,87.1
,RUS, 75.9, 45.1, 56.5,86.5
,Smote, 56.7, 63.4, 59.8,87.3
,Bag, 46.1, 74.6, 57.0,89.5
,ROSBag, 63.7, 61.4, 62.5,89.7
,RUSBag, 81.9, 47.0, 59.7,89.7
,SmoteBag, 61.1, 64.7, 62.8,89.8
,Boost, 47.6, 69.0, 56.3,83.9
