project, method, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 68.4, 70.9, 69.6,85.9
,ROS, 74.4, 64.3, 69.0,82.1
,RUS, 83.3, 59.3, 69.3,86.2
,Smote, 72.3, 68.1, 70.1,84.3
,Bag, 65.8, 75.8, 70.4,92.5
,ROSBag, 76.3, 67.4, 71.6,92.2
,RUSBag, 89.4, 61.8, 73.1,93.1
,SmoteBag, 74.8, 69.5, 72.0,92.1
,Boost, 69.9, 72.9, 71.3,91.4
,ROSBoost, 68.3, 72.3, 70.2,91.0
,RUSBoost, 75.8, 68.6, 72.0,91.4
,SmoteBoost, 69.7, 71.9, 70.8,91.2

MyBuck,Simple, 47.7, 61.5, 53.6,83.0
,ROS, 60.8, 49.3, 54.4,75.7
,RUS, 78.9, 38.9, 52.1,83.8
,Smote, 52.2, 52.7, 52.4,82.3
,Bag, 43.4, 69.0, 53.2,90.0
,ROSBag, 58.5, 56.0, 57.2,89.1
,RUSBag, 85.0, 41.6, 55.8,90.5
,SmoteBag, 51.9, 56.6, 54.2,88.9
,Boost, 50.4, 62.1, 55.6,87.6
,ROSBoost, 50.2, 62.5, 55.6,87.5
,RUSBoost, 61.0, 50.4, 55.1,86.7
,SmoteBoost, 50.8, 61.2, 55.5,87.6

MyFlink,Simple, 54.2, 76.1, 63.3,84.5
,ROS, 69.2, 56.9, 62.4,78.9
,RUS, 79.4, 46.9, 58.9,83.9
,Smote, 66.5, 63.5, 64.9,84.6
,Bag, 55.7, 79.9, 65.6,90.4
,ROSBag, 68.5, 67.7, 68.1,90.8
,RUSBag, 83.2, 50.5, 62.9,90.1
,SmoteBag, 66.4, 68.0, 67.2,90.5
,Boost, 60.9, 73.2, 66.4,88.8
,ROSBoost, 61.0, 70.9, 65.5,88.7
,RUSBoost, 66.7, 61.4, 63.9,87.6
,SmoteBoost, 62.8, 70.0, 66.2,89.0

MyHadoop,Simple, 66.0, 74.2, 69.8,93.4
,ROS, 80.2, 63.0, 70.5,87.3
,RUS, 94.8, 47.8, 63.5,92.4
,Smote, 72.7, 67.9, 70.2,93.7
,Bag, 67.8, 76.7, 72.0,96.8
,ROSBag, 83.0, 68.6, 75.1,96.2
,RUSBag, 99.0, 45.5, 62.3,95.7
,SmoteBag, 73.7, 69.1, 71.3,96.3
,Boost, 71.3, 75.0, 73.1,96.4
,ROSBoost, 71.2, 74.0, 72.5,96.3
,RUSBoost, 78.7, 68.6, 73.3,96.3
,SmoteBoost, 70.9, 73.8, 72.3,96.3

MyItextpdf,Simple, 47.4, 63.0, 54.0,78.0
,ROS, 62.0, 48.9, 54.6,75.5
,RUS, 76.4, 39.8, 52.3,80.9
,Smote, 58.3, 55.2, 56.7,79.8
,Bag, 49.2, 70.0, 57.8,88.2
,ROSBag, 62.2, 59.5, 60.8,88.7
,RUSBag, 82.3, 44.5, 57.7,89.2
,SmoteBag, 60.1, 61.3, 60.7,88.1
,Boost, 53.7, 63.8, 58.3,86.0
,ROSBoost, 54.3, 62.6, 58.1,86.5
,RUSBoost, 64.9, 53.5, 58.6,86.2
,SmoteBoost, 55.8, 62.5, 58.9,86.8

MyJedit,Simple, 72.9, 78.6, 75.6,89.2
,ROS, 81.4, 70.2, 75.4,86.1
,RUS, 82.3, 61.8, 70.6,84.4
,Smote, 78.4, 76.3, 77.3,89.9
,Bag, 76.5, 86.3, 81.1,94.2
,ROSBag, 88.3, 83.8, 86.0,95.2
,RUSBag, 88.5, 71.9, 79.3,93.5
,SmoteBag, 83.7, 84.8, 84.3,94.7
,Boost, 88.1, 89.6, 88.8,95.1
,ROSBoost, 87.7, 89.3, 88.5,94.9
,RUSBoost, 88.6, 87.9, 88.2,94.7
,SmoteBoost, 87.9, 89.4, 88.6,95.0

MyLucene,Simple, 57.3, 66.5, 61.5,82.5
,ROS, 67.7, 56.1, 61.3,77.9
,RUS, 78.0, 50.9, 61.6,80.9
,Smote, 63.1, 60.6, 61.8,79.5
,Bag, 57.3, 75.1, 65.0,88.4
,ROSBag, 71.9, 65.7, 68.6,89.5
,RUSBag, 83.1, 57.6, 68.0,90.0
,SmoteBag, 65.7, 66.2, 65.9,87.4
,Boost, 59.0, 67.7, 63.1,85.7
,ROSBoost, 58.6, 66.8, 62.4,85.3
,RUSBoost, 64.1, 61.4, 62.7,84.7
,SmoteBoost, 60.1, 66.3, 63.0,85.5

MySynapse,Simple, 87.3, 88.0, 87.6,95.0
,ROS, 88.6, 83.6, 86.0,91.7
,RUS, 89.8, 82.4, 85.9,93.5
,Smote, 88.8, 86.2, 87.5,94.7
,Bag, 88.7, 91.2, 90.0,97.9
,ROSBag, 92.9, 88.9, 90.8,98.1
,RUSBag, 92.8, 86.2, 89.4,97.7
,SmoteBag, 91.5, 89.5, 90.5,97.8
,Boost, 93.1, 93.6, 93.3,98.4
,ROSBoost, 92.3, 92.7, 92.5,98.2
,RUSBoost, 93.0, 92.3, 92.6,98.2
,SmoteBoost, 92.6, 93.1, 92.8,98.3

MyTomcat,Simple, 55.7, 63.1, 59.1,74.2
,ROS, 63.5, 52.4, 57.4,71.3
