project, methodName, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 73.9, 64.8, 69.1,90.3
,ROS, 75.7, 61.0, 67.5,89.6
,RUS, 74.7, 59.6, 66.3,89.0
,Smote, 66.8, 69.5, 68.1,90.1
,Bag, 74.3, 62.9, 68.1,90.6
,ROSBag, 75.9, 61.5, 67.9,90.7
,RUSBag, 75.5, 60.9, 67.4,90.2
,SmoteBag, 66.9, 69.4, 68.1,90.2
,Boost, 80.9, 60.4, 69.1,89.4
,ROSBoost, 78.1, 61.3, 68.7,89.6
,RUSBoost, 78.9, 60.8, 68.6,89.5
,SmoteBoost, 74.0, 67.1, 70.3,90.2

MyBuck,Simple, 60.7, 39.6, 47.9,81.9
,ROS, 63.8, 38.7, 48.2,82.4
,RUS, 64.5, 38.1, 47.9,82.2
,Smote, 55.4, 35.3, 43.1,75.2
,Bag, 64.4, 39.6, 49.0,83.7
,ROSBag, 64.5, 39.1, 48.7,83.5
,RUSBag, 65.5, 38.8, 48.8,83.1
,SmoteBag, 55.4, 35.4, 43.2,75.7
,Boost, 59.0, 38.4, 46.5,78.9
,ROSBoost, 59.7, 39.2, 47.3,79.8
,RUSBoost, 61.2, 39.4, 48.0,80.6
,SmoteBoost, 44.1, 39.1, 41.4,78.9

MyFlink,Simple, 18.7, 42.3, 25.9,66.3
,ROS, 20.7, 41.9, 27.7,65.2
,RUS, 22.5, 41.7, 29.2,65.1
,Smote, 16.0, 44.4, 23.5,72.6
,Bag, 18.6, 43.0, 26.0,71.2
,ROSBag, 20.2, 41.9, 27.2,67.3
,RUSBag, 22.4, 42.6, 29.3,67.0
,SmoteBag, 16.0, 43.8, 23.4,72.9
,Boost, 19.0, 43.0, 26.4,64.9
,ROSBoost, 22.6, 44.9, 30.0,64.9
,RUSBoost, 23.8, 45.0, 31.1,65.6
,SmoteBoost, 17.1, 44.5, 24.7,66.8

MyHadoop,Simple, 43.3, 61.3, 50.7,93.8
,ROS, 47.6, 63.5, 54.4,94.1
,RUS, 54.2, 60.7, 57.2,93.9
,Smote, 54.4, 62.3, 58.1,92.4
,Bag, 47.4, 64.8, 54.8,94.0
,ROSBag, 47.7, 63.6, 54.5,93.8
,RUSBag, 54.1, 61.4, 57.5,93.6
,SmoteBag, 54.5, 62.5, 58.2,92.6
,Boost, 49.6, 67.6, 57.1,94.2
,ROSBoost, 63.2, 66.7, 64.8,94.9
,RUSBoost, 64.1, 66.4, 65.2,94.9
,SmoteBoost, 64.4, 69.1, 66.6,95.3

MyItextpdf,Simple, 57.0, 50.9, 53.8,79.9
,ROS, 58.1, 49.0, 53.2,79.4
