project, methodName, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 61.9, 84.7, 71.5,79.2
,ROS, 81.0, 60.8, 69.4,82.2
,RUS, 87.1, 54.6, 67.1,82.1
,Smote, 83.5, 61.4, 70.7,83.5
,Bag, 59.9, 85.1, 70.3,86.5
,ROSBag, 81.8, 62.8, 71.1,88.7
,RUSBag, 87.9, 55.9, 68.3,88.9
,SmoteBag, 83.5, 62.0, 71.1,86.4
,Boost, 67.7, 75.7, 71.4,91.0
,ROSBoost, 72.6, 64.1, 68.1,90.2
,RUSBoost, 79.2, 61.5, 69.2,90.4
,SmoteBoost, 73.6, 65.3, 69.2,90.5

MyBuck,Simple, 21.8, 64.4, 32.6,59.8
,ROS, 64.1, 40.8, 49.9,73.8
,RUS, 65.1, 39.9, 49.5,73.9
,Smote, 63.3, 40.8, 49.6,73.5
,Bag, 21.0, 68.7, 32.1,74.7
,ROSBag, 63.3, 42.2, 50.6,80.0
,RUSBag, 64.0, 40.4, 49.5,80.0
,SmoteBag, 62.8, 41.3, 49.9,77.2
,Boost, 35.4, 59.5, 44.3,81.2
,ROSBoost, 47.6, 43.1, 45.2,80.3
,RUSBoost, 57.3, 40.7, 47.6,81.4
,SmoteBoost, 47.7, 43.8, 45.7,80.8

MyFlink,Simple, 9.6, 71.7, 16.9,54.3
,ROS, 60.9, 52.7, 56.5,73.5
,RUS, 60.6, 52.5, 56.2,73.3
,Smote, 61.7, 52.1, 56.5,73.7
,Bag, 14.6, 70.0, 24.0,71.0
,ROSBag, 61.0, 53.1, 56.8,75.3
,RUSBag, 60.7, 52.8, 56.5,75.1
,SmoteBag, 61.8, 52.4, 56.7,74.5
,Boost, 31.1, 64.4, 41.9,77.8
,ROSBoost, 57.8, 53.8, 55.7,77.3
,RUSBoost, 57.4, 54.1, 55.7,77.1
,SmoteBoost, 58.4, 53.6, 55.9,77.1

MyHadoop,Simple, 43.3, 77.8, 55.6,70.7
,ROS, 99.6, 45.1, 62.1,90.7
,RUS, 99.6, 44.8, 61.8,90.6
,Smote, 98.8, 45.1, 61.9,90.4
,Bag, 48.8, 80.2, 60.6,85.5
,ROSBag, 99.7, 45.2, 62.2,90.9
,RUSBag, 99.6, 44.8, 61.8,91.1
,SmoteBag, 98.8, 45.1, 61.9,90.5
,Boost, 59.1, 78.2, 67.3,95.7
,ROSBoost, 87.6, 57.7, 69.5,96.3
,RUSBoost, 93.8, 50.5, 65.6,96.1
,SmoteBoost, 85.6, 58.4, 69.4,96.2

MyItextpdf,Simple, 28.9, 64.4, 39.8,62.9
,ROS, 61.2, 47.8, 53.6,74.2
,RUS, 58.4, 47.9, 52.7,73.1
,Smote, 61.1, 47.4, 53.4,74.0
,Bag, 26.6, 63.4, 37.4,71.5
,ROSBag, 60.8, 48.8, 54.1,78.8
,RUSBag, 58.2, 49.6, 53.5,77.8
,SmoteBag, 60.8, 47.6, 53.4,76.3
,Boost, 41.2, 61.3, 49.3,75.9
,ROSBoost, 57.8, 46.8, 51.7,77.9
,RUSBoost, 56.7, 47.5, 51.7,77.5
,SmoteBoost, 56.9, 47.2, 51.6,77.8

MyJedit,Simple, 22.6, 73.4, 34.6,59.5
,ROS, 62.6, 49.7, 55.4,67.3
,RUS, 62.6, 49.8, 55.5,67.4
,Smote, 63.2, 50.1, 55.9,67.7
,Bag, 21.3, 74.6, 33.1,65.6
,ROSBag, 62.5, 50.3, 55.7,71.3
,RUSBag, 62.3, 50.3, 55.6,70.4
,SmoteBag, 63.0, 50.3, 56.0,68.9
,Boost, 30.9, 67.5, 42.3,73.9
,ROSBoost, 64.1, 49.6, 55.9,75.5
,RUSBoost, 65.3, 48.8, 55.9,74.6
,SmoteBoost, 64.5, 49.1, 55.7,75.1

MyLucene,Simple, 44.6, 77.5, 56.6,70.2
,ROS, 65.3, 59.1, 62.1,75.5
,RUS, 70.5, 59.7, 64.6,77.6
,Smote, 66.4, 60.0, 63.0,76.1
,Bag, 42.2, 77.6, 54.6,80.0
,ROSBag, 65.2, 60.8, 63.0,81.8
,RUSBag, 70.8, 61.4, 65.7,82.1
,SmoteBag, 66.0, 60.5, 63.1,79.1
,Boost, 49.7, 71.1, 58.4,82.8
,ROSBoost, 57.4, 56.4, 56.9,82.2
,RUSBoost, 64.0, 55.6, 59.5,83.2
,SmoteBoost, 57.7, 57.8, 57.7,82.9

MySynapse,Simple, 55.7, 86.0, 67.6,75.0
,ROS, 68.3, 80.9, 74.0,79.1
,RUS, 67.4, 80.2, 73.3,78.5
,Smote, 68.8, 81.1, 74.5,79.4
,Bag, 56.3, 86.2, 68.1,79.4
,ROSBag, 68.6, 81.4, 74.4,81.0
,RUSBag, 66.9, 80.4, 73.1,80.0
,SmoteBag, 68.7, 81.2, 74.5,79.9
,Boost, 57.7, 85.5, 68.9,87.7
,ROSBoost, 69.6, 80.3, 74.5,88.5
,RUSBoost, 68.5, 80.2, 73.9,88.3
,SmoteBoost, 68.7, 80.6, 74.2,88.2

MyTomcat,Simple, 28.7, 88.9, 43.4,63.6
,ROS, 60.8, 57.1, 58.8,71.1
,RUS, 68.9, 51.9, 59.1,71.4
,Smote, 66.2, 55.8, 60.5,72.4
,Bag, 28.4, 89.4, 43.1,70.8
,ROSBag, 61.0, 59.4, 60.2,77.1
,RUSBag, 67.6, 55.0, 60.6,77.7
,SmoteBag, 65.4, 56.9, 60.8,75.6
,Boost, 43.0, 73.8, 54.3,78.4
,ROSBoost, 58.4, 59.4, 58.9,79.5
,RUSBoost, 60.3, 57.9, 59.0,79.6
,SmoteBoost, 60.2, 58.3, 59.2,79.6

MyVoldemort,Simple, 25.4, 84.7, 39.1,61.8
,ROS, 51.5, 56.0, 53.7,67.5
,RUS, 51.2, 56.6, 53.8,67.5
,Smote, 52.7, 56.4, 54.5,68.0
,Bag, 24.9, 84.4, 38.5,67.8
,ROSBag, 51.9, 56.2, 54.0,69.6
,RUSBag, 51.0, 56.9, 53.8,68.8
,SmoteBag, 52.6, 56.4, 54.4,68.7
,Boost, 30.0, 76.7, 43.0,75.5
,ROSBoost, 48.7, 56.4, 52.2,74.0
,RUSBoost, 48.8, 56.3, 52.3,73.5
,SmoteBoost, 49.1, 56.1, 52.3,74.0

