Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8764,0.6812,0.8033,0.7664,0.8464,0.8764,0.8845,0.8541,0.796,0.8015,0.8584,0.8677
0.805,0.7346,0.8734,0.8241,0.9168,0.8386,0.8742,0.9123,0.8799,0.894,0.8837,0.8591
0.8452,0.8286,0.8889,0.8069,0.9265,0.9251,0.9513,0.922,0.904,0.878,0.919,0.9249
0.7979,0.7058,0.8317,0.8354,0.8915,0.8968,0.8656,0.9037,0.8278,0.8767,0.8857,0.7981
0.8344,0.7632,0.8029,0.8246,0.9206,0.9392,0.9545,0.9085,0.8452,0.9238,0.9426,0.8931
0.7992,0.6601,0.7447,0.695,0.8426,0.8339,0.8339,0.8307,0.8603,0.8011,0.7939,0.8217
0.8934,0.7217,0.8484,0.7979,0.9185,0.9235,0.9349,0.8987,0.882,0.8728,0.8923,0.8487
0.7399,0.8082,0.8834,0.7768,0.9094,0.8758,0.934,0.9059,0.9211,0.9312,0.9309,0.9064
0.8069,0.813,0.8322,0.7057,0.914,0.8947,0.9332,0.8332,0.9309,0.8456,0.8932,0.874
0.7384,0.7761,0.71,0.81,0.9112,0.8763,0.9302,0.9041,0.876,0.9188,0.8834,0.9216
0.9496,0.8221,0.8429,0.8163,0.8812,0.8872,0.9216,0.8732,0.8997,0.8388,0.8867,0.8664
0.8278,0.8173,0.8586,0.8744,0.9203,0.9363,0.9138,0.8862,0.8652,0.8877,0.8867,0.889
0.7837,0.7454,0.7404,0.7523,0.8697,0.8573,0.8629,0.8221,0.8376,0.8831,0.8325,0.8537
0.8173,0.7971,0.8932,0.8963,0.913,0.9494,0.9195,0.9023,0.8694,0.9008,0.894,0.9109
0.6597,0.71,0.8365,0.8664,0.917,0.9241,0.8925,0.9168,0.8654,0.8365,0.8715,0.8912
0.7429,0.7582,0.8661,0.8183,0.8963,0.8651,0.8989,0.8497,0.8495,0.8733,0.814,0.8598
0.8841,0.7476,0.7775,0.8796,0.8899,0.8307,0.8929,0.8579,0.8635,0.819,0.8762,0.8508
0.7378,0.7114,0.7926,0.8299,0.9407,0.904,0.9159,0.9368,0.9029,0.9235,0.9362,0.8979
0.9497,0.8714,0.8323,0.9312,0.9339,0.9585,0.9434,0.9291,0.9302,0.9561,0.9317,0.9529
0.8003,0.7328,0.7376,0.7849,0.9106,0.8492,0.9,0.8778,0.7836,0.8884,0.8712,0.818
0.8286,0.6865,0.7837,0.79,0.8744,0.8509,0.8812,0.8381,0.7749,0.8018,0.8652,0.8569
0.8892,0.8429,0.8589,0.8221,0.9401,0.9481,0.9564,0.9406,0.9569,0.8722,0.9318,0.9404
0.8661,0.7366,0.8957,0.8269,0.9165,0.8937,0.9165,0.9001,0.894,0.917,0.8861,0.8965
0.832,0.7222,0.7723,0.8287,0.8978,0.8813,0.8801,0.8947,0.8925,0.872,0.8517,0.8436
0.8502,0.7424,0.7758,0.7586,0.8803,0.8426,0.8836,0.8606,0.897,0.9145,0.8383,0.8631
0.8124,0.7156,0.8259,0.6307,0.8624,0.8836,0.9024,0.8788,0.8828,0.8524,0.9116,0.8728
0.7714,0.7016,0.7648,0.8003,0.8876,0.8661,0.8799,0.845,0.8717,0.8452,0.859,0.8299
0.6942,0.7722,0.8175,0.837,0.9048,0.8566,0.9341,0.873,0.914,0.9095,0.8836,0.9069
0.9553,0.8254,0.914,0.8942,0.9646,0.9577,0.931,0.9474,0.9405,0.968,0.9495,0.9593
0.8111,0.6775,0.8754,0.7235,0.859,0.9233,0.9243,0.8955,0.8661,0.8288,0.8574,0.7918
0.794,0.7604,0.8642,0.8915,0.9133,0.909,0.913,0.9045,0.8634,0.8451,0.8977,0.8895
0.8138,0.6902,0.8514,0.7599,0.917,0.8897,0.9444,0.8614,0.9333,0.8777,0.8782,0.9123
0.7516,0.8159,0.8323,0.9153,0.8937,0.9032,0.9259,0.9249,0.828,0.8209,0.9048,0.8675
0.9452,0.8156,0.7635,0.8944,0.9246,0.9225,0.9241,0.9317,0.8937,0.9217,0.9481,0.922
0.8968,0.8074,0.8775,0.8854,0.9286,0.9193,0.914,0.8873,0.9262,0.9288,0.8794,0.8899
0.7323,0.6799,0.8839,0.7235,0.854,0.8849,0.8905,0.8815,0.8108,0.737,0.8444,0.8354
0.8124,0.7095,0.7807,0.823,0.8979,0.8701,0.9005,0.8767,0.8899,0.8651,0.8812,0.8892
0.8348,0.814,0.8854,0.8029,0.8811,0.8874,0.9251,0.8732,0.8376,0.8836,0.8489,0.8793
0.851,0.8401,0.8181,0.9418,0.9104,0.9241,0.9145,0.9329,0.8851,0.8745,0.8456,0.9124
0.8246,0.7348,0.7738,0.7907,0.8004,0.9006,0.8889,0.8555,0.8125,0.8436,0.8568,0.8626
0.8035,0.7617,0.8657,0.8,0.8531,0.8602,0.8496,0.8697,0.7471,0.7694,0.8231,0.8263
0.8133,0.7005,0.8842,0.8343,0.9261,0.8596,0.9268,0.8957,0.8942,0.8253,0.8318,0.8576
0.7574,0.7024,0.8444,0.8386,0.9,0.9278,0.9061,0.9206,0.8868,0.9111,0.8704,0.8741
0.872,0.7344,0.7952,0.8193,0.8974,0.8392,0.8804,0.9003,0.8228,0.8741,0.8648,0.8815
