Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6399,0.8848,0.7393,0.757,0.9597,0.9447,0.9678,0.9396,0.8937,0.8733,0.9235,0.916
0.7876,0.7266,0.8244,0.7175,0.8281,0.8604,0.8136,0.8236,0.8311,0.8765,0.812,0.8161
0.7774,0.7374,0.7546,0.8609,0.8896,0.8655,0.8743,0.916,0.8209,0.898,0.8429,0.8553
0.7962,0.6992,0.8083,0.7562,0.8759,0.8883,0.8749,0.8706,0.8314,0.83,0.8268,0.8617
0.7473,0.765,0.8161,0.8115,0.8303,0.8483,0.8794,0.8636,0.8716,0.8682,0.8872,0.7438
0.7624,0.6004,0.8469,0.9117,0.8931,0.8794,0.9074,0.9004,0.8502,0.8853,0.8813,0.8249
0.7943,0.7422,0.8204,0.855,0.9401,0.9339,0.9165,0.9055,0.902,0.9084,0.9084,0.9111
0.8124,0.8583,0.7823,0.8827,0.873,0.8903,0.8929,0.9167,0.8546,0.8999,0.86,0.8668
0.7738,0.6987,0.7472,0.7982,0.8957,0.9195,0.9184,0.8875,0.9079,0.8781,0.9189,0.9348
0.8397,0.822,0.8315,0.853,0.8874,0.8787,0.9319,0.8787,0.8684,0.8627,0.8993,0.8858
0.8821,0.801,0.8606,0.8142,0.9506,0.9151,0.9484,0.9189,0.8883,0.8545,0.9006,0.9039
0.7865,0.7441,0.8749,0.7935,0.8934,0.9068,0.898,0.8593,0.8843,0.9133,0.8945,0.8657
0.7613,0.772,0.7521,0.7111,0.8496,0.8853,0.8247,0.8647,0.8934,0.8349,0.8024,0.869
0.786,0.7197,0.6923,0.8824,0.8426,0.8778,0.8537,0.8652,0.8684,0.8706,0.8673,0.7597
0.8195,0.8072,0.8008,0.7025,0.8357,0.8571,0.7924,0.8335,0.8351,0.8652,0.8448,0.8179
0.8408,0.7513,0.8528,0.9503,0.9028,0.9063,0.9286,0.9337,0.9323,0.8461,0.8601,0.9108
0.8776,0.7632,0.8386,0.8016,0.9256,0.9098,0.946,0.927,0.9122,0.8963,0.8894,0.9154
0.6009,0.7602,0.8036,0.8161,0.8611,0.876,0.9243,0.8578,0.86,0.888,0.8915,0.8785
0.6953,0.7443,0.826,0.7973,0.8719,0.8846,0.8784,0.854,0.8588,0.8563,0.8818,0.8815
0.8104,0.8135,0.7815,0.7815,0.9019,0.8795,0.9184,0.8815,0.9073,0.9161,0.8733,0.8659
0.888,0.775,0.7777,0.735,0.8673,0.841,0.8985,0.8695,0.8773,0.8631,0.8711,0.8397
0.7871,0.8147,0.8096,0.8448,0.8179,0.8284,0.8585,0.8566,0.7994,0.8319,0.8018,0.8668
0.7927,0.7543,0.7103,0.8139,0.8657,0.8346,0.881,0.8649,0.8322,0.8416,0.8679,0.8426
0.8402,0.8547,0.8365,0.9157,0.8883,0.9243,0.9219,0.9176,0.9192,0.8969,0.9334,0.9012
0.7954,0.735,0.79,0.707,0.8896,0.9033,0.9044,0.8845,0.8512,0.8982,0.8601,0.8494
0.9173,0.779,0.8749,0.8743,0.9339,0.9447,0.9581,0.9369,0.9194,0.8904,0.9267,0.9256
0.8284,0.7269,0.7003,0.8706,0.8961,0.9372,0.8958,0.8912,0.8448,0.9122,0.8762,0.9189
0.7367,0.6477,0.8603,0.7571,0.9118,0.8846,0.9022,0.8756,0.8248,0.8889,0.8756,0.8478
0.7625,0.7642,0.7588,0.7766,0.8486,0.8957,0.8863,0.8863,0.8251,0.8447,0.8532,0.7985
0.8942,0.7642,0.8795,0.8565,0.9216,0.911,0.8749,0.8915,0.8847,0.9303,0.9105,0.9221
0.7334,0.7554,0.6995,0.7019,0.869,0.8437,0.8542,0.8327,0.8311,0.7755,0.7554,0.8494
0.797,0.7594,0.7854,0.8249,0.8859,0.9141,0.9173,0.884,0.8402,0.9307,0.8931,0.852
0.7806,0.718,0.7046,0.8247,0.8424,0.8692,0.8515,0.8682,0.7766,0.7602,0.7769,0.8032
0.8448,0.757,0.7978,0.8059,0.898,0.9264,0.8934,0.906,0.8988,0.9082,0.9111,0.9227
0.6713,0.7645,0.7135,0.7583,0.8319,0.8389,0.8437,0.8601,0.8456,0.8856,0.8169,0.8843
0.8314,0.8198,0.8136,0.7785,0.8733,0.8966,0.8835,0.8797,0.8284,0.8233,0.8802,0.8604
0.6437,0.6818,0.8614,0.8641,0.8931,0.9063,0.9041,0.9173,0.8397,0.8494,0.8553,0.8853
0.7483,0.7528,0.9059,0.7968,0.9246,0.9133,0.9252,0.9388,0.9101,0.8776,0.8812,0.8824
0.744,0.7698,0.8971,0.9306,0.9175,0.928,0.9161,0.9246,0.9595,0.9365,0.8846,0.9263
0.7895,0.6522,0.7922,0.8199,0.9289,0.9132,0.9349,0.9403,0.8445,0.8969,0.9501,0.8793
0.834,0.8566,0.815,0.8577,0.8972,0.8569,0.8859,0.8921,0.9108,0.8735,0.8593,0.8472
0.8249,0.7661,0.8034,0.8394,0.866,0.9154,0.8947,0.9023,0.9326,0.8515,0.8566,0.9313
0.7884,0.7581,0.7597,0.7508,0.9146,0.8998,0.8706,0.869,0.9036,0.8778,0.8929,0.8459
0.8056,0.8405,0.8107,0.7344,0.8716,0.9151,0.9117,0.9146,0.8625,0.9063,0.8835,0.8225
0.8569,0.7908,0.8142,0.7629,0.9028,0.9127,0.8945,0.9057,0.9017,0.8469,0.8818,0.8829
0.8193,0.7309,0.7795,0.8418,0.8743,0.8802,0.8574,0.8969,0.8577,0.8792,0.8185,0.8977
0.7978,0.699,0.8792,0.8679,0.8539,0.8606,0.8719,0.9031,0.823,0.8714,0.786,0.8448
0.7599,0.822,0.8056,0.8183,0.911,0.8929,0.9076,0.8829,0.8778,0.8571,0.9033,0.905
0.7018,0.7409,0.6913,0.7412,0.9189,0.8821,0.9229,0.8345,0.9306,0.9087,0.8537,0.9238
0.6601,0.7575,0.8928,0.8671,0.8766,0.8972,0.8573,0.8844,0.8581,0.8782,0.8413,0.8502
0.7991,0.7836,0.8733,0.7897,0.8459,0.8496,0.8682,0.8485,0.8502,0.811,0.8515,0.8134
0.8434,0.8424,0.8523,0.7562,0.899,0.9243,0.9278,0.9028,0.8821,0.8972,0.8894,0.8915
0.8042,0.6643,0.801,0.8322,0.8926,0.9117,0.9186,0.8945,0.8477,0.9087,0.8937,0.92
0.8429,0.8029,0.7927,0.7991,0.9576,0.9678,0.9568,0.9296,0.8864,0.8808,0.9323,0.8872
0.7959,0.8115,0.7986,0.8112,0.8684,0.9103,0.8542,0.8861,0.88,0.9012,0.8953,0.8604
0.7167,0.7484,0.7814,0.7551,0.9237,0.8794,0.9205,0.906,0.8875,0.8824,0.8448,0.9057
0.6716,0.7223,0.7787,0.7575,0.9186,0.8453,0.9302,0.899,0.9041,0.9068,0.8515,0.8056
0.7769,0.8625,0.7392,0.7871,0.871,0.871,0.8639,0.8622,0.8546,0.8529,0.8245,0.835
0.8356,0.7715,0.7979,0.7846,0.8744,0.8081,0.86,0.8447,0.8489,0.8659,0.869,0.8543
0.7594,0.7851,0.7878,0.7963,0.8926,0.8937,0.8671,0.9137,0.8519,0.8557,0.8915,0.8237
0.7997,0.6864,0.7951,0.6466,0.8652,0.8912,0.9044,0.8459,0.8311,0.8733,0.8574,0.8767
0.8029,0.804,0.9076,0.8676,0.9141,0.9119,0.9581,0.9356,0.927,0.8937,0.9098,0.91
0.8217,0.8021,0.739,0.8357,0.9522,0.9468,0.9455,0.9033,0.9288,0.9742,0.9487,0.9127
0.7559,0.7293,0.6885,0.7164,0.9286,0.9173,0.906,0.8332,0.899,0.8671,0.9347,0.851
0.8128,0.7959,0.8496,0.7086,0.866,0.819,0.8743,0.8359,0.873,0.8816,0.8445,0.8604
0.7231,0.7782,0.7452,0.7661,0.8483,0.8574,0.8743,0.8247,0.8104,0.8298,0.8252,0.87
0.7975,0.772,0.8614,0.7307,0.9138,0.8641,0.9052,0.9143,0.8921,0.9173,0.9428,0.8845
0.7653,0.7979,0.6953,0.8818,0.9461,0.9544,0.96,0.9592,0.873,0.8895,0.9396,0.9022
0.8197,0.7355,0.7548,0.7486,0.8484,0.7951,0.8098,0.841,0.8452,0.7999,0.771,0.8047
0.7119,0.6731,0.7371,0.6633,0.8966,0.8785,0.8768,0.847,0.8505,0.8497,0.8627,0.8969
0.8067,0.7884,0.8016,0.7457,0.8537,0.927,0.8985,0.8606,0.8655,0.9066,0.9184,0.8271
0.6813,0.6096,0.8284,0.7943,0.8738,0.8077,0.8743,0.833,0.815,0.8733,0.841,0.8257
0.8289,0.6587,0.7081,0.848,0.8322,0.8144,0.8456,0.8665,0.7817,0.7489,0.8182,0.7511
0.7148,0.7554,0.8166,0.7946,0.8268,0.8851,0.9138,0.9052,0.8802,0.8579,0.8894,0.8958
0.8276,0.7597,0.8789,0.7221,0.9194,0.9004,0.9307,0.9117,0.8816,0.8604,0.8966,0.9154
0.7559,0.768,0.8091,0.6536,0.8878,0.8923,0.9006,0.8671,0.8652,0.8343,0.8179,0.8563
0.8821,0.8418,0.881,0.8263,0.9353,0.9294,0.9288,0.9151,0.9417,0.8942,0.9184,0.9294
0.7268,0.8056,0.8999,0.8776,0.8724,0.9073,0.9073,0.8727,0.8569,0.9294,0.8744,0.8883
0.7922,0.7446,0.8101,0.8818,0.9133,0.9082,0.9201,0.9314,0.9101,0.949,0.9413,0.9053
0.7246,0.7987,0.8253,0.9238,0.923,0.9083,0.9021,0.9156,0.8757,0.889,0.8798,0.8918
0.6343,0.8099,0.7715,0.7779,0.8797,0.8252,0.8518,0.8617,0.8147,0.8464,0.7841,0.7956
0.7927,0.8335,0.8228,0.7312,0.9501,0.9127,0.9149,0.8585,0.9264,0.8378,0.8789,0.91
0.8271,0.6847,0.8429,0.7054,0.8896,0.8738,0.8988,0.8526,0.9025,0.8405,0.8303,0.8676
0.7965,0.6458,0.8289,0.764,0.852,0.8786,0.9103,0.9098,0.8518,0.8311,0.8843,0.8553
0.7903,0.8805,0.826,0.8365,0.9243,0.9313,0.9323,0.8851,0.9393,0.8778,0.877,0.9122
0.783,0.8099,0.8193,0.8392,0.8891,0.8982,0.9009,0.8856,0.9262,0.881,0.8682,0.8963
0.7927,0.7325,0.743,0.793,0.8104,0.8013,0.8485,0.8311,0.8107,0.7871,0.8424,0.8421
0.8878,0.6477,0.8549,0.7594,0.892,0.9399,0.8997,0.89,0.932,0.9277,0.9019,0.9246
0.6312,0.7565,0.8634,0.7494,0.9229,0.9396,0.9456,0.9152,0.8736,0.9093,0.9422,0.8852
0.7368,0.685,0.8237,0.8673,0.8597,0.8437,0.8763,0.8988,0.9048,0.8953,0.8066,0.8958
0.735,0.8206,0.8198,0.8907,0.9646,0.9321,0.9447,0.9235,0.8821,0.9323,0.9227,0.924
0.8451,0.7049,0.764,0.8389,0.8579,0.8958,0.8902,0.8985,0.8467,0.8649,0.8367,0.8727
0.7615,0.753,0.8502,0.8429,0.8424,0.8161,0.8588,0.8585,0.7914,0.855,0.8005,0.8861
0.7068,0.8061,0.783,0.8488,0.8762,0.9286,0.9047,0.92,0.9125,0.891,0.9076,0.9092
0.7782,0.776,0.8319,0.8349,0.9106,0.9006,0.8939,0.8767,0.8542,0.8958,0.8649,0.8456
0.7548,0.666,0.7366,0.7844,0.8437,0.8464,0.8437,0.8802,0.7744,0.7583,0.8236,0.7672
0.7747,0.7344,0.8851,0.888,0.9401,0.9366,0.939,0.9393,0.8781,0.9039,0.9441,0.9237
0.7327,0.7656,0.8622,0.8211,0.8614,0.8764,0.8926,0.8912,0.9133,0.8974,0.8583,0.8827
0.7548,0.7764,0.8798,0.7296,0.8583,0.8452,0.9002,0.8753,0.8262,0.8498,0.8656,0.8549
0.8014,0.7561,0.8383,0.71,0.873,0.7927,0.9094,0.8633,0.8378,0.7925,0.8123,0.8218
0.7411,0.6512,0.8518,0.717,0.8963,0.9151,0.9549,0.8784,0.891,0.9055,0.8878,0.859
0.7672,0.6477,0.7573,0.8413,0.8969,0.8665,0.8743,0.9031,0.8759,0.8354,0.8574,0.8614
0.7696,0.7905,0.7946,0.7854,0.9184,0.9106,0.9345,0.9044,0.8835,0.8496,0.9006,0.8915
0.7505,0.6756,0.7551,0.7221,0.8174,0.8448,0.8824,0.8757,0.8147,0.8029,0.8085,0.8743
0.7795,0.7699,0.772,0.8448,0.9205,0.9111,0.9079,0.891,0.8343,0.8746,0.9208,0.8886
0.8029,0.6574,0.7344,0.7406,0.8792,0.8276,0.8644,0.881,0.8894,0.8429,0.8244,0.866
0.6904,0.7575,0.7774,0.8142,0.8483,0.7787,0.8593,0.8496,0.8123,0.7473,0.8537,0.8182
0.8577,0.7806,0.8569,0.7727,0.9121,0.9405,0.9439,0.9218,0.928,0.9427,0.8659,0.9289
0.8217,0.6879,0.8257,0.7421,0.8401,0.8648,0.8024,0.8087,0.8024,0.8682,0.8937,0.8274
0.8402,0.8114,0.8188,0.9086,0.9308,0.9124,0.8899,0.9167,0.93,0.8993,0.9094,0.9086
0.7564,0.7774,0.8743,0.7763,0.9012,0.9119,0.9023,0.8724,0.7704,0.8827,0.7779,0.8563
0.735,0.7057,0.7511,0.8166,0.8359,0.8263,0.8792,0.8711,0.8134,0.8378,0.7476,0.8429
0.8818,0.8088,0.8034,0.8816,0.9425,0.9468,0.9527,0.9358,0.9057,0.8861,0.9028,0.9439
0.8271,0.757,0.8222,0.8534,0.8985,0.8802,0.9133,0.8856,0.8837,0.8902,0.8878,0.9431
0.8542,0.7822,0.8005,0.8507,0.8558,0.8899,0.8716,0.8824,0.9015,0.8228,0.8542,0.9028
0.7401,0.7363,0.8545,0.7755,0.9082,0.9071,0.8759,0.8883,0.8448,0.9264,0.8641,0.8625
0.8639,0.7409,0.8136,0.7615,0.7924,0.8802,0.8537,0.869,0.8639,0.8494,0.8332,0.8818
0.7715,0.7741,0.8296,0.7126,0.8988,0.8897,0.9257,0.8878,0.8756,0.839,0.9062,0.8818
0.7917,0.8441,0.8639,0.8875,0.9172,0.9632,0.9433,0.9073,0.9708,0.9036,0.949,0.9464
0.7572,0.6498,0.6614,0.8966,0.8771,0.8451,0.8812,0.8996,0.863,0.834,0.7906,0.8698
0.7111,0.692,0.7916,0.7731,0.9417,0.9313,0.9294,0.8985,0.8896,0.9181,0.9205,0.9055
0.8754,0.7908,0.7881,0.844,0.9267,0.8869,0.8896,0.8982,0.8408,0.8668,0.8961,0.8781
0.678,0.7521,0.7282,0.8459,0.8381,0.812,0.8824,0.8593,0.8711,0.869,0.812,0.8185
0.822,0.772,0.8724,0.822,0.8625,0.9221,0.9194,0.9103,0.8918,0.9404,0.8961,0.8851
0.8931,0.7258,0.7366,0.724,0.8937,0.8869,0.8977,0.8676,0.9404,0.8805,0.9125,0.8961
0.6984,0.833,0.7766,0.8311,0.8727,0.8545,0.8749,0.8545,0.8343,0.8292,0.8112,0.8434
0.7836,0.7677,0.8969,0.8217,0.9321,0.8706,0.899,0.9122,0.8754,0.8673,0.9334,0.9315
0.8056,0.826,0.7409,0.8254,0.8622,0.8503,0.8838,0.8455,0.8852,0.8078,0.8047,0.8645
0.718,0.788,0.8223,0.7942,0.8895,0.8821,0.8895,0.8773,0.8532,0.9101,0.8827,0.8917
0.7404,0.7059,0.8342,0.7135,0.8204,0.8353,0.8391,0.8123,0.8112,0.8486,0.7965,0.7857
0.8112,0.7798,0.8303,0.7747,0.8499,0.8708,0.8765,0.8631,0.8308,0.8147,0.8392,0.8918
0.6431,0.7403,0.7234,0.7309,0.8684,0.8687,0.8682,0.8614,0.7924,0.8402,0.8131,0.7669
0.7978,0.7758,0.7975,0.8064,0.8851,0.9168,0.8647,0.8539,0.8679,0.8789,0.8832,0.8972
0.7401,0.7492,0.8351,0.7648,0.866,0.823,0.8555,0.8201,0.8139,0.7801,0.8859,0.8386
0.7626,0.783,0.8953,0.9154,0.9388,0.92,0.9474,0.8985,0.9063,0.8926,0.9012,0.8539
0.8461,0.8518,0.7965,0.9243,0.9393,0.946,0.9251,0.9366,0.9356,0.9267,0.9468,0.9213
0.8284,0.8596,0.8937,0.8236,0.945,0.9554,0.9533,0.9428,0.9514,0.9511,0.9401,0.9415
0.7812,0.7724,0.8727,0.8342,0.9257,0.9152,0.9184,0.8844,0.8858,0.8912,0.9138,0.8909
0.7409,0.6522,0.7619,0.6352,0.8067,0.7982,0.8861,0.8401,0.7942,0.8948,0.7426,0.8231
0.7892,0.7292,0.7613,0.8128,0.8638,0.8671,0.8646,0.8831,0.9012,0.818,0.8747,0.892
0.7121,0.8279,0.8776,0.8988,0.9562,0.931,0.9503,0.931,0.9603,0.9232,0.9576,0.9452
0.8869,0.6912,0.7234,0.7376,0.8499,0.8426,0.8588,0.8671,0.8405,0.8042,0.7409,0.8373
0.7709,0.7325,0.79,0.7747,0.8332,0.8896,0.9178,0.9052,0.8289,0.8668,0.9114,0.812
0.7417,0.7006,0.8338,0.7218,0.8698,0.8864,0.8867,0.8394,0.8182,0.7943,0.8185,0.8128
0.7105,0.7484,0.8169,0.7699,0.8856,0.8625,0.8789,0.8418,0.815,0.8061,0.8327,0.8322
0.7828,0.6936,0.8346,0.8263,0.8381,0.87,0.8776,0.8821,0.8746,0.8869,0.8711,0.8708
0.7897,0.8469,0.8655,0.7503,0.8512,0.9337,0.8939,0.9307,0.9224,0.9245,0.9318,0.8958
0.8399,0.8118,0.7582,0.8087,0.9274,0.9671,0.9651,0.8827,0.8818,0.9371,0.9127,0.9246
0.6451,0.729,0.8617,0.7911,0.8821,0.9084,0.8776,0.892,0.7993,0.9175,0.8424,0.8849
0.6356,0.7056,0.7678,0.8294,0.9067,0.8633,0.9023,0.8874,0.8104,0.8763,0.8543,0.8953
0.7312,0.7675,0.786,0.8249,0.8413,0.8606,0.8722,0.8601,0.8477,0.8327,0.8359,0.8222
0.7363,0.7446,0.8408,0.7546,0.92,0.931,0.9294,0.9189,0.9111,0.8767,0.9039,0.9052
0.9125,0.8426,0.8668,0.8284,0.9049,0.9299,0.9232,0.9219,0.9262,0.9382,0.9307,0.949
0.8273,0.7658,0.8612,0.8314,0.8921,0.888,0.8907,0.8867,0.8604,0.8781,0.8706,0.8212
0.916,0.7744,0.8061,0.8555,0.9382,0.9141,0.9221,0.8912,0.8767,0.8998,0.9004,0.9165
0.8085,0.8244,0.8163,0.8394,0.8915,0.8668,0.9057,0.8974,0.8716,0.8631,0.8829,0.9243
0.8362,0.7444,0.7312,0.7368,0.7892,0.8228,0.8195,0.8228,0.7782,0.8061,0.7586,0.8077
0.7971,0.7431,0.7748,0.79,0.8679,0.9037,0.8771,0.9021,0.8923,0.8261,0.8863,0.8964
0.665,0.6301,0.8495,0.769,0.8441,0.8943,0.8577,0.9076,0.8237,0.8501,0.8569,0.8937
0.8016,0.6888,0.9031,0.7982,0.8835,0.9167,0.9158,0.8991,0.875,0.8798,0.9354,0.9272
0.8187,0.794,0.7744,0.8059,0.9006,0.8526,0.8531,0.8738,0.8233,0.8212,0.8778,0.8708
0.7642,0.7578,0.7924,0.8252,0.9224,0.8636,0.9296,0.9235,0.8598,0.852,0.8279,0.8953
