Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9426,0.9021,0.9238,0.9512,0.9904,0.9944,0.9782,0.9852,0.997,0.9924,0.99,0.9878
0.9439,0.9138,0.9534,0.9388,0.9761,0.979,0.9735,0.9804,0.9863,0.9883,0.9833,0.9748
0.9604,0.9354,0.9126,0.9239,0.975,0.9749,0.9684,0.9708,0.9783,0.9873,0.9847,0.9877
0.9294,0.91,0.9496,0.9398,0.9806,0.9791,0.9738,0.981,0.9869,0.9735,0.9823,0.9871
0.9186,0.9119,0.9248,0.9213,0.9788,0.977,0.9735,0.9633,0.9847,0.9803,0.9801,0.9886
0.9228,0.9021,0.9452,0.9371,0.9748,0.9726,0.9734,0.9819,0.986,0.9834,0.9763,0.9831
0.9414,0.8916,0.9126,0.9483,0.9782,0.9838,0.9864,0.9721,0.9838,0.9788,0.9878,0.9848
0.9621,0.952,0.9563,0.9655,0.9817,0.9875,0.9782,0.9726,0.9773,0.981,0.9696,0.9881
0.956,0.9159,0.9255,0.9639,0.9743,0.9866,0.9746,0.9777,0.9806,0.9812,0.9694,0.9918
0.9803,0.9041,0.9365,0.9626,0.9801,0.9881,0.9855,0.9902,0.9873,0.9698,0.9845,0.9911
0.9782,0.935,0.9445,0.9341,0.9864,0.9898,0.9913,0.9914,0.9896,0.9839,0.9946,0.9885
0.9625,0.9011,0.9402,0.9399,0.9795,0.9802,0.97,0.9743,0.9885,0.99,0.9884,0.9845
0.9688,0.932,0.9534,0.9504,0.9769,0.969,0.9742,0.9741,0.9863,0.9639,0.9724,0.9665
0.9642,0.8776,0.9186,0.9131,0.9785,0.9807,0.9785,0.9727,0.9845,0.9738,0.9776,0.9691
0.9183,0.856,0.927,0.9197,0.966,0.9718,0.9725,0.9695,0.9754,0.9754,0.9663,0.9794
0.9543,0.9065,0.936,0.9256,0.9739,0.9798,0.9783,0.981,0.9784,0.9809,0.973,0.9805
0.9741,0.9345,0.9287,0.968,0.9891,0.9897,0.9809,0.982,0.9917,0.9919,0.9982,0.9932
0.9567,0.9024,0.9441,0.9526,0.9818,0.9742,0.9757,0.9751,0.9815,0.978,0.9887,0.9857
0.9659,0.9609,0.9338,0.9481,0.9844,0.9853,0.9885,0.9879,0.9879,0.981,0.9876,0.9923
0.9368,0.8772,0.909,0.9386,0.9667,0.9758,0.9708,0.9555,0.973,0.9723,0.9553,0.974
0.9434,0.9321,0.8738,0.9351,0.973,0.9713,0.9715,0.9713,0.9876,0.9688,0.9859,0.9783
0.9163,0.888,0.9399,0.9381,0.9758,0.9788,0.9696,0.9688,0.9883,0.9702,0.9752,0.9767
0.9861,0.9092,0.9574,0.9754,0.9857,0.9871,0.9855,0.9871,0.9919,0.991,0.9871,0.9881
0.9726,0.921,0.9677,0.9769,0.979,0.9811,0.9802,0.9808,0.9921,0.9791,0.972,0.9826
0.9625,0.9572,0.9381,0.9618,0.9941,0.9919,0.989,0.9907,0.9934,0.9951,0.9895,0.9906
0.9582,0.888,0.9156,0.9531,0.9776,0.9901,0.9861,0.9745,0.9819,0.9708,0.9876,0.9922
0.95,0.9123,0.9608,0.9423,0.9826,0.9854,0.9848,0.9839,0.9833,0.9936,0.9821,0.9863
0.9509,0.9318,0.9012,0.9494,0.9829,0.9822,0.976,0.9721,0.9813,0.9919,0.9758,0.9917
0.9388,0.8868,0.9255,0.952,0.9719,0.9659,0.9618,0.9624,0.9612,0.9797,0.9766,0.9777
0.962,0.9317,0.946,0.9381,0.9807,0.993,0.9846,0.9889,0.9927,0.9932,0.9871,0.9965
0.9136,0.8132,0.9141,0.9325,0.9564,0.9695,0.9617,0.9523,0.9767,0.9497,0.9812,0.9652
0.9543,0.957,0.9681,0.9535,0.9911,0.9933,0.9898,0.9851,0.989,0.9923,0.9893,0.9945
0.9555,0.9299,0.9547,0.9596,0.9822,0.9768,0.9838,0.9889,0.9898,0.9811,0.9831,0.9822
0.9396,0.964,0.9538,0.9471,0.9842,0.9869,0.9889,0.9931,0.9863,0.9918,0.9989,0.9961
0.9614,0.9052,0.9424,0.9689,0.9845,0.9799,0.9709,0.9741,0.9897,0.9896,0.9898,0.9861
0.9206,0.9382,0.9428,0.9458,0.9833,0.98,0.9844,0.9766,0.9755,0.9843,0.9664,0.9716
0.931,0.8944,0.9147,0.9329,0.9637,0.9681,0.9614,0.9717,0.984,0.9837,0.9704,0.9721
0.9433,0.9317,0.9517,0.9394,0.9909,0.9787,0.9874,0.979,0.9826,0.9831,0.979,0.9924
0.965,0.9223,0.9767,0.9791,0.9789,0.9907,0.9875,0.981,0.9964,0.9903,0.9929,0.9909
0.9421,0.8943,0.9234,0.9421,0.982,0.9806,0.9786,0.9859,0.9881,0.9816,0.996,0.9899
0.9776,0.9368,0.913,0.9655,0.9956,0.9875,0.9929,0.9933,0.994,0.9882,0.989,0.9918
0.9713,0.9249,0.9323,0.9725,0.9852,0.9853,0.9838,0.9879,0.9862,0.9798,0.9937,0.9918
0.9501,0.9336,0.94,0.9456,0.9763,0.9885,0.9813,0.9777,0.9939,0.9899,0.9864,0.9855
0.9498,0.9053,0.9549,0.9508,0.9839,0.9918,0.9861,0.9791,0.9841,0.9965,0.9885,0.9931
0.9238,0.9004,0.9258,0.9657,0.9687,0.9731,0.9679,0.9731,0.9856,0.9821,0.9873,0.9804
0.9141,0.8612,0.9119,0.9287,0.9622,0.9631,0.9516,0.9481,0.9649,0.9507,0.9605,0.9657
0.9458,0.9191,0.9287,0.9097,0.9726,0.9764,0.9731,0.9751,0.9952,0.9882,0.9632,0.9863
0.9586,0.9093,0.9587,0.9542,0.979,0.9794,0.9739,0.9754,0.9921,0.9879,0.9777,0.9934
0.9558,0.9323,0.9062,0.9369,0.9757,0.9735,0.9779,0.9758,0.9872,0.9834,0.9827,0.9895
0.9287,0.9097,0.9057,0.9576,0.9807,0.9824,0.9801,0.9781,0.9859,0.9748,0.9804,0.9854
0.9356,0.8822,0.9442,0.9583,0.9846,0.9731,0.9832,0.9803,0.9832,0.989,0.9763,0.9781
0.9387,0.9286,0.9544,0.9366,0.9881,0.9908,0.9866,0.9813,0.9886,0.9781,0.9864,0.9906
0.9374,0.8443,0.9368,0.9277,0.9785,0.9762,0.9751,0.9626,0.9931,0.9909,0.9864,0.9935
0.9091,0.9001,0.9002,0.9259,0.9589,0.9608,0.952,0.9715,0.9743,0.9829,0.9775,0.981
0.9515,0.9053,0.9624,0.9635,0.984,0.9856,0.979,0.984,0.9822,0.993,0.9873,0.9902
0.9616,0.9145,0.9433,0.9718,0.9882,0.9861,0.979,0.9838,0.9986,0.9852,0.9923,0.9948
0.923,0.9285,0.929,0.9415,0.9799,0.9863,0.9841,0.9908,0.9906,0.9913,0.9889,0.9956
0.9281,0.8751,0.9176,0.9264,0.9822,0.9771,0.9768,0.9827,0.9694,0.979,0.9788,0.9768
0.9805,0.938,0.9315,0.9359,0.9825,0.986,0.987,0.9854,0.9858,0.9905,0.9879,0.988
0.9575,0.9519,0.9317,0.9309,0.9773,0.9756,0.9775,0.9746,0.9854,0.9841,0.9794,0.9851
0.9417,0.8896,0.9131,0.9269,0.9846,0.983,0.982,0.9752,0.9857,0.9804,0.9961,0.9931
0.961,0.9387,0.9316,0.9385,0.9798,0.981,0.977,0.9764,0.9881,0.9783,0.9886,0.9851
0.978,0.9365,0.9357,0.9826,0.9831,0.9888,0.9917,0.9933,0.9842,0.9944,0.9884,0.9939
0.9463,0.9092,0.9399,0.9425,0.9779,0.9748,0.9714,0.97,0.9799,0.9846,0.9794,0.9788
0.954,0.9676,0.9767,0.9842,0.9892,0.9955,0.9909,0.9871,0.9902,0.9958,0.9936,0.9863
0.9169,0.8926,0.8892,0.9226,0.9755,0.9712,0.9641,0.9668,0.9749,0.9696,0.9747,0.9687
0.9074,0.9227,0.9377,0.9643,0.984,0.9816,0.9783,0.9741,0.9867,0.9746,0.9805,0.9813
0.9589,0.9194,0.9459,0.9402,0.988,0.9909,0.9876,0.9852,0.9956,0.9952,0.9943,0.993
0.9465,0.9314,0.9281,0.9692,0.9816,0.9821,0.9784,0.9849,0.9888,0.9857,0.9831,0.9913
0.9356,0.9307,0.9384,0.928,0.9789,0.9795,0.9748,0.9695,0.9883,0.9782,0.9798,0.979
0.9468,0.8914,0.9239,0.9378,0.9681,0.9709,0.9755,0.9635,0.9822,0.9838,0.9821,0.9862
0.9597,0.8968,0.9515,0.9788,0.9814,0.9825,0.981,0.9798,0.991,0.9916,0.9944,0.9862
0.9484,0.9368,0.9442,0.9401,0.9851,0.9847,0.981,0.9834,0.9684,0.9888,0.9753,0.9876
0.949,0.9162,0.9609,0.9331,0.9821,0.9799,0.9775,0.9629,0.9877,0.9865,0.9758,0.9807
0.9187,0.918,0.9351,0.929,0.9742,0.9688,0.9676,0.9706,0.9768,0.9625,0.9831,0.9864
0.9627,0.939,0.9513,0.9878,0.9935,0.9928,0.9913,0.9911,0.9869,0.9701,0.9943,0.9924
0.9153,0.9205,0.9172,0.9382,0.9797,0.9932,0.983,0.9792,0.988,0.9831,0.9921,0.9903
0.9637,0.9558,0.9295,0.9379,0.9883,0.9819,0.982,0.9847,0.9891,0.9865,0.9902,0.9949
0.9435,0.913,0.9216,0.9617,0.9864,0.9822,0.9782,0.9741,0.9837,0.9816,0.9814,0.9811
0.9491,0.9272,0.93,0.9449,0.974,0.976,0.972,0.9807,0.9868,0.9787,0.9723,0.9906
0.9351,0.8621,0.8919,0.9341,0.9613,0.9643,0.9618,0.9574,0.9634,0.9793,0.9689,0.9607
0.9294,0.9228,0.9493,0.9354,0.989,0.9919,0.9897,0.9893,0.9919,0.9959,0.9938,0.9884
0.9686,0.9255,0.9567,0.9377,0.9914,0.9823,0.9835,0.9901,0.9965,0.9929,0.9978,0.9841
0.953,0.9128,0.9752,0.9618,0.9888,0.9851,0.9781,0.9839,0.9924,0.9891,0.995,0.9878
0.9475,0.8921,0.9206,0.9251,0.9708,0.9712,0.9632,0.9699,0.98,0.9794,0.9726,0.9819
0.9406,0.9496,0.9165,0.9529,0.976,0.9858,0.986,0.981,0.984,0.9775,0.975,0.9775
0.9412,0.9408,0.967,0.9358,0.9723,0.9743,0.9718,0.9772,0.9882,0.977,0.984,0.9851
0.9504,0.9239,0.9406,0.9312,0.9863,0.9839,0.9822,0.9849,0.9909,0.991,0.9908,0.9967
0.9581,0.9187,0.9374,0.9515,0.983,0.9867,0.9842,0.9913,0.9935,0.9828,0.9931,0.9893
0.9623,0.8881,0.9272,0.9462,0.9846,0.9748,0.9689,0.9728,0.9912,0.9909,0.9876,0.9815
0.9553,0.9071,0.9116,0.9517,0.9728,0.9794,0.976,0.9776,0.9789,0.9804,0.9788,0.9717
0.9446,0.9423,0.9146,0.95,0.9791,0.9788,0.9832,0.9659,0.9925,0.9759,0.9621,0.9722
0.956,0.8917,0.9573,0.949,0.9846,0.9885,0.9904,0.9889,0.9913,0.9884,0.9841,0.983
0.9685,0.9408,0.9431,0.9417,0.9768,0.9851,0.9783,0.9846,0.9873,0.9936,0.9836,0.9941
0.9456,0.9214,0.9225,0.972,0.9835,0.9866,0.9769,0.9845,0.9857,0.9795,0.9744,0.9916
0.9574,0.9263,0.8988,0.9268,0.9849,0.9899,0.9864,0.9825,0.9908,0.9875,0.9906,0.9976
0.9604,0.9226,0.9501,0.9474,0.9732,0.9765,0.9794,0.9776,0.9773,0.9759,0.9838,0.9734
0.9622,0.9201,0.9037,0.9507,0.9787,0.9797,0.9737,0.9838,0.9839,0.9773,0.9844,0.9899
0.9159,0.8285,0.879,0.9361,0.9559,0.961,0.9578,0.9561,0.9668,0.9622,0.9501,0.9668
0.9697,0.9007,0.9428,0.947,0.9831,0.9806,0.9774,0.9747,0.9888,0.9822,0.9854,0.9796
0.9546,0.9029,0.9373,0.8778,0.9796,0.9757,0.9779,0.9702,0.9915,0.9804,0.9763,0.9872
0.9506,0.9418,0.9512,0.9572,0.989,0.9884,0.9681,0.9834,0.9927,0.9875,0.9898,0.993
0.9445,0.8914,0.9181,0.9543,0.9655,0.9783,0.9645,0.9758,0.9878,0.9687,0.9572,0.9712
0.9492,0.9133,0.921,0.9281,0.9765,0.9839,0.9819,0.9694,0.9766,0.9825,0.9862,0.9864
0.9388,0.8725,0.9605,0.9029,0.9724,0.9739,0.9696,0.9714,0.9776,0.9889,0.9881,0.986
0.9629,0.9112,0.9462,0.9685,0.9808,0.981,0.9814,0.9667,0.9894,0.9932,0.9844,0.9891
0.9352,0.9099,0.9408,0.9503,0.9878,0.9792,0.98,0.9762,0.9948,0.991,0.9922,0.996
0.9436,0.9053,0.9306,0.9409,0.9796,0.9775,0.9679,0.9753,0.984,0.981,0.9738,0.9808
0.9478,0.9545,0.9527,0.981,0.9951,0.9889,0.9875,0.9925,0.9889,0.9892,0.9846,0.9846
0.946,0.9272,0.9098,0.943,0.9766,0.9853,0.9759,0.9786,0.9785,0.9805,0.9876,0.9829
0.9674,0.9495,0.9624,0.9455,0.9849,0.9834,0.9859,0.9872,0.9962,0.9827,0.9851,0.9867
0.9643,0.9385,0.9568,0.9497,0.9738,0.9817,0.983,0.9717,0.9782,0.9764,0.972,0.9841
0.9533,0.9233,0.9313,0.9287,0.9698,0.9732,0.9749,0.9668,0.9561,0.9793,0.9693,0.9806
0.9442,0.9086,0.9428,0.9428,0.9793,0.9721,0.977,0.9815,0.9804,0.9921,0.9863,0.9915
0.9701,0.9062,0.9278,0.9204,0.9732,0.9819,0.9754,0.9819,0.9746,0.9864,0.9809,0.9864
