Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.706,0.7293,0.7692,0.742,0.8328,0.8513,0.863,0.8698,0.8829,0.9125,0.8776,0.8528
0.6769,0.7177,0.5768,0.7434,0.7211,0.7488,0.741,0.7726,0.6696,0.688,0.7255,0.708
0.844,0.772,0.8305,0.713,0.8565,0.8445,0.865,0.8695,0.874,0.8255,0.893,0.797
0.846,0.7585,0.761,0.854,0.943,0.937,0.954,0.8855,0.929,0.9155,0.892,0.872
0.705,0.7815,0.754,0.7785,0.851,0.847,0.807,0.798,0.8225,0.839,0.787,0.7515
0.652,0.698,0.779,0.7845,0.881,0.844,0.888,0.818,0.775,0.793,0.7925,0.796
0.8385,0.6185,0.701,0.7685,0.8,0.83,0.8455,0.861,0.7835,0.829,0.7445,0.759
0.6995,0.6495,0.686,0.6895,0.807,0.774,0.804,0.8495,0.734,0.7315,0.7975,0.7625
0.7051,0.7189,0.8291,0.6842,0.8122,0.8,0.8459,0.8383,0.7464,0.7628,0.8398,0.7974
0.8903,0.8602,0.7959,0.8077,0.9143,0.8827,0.8622,0.9276,0.8709,0.8653,0.927,0.9337
0.5525,0.734,0.741,0.838,0.846,0.833,0.8485,0.8635,0.831,0.7835,0.859,0.788
0.7585,0.71,0.7015,0.7335,0.807,0.811,0.876,0.8625,0.8305,0.8675,0.7955,0.854
0.755,0.8565,0.7415,0.808,0.842,0.856,0.836,0.855,0.8295,0.7855,0.822,0.808
0.8,0.7215,0.655,0.857,0.911,0.8155,0.841,0.878,0.8445,0.842,0.807,0.821
0.781,0.7245,0.653,0.7985,0.7365,0.7755,0.7945,0.8315,0.7355,0.7155,0.6835,0.7335
0.8845,0.779,0.8065,0.7225,0.886,0.8905,0.9115,0.883,0.8645,0.8525,0.8015,0.881
0.7017,0.6356,0.656,0.776,0.7007,0.7386,0.7201,0.7687,0.7541,0.6968,0.7255,0.6686
0.8853,0.7206,0.8008,0.7716,0.8562,0.9261,0.9164,0.9184,0.8965,0.8776,0.8946,0.8537
0.8291,0.7878,0.7709,0.8194,0.9337,0.9235,0.9342,0.8709,0.8811,0.9168,0.8526,0.9122
0.7515,0.6847,0.6724,0.8469,0.7551,0.8173,0.7745,0.8383,0.7949,0.7459,0.6939,0.7776
0.8375,0.7575,0.729,0.8255,0.8335,0.8775,0.863,0.8595,0.895,0.878,0.849,0.916
0.7705,0.7105,0.6895,0.729,0.851,0.86,0.81,0.833,0.817,0.809,0.8295,0.801
0.7855,0.7015,0.7655,0.76,0.8335,0.8875,0.794,0.8255,0.8105,0.837,0.726,0.7595
0.7685,0.6985,0.858,0.6995,0.8815,0.853,0.9005,0.909,0.845,0.842,0.87,0.882
0.692,0.7715,0.7895,0.822,0.889,0.884,0.929,0.888,0.8285,0.832,0.816,0.824
0.817,0.6285,0.7125,0.739,0.815,0.859,0.8755,0.8755,0.821,0.8725,0.7875,0.823
0.6837,0.6744,0.7328,0.6987,0.7906,0.7998,0.8217,0.7668,0.7046,0.792,0.8965,0.8076
0.7051,0.6156,0.6778,0.8338,0.7284,0.8707,0.8717,0.8465,0.7721,0.7901,0.826,0.8348
0.798,0.8296,0.8597,0.6673,0.8194,0.8077,0.8459,0.8515,0.8179,0.7893,0.7668,0.7893
0.7051,0.652,0.8117,0.8372,0.8653,0.8959,0.8893,0.8638,0.8612,0.8342,0.8954,0.8526
0.8455,0.5121,0.862,0.8994,0.9203,0.931,0.9417,0.8868,0.8367,0.8746,0.8873,0.8912
0.9125,0.7648,0.7225,0.8479,0.8863,0.8931,0.9116,0.9111,0.8882,0.9354,0.8537,0.8362
0.8385,0.8625,0.8555,0.8325,0.864,0.88,0.86,0.889,0.8435,0.8195,0.8735,0.845
0.7865,0.6105,0.642,0.675,0.849,0.819,0.841,0.8475,0.846,0.805,0.7855,0.8325
0.764,0.646,0.6685,0.6505,0.715,0.718,0.739,0.8245,0.669,0.7115,0.685,0.652
0.6315,0.7515,0.7395,0.717,0.734,0.805,0.796,0.7715,0.7985,0.729,0.7435,0.6815
