Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6739,0.661,0.6324,0.6355,0.6512,0.6111,0.6065,0.6607,0.6383,0.6604,0.6167,0.6863
0.68,0.6957,0.5409,0.6842,0.6804,0.6842,0.6389,0.6909,0.7143,0.7347,0.6261,0.7327
0.6517,0.6667,0.6107,0.6729,0.6739,0.6909,0.6618,0.6429,0.68,0.6733,0.661,0.6733
0.5495,0.5185,0.5111,0.55,0.5934,0.6364,0.6027,0.5965,0.5849,0.5818,0.5781,0.5872
0.6374,0.6372,0.5714,0.6555,0.7292,0.7679,0.6939,0.6972,0.7216,0.6882,0.6842,0.7156
0.6105,0.5546,0.5942,0.6923,0.6444,0.6916,0.6438,0.7103,0.6383,0.6263,0.5981,0.6733
0.6087,0.5984,0.5906,0.5981,0.5843,0.6239,0.6338,0.6263,0.6327,0.68,0.6034,0.6122
0.7,0.6016,0.5833,0.6325,0.6408,0.6281,0.5732,0.6372,0.6122,0.6486,0.625,0.6296
0.5909,0.625,0.623,0.6422,0.6136,0.7129,0.6222,0.6789,0.6458,0.6383,0.6154,0.699
0.6596,0.6142,0.5,0.6604,0.6237,0.6909,0.6216,0.7037,0.6939,0.6408,0.6139,0.6809
0.6286,0.608,0.5578,0.6435,0.6222,0.6729,0.6275,0.6286,0.6667,0.5905,0.5714,0.66
0.6889,0.5893,0.5957,0.6545,0.6374,0.6909,0.6364,0.6667,0.6947,0.6602,0.6667,0.6186
0.6804,0.6549,0.6,0.7241,0.7423,0.7358,0.6483,0.6916,0.7255,0.7071,0.6557,0.7027
0.6019,0.6612,0.5409,0.6116,0.6122,0.6549,0.5839,0.6296,0.5741,0.6355,0.6154,0.6071
0.6098,0.5344,0.503,0.6071,0.5517,0.6667,0.637,0.6486,0.551,0.5217,0.5607,0.5657
0.7021,0.6609,0.637,0.7521,0.7083,0.7207,0.637,0.7826,0.6869,0.7593,0.7018,0.6667
0.6374,0.5854,0.5714,0.6095,0.6,0.6957,0.6267,0.6667,0.6535,0.5872,0.6552,0.6
0.5682,0.5586,0.6015,0.6667,0.5909,0.6327,0.6565,0.6422,0.5532,0.6263,0.5849,0.617
0.617,0.6055,0.623,0.6903,0.7,0.6667,0.6154,0.6847,0.5979,0.6792,0.6496,0.5859
0.6667,0.6606,0.5755,0.6667,0.7556,0.75,0.6577,0.74,0.7143,0.7158,0.6496,0.6792
0.7551,0.6721,0.5987,0.7521,0.72,0.7478,0.7027,0.7288,0.7091,0.6667,0.7241,0.6486
0.5909,0.6066,0.6241,0.6154,0.7097,0.6972,0.6573,0.6372,0.68,0.7059,0.6542,0.6337
0.5745,0.5667,0.56,0.595,0.6304,0.6038,0.5789,0.6286,0.587,0.6095,0.5741,0.6346
0.5116,0.6055,0.5811,0.6875,0.6136,0.7048,0.6377,0.6804,0.6804,0.6105,0.5946,0.6526
0.6667,0.6047,0.6154,0.7091,0.6813,0.7308,0.6765,0.6931,0.7129,0.6237,0.6667,0.7184
0.6327,0.6119,0.561,0.6842,0.6667,0.6897,0.6761,0.6857,0.625,0.7184,0.6949,0.66
0.6667,0.6942,0.5679,0.64,0.6809,0.6306,0.6144,0.6783,0.6604,0.6857,0.6452,0.6549
0.5934,0.595,0.5469,0.625,0.6596,0.6481,0.5985,0.6286,0.6471,0.6408,0.5862,0.6154
0.5895,0.6047,0.5621,0.6891,0.66,0.6116,0.6026,0.6964,0.6538,0.6408,0.6406,0.6796
0.6957,0.6349,0.5496,0.6726,0.6875,0.6857,0.6111,0.6923,0.6531,0.6875,0.5577,0.6869
0.6292,0.541,0.5441,0.6372,0.6593,0.7273,0.6338,0.6408,0.6364,0.6327,0.6286,0.6408
0.6538,0.6,0.5931,0.5738,0.6465,0.6441,0.56,0.6034,0.6214,0.68,0.6271,0.6545
0.5952,0.6422,0.5526,0.6535,0.6747,0.6863,0.6074,0.6214,0.6458,0.5941,0.5849,0.6957
0.64,0.6129,0.5749,0.6446,0.6667,0.6372,0.6098,0.6552,0.6972,0.7115,0.7193,0.6957
0.5393,0.6486,0.6412,0.6604,0.5747,0.6604,0.6259,0.5882,0.5849,0.6122,0.6724,0.6869
0.6186,0.5789,0.5584,0.6545,0.6186,0.6476,0.625,0.5794,0.5979,0.6126,0.6129,0.717
0.5773,0.6783,0.5786,0.7705,0.6939,0.6667,0.719,0.7523,0.6602,0.6422,0.6606,0.6607
0.6304,0.6349,0.6014,0.7273,0.7083,0.6909,0.6395,0.7368,0.7619,0.7477,0.7603,0.7222
0.5714,0.6154,0.6081,0.6804,0.6207,0.6792,0.6241,0.6923,0.6667,0.5773,0.7009,0.6667
0.6804,0.6457,0.6849,0.661,0.6804,0.7593,0.6486,0.6667,0.7071,0.6869,0.7156,0.6667
0.557,0.623,0.6301,0.5918,0.5679,0.7143,0.6475,0.6275,0.701,0.6105,0.6422,0.6105
0.6,0.6071,0.5128,0.6667,0.6437,0.6792,0.5874,0.66,0.6304,0.6458,0.6531,0.7071
0.7234,0.6271,0.6184,0.6909,0.7234,0.7037,0.6486,0.7027,0.6408,0.7091,0.6504,0.6923
0.5474,0.5664,0.529,0.6167,0.5556,0.566,0.5205,0.5524,0.551,0.5714,0.5664,0.6471
0.6731,0.5667,0.5926,0.7027,0.6804,0.6726,0.6133,0.6723,0.7379,0.6538,0.5607,0.6471
0.6875,0.6102,0.6056,0.7027,0.6452,0.7434,0.6525,0.6863,0.7573,0.6667,0.7018,0.6857
0.617,0.6207,0.5767,0.6126,0.6735,0.6609,0.6309,0.6607,0.6667,0.6931,0.6833,0.6476
0.6531,0.6724,0.5752,0.6296,0.6535,0.7018,0.6358,0.6957,0.7037,0.7184,0.7321,0.66
0.4884,0.5636,0.5906,0.6195,0.6118,0.6465,0.695,0.5941,0.5333,0.6392,0.7037,0.6667
0.7455,0.6667,0.586,0.75,0.8,0.7895,0.641,0.7719,0.7664,0.7238,0.6613,0.7143
0.587,0.5932,0.7167,0.6667,0.6222,0.6981,0.6154,0.7193,0.7255,0.6337,0.7103,0.701
0.587,0.6154,0.5714,0.6549,0.6522,0.6346,0.6466,0.6481,0.6061,0.6804,0.6316,0.64
0.699,0.6462,0.6259,0.65,0.7379,0.6614,0.6358,0.6606,0.6337,0.6182,0.6552,0.6606
0.6667,0.6207,0.6618,0.7048,0.6739,0.7222,0.6528,0.6667,0.6602,0.6602,0.6731,0.6327
0.4419,0.5818,0.5031,0.5088,0.4675,0.5263,0.5874,0.5495,0.5581,0.5057,0.5155,0.4706
0.66,0.6667,0.5419,0.6333,0.6667,0.7156,0.5605,0.6481,0.6931,0.6275,0.5984,0.6364
0.5647,0.625,0.5714,0.5636,0.5618,0.6667,0.6197,0.6154,0.5979,0.6737,0.5714,0.6667
0.6731,0.6667,0.6389,0.6972,0.68,0.7069,0.6194,0.6957,0.7339,0.7273,0.7167,0.6727
0.7347,0.6567,0.625,0.7241,0.7843,0.7563,0.6846,0.708,0.7091,0.7103,0.688,0.7679
0.6889,0.605,0.5802,0.6847,0.7111,0.729,0.6619,0.7143,0.6863,0.6061,0.6792,0.7103
0.6813,0.6087,0.5621,0.6667,0.6742,0.7115,0.6294,0.7347,0.6596,0.68,0.6931,0.7059
0.72,0.7,0.6222,0.6796,0.6939,0.7,0.596,0.6786,0.6604,0.6275,0.6379,0.6602
0.6392,0.6607,0.6316,0.6981,0.6222,0.7387,0.7111,0.7379,0.7129,0.7143,0.6606,0.6931
0.6437,0.6838,0.6032,0.7304,0.5745,0.6972,0.6383,0.6606,0.6237,0.6471,0.6542,0.66
0.6222,0.5938,0.5674,0.6261,0.6304,0.6729,0.6069,0.6422,0.6471,0.6078,0.6387,0.6531
0.6733,0.6,0.5867,0.6545,0.6596,0.7521,0.6443,0.6481,0.6863,0.699,0.6847,0.6667
0.5747,0.5607,0.6393,0.6316,0.6279,0.6275,0.619,0.6542,0.6458,0.5957,0.5965,0.7129
0.6481,0.5693,0.5276,0.6724,0.6214,0.65,0.586,0.6281,0.625,0.5926,0.6202,0.6195
0.6667,0.6316,0.6483,0.6226,0.6437,0.7027,0.6395,0.6538,0.6737,0.6857,0.566,0.5872
0.6222,0.6261,0.5732,0.5983,0.6067,0.6786,0.6122,0.6789,0.6364,0.6598,0.6491,0.7115
0.5652,0.6195,0.5205,0.6239,0.6739,0.7477,0.6486,0.6496,0.7423,0.6476,0.6667,0.7059
0.5934,0.5487,0.5621,0.6429,0.5843,0.6296,0.5752,0.6019,0.7379,0.6122,0.6239,0.6972
0.6591,0.562,0.6242,0.6372,0.6154,0.713,0.6667,0.6019,0.5941,0.6263,0.6545,0.6667
0.7368,0.6569,0.646,0.7414,0.7184,0.7833,0.7133,0.7778,0.7455,0.7308,0.7869,0.7636
0.6458,0.6116,0.6212,0.6372,0.5957,0.6261,0.5912,0.6126,0.6,0.5769,0.6154,0.6415
0.6452,0.6018,0.5984,0.6667,0.6522,0.717,0.6618,0.6481,0.6667,0.6731,0.6333,0.6139
0.6465,0.5902,0.6026,0.6731,0.6374,0.6604,0.6286,0.6296,0.6598,0.6869,0.6182,0.6667
0.6,0.6935,0.5535,0.6387,0.68,0.7321,0.596,0.7,0.6667,0.6296,0.6942,0.7156
0.5581,0.6429,0.5313,0.6207,0.6591,0.6538,0.6014,0.6316,0.5895,0.6804,0.6095,0.6337
0.5918,0.5984,0.597,0.6667,0.6667,0.6481,0.6131,0.62,0.6735,0.6186,0.5882,0.6186
0.6476,0.678,0.6203,0.6271,0.6122,0.6949,0.6329,0.7167,0.7156,0.6863,0.6349,0.7429
0.6476,0.6838,0.6216,0.6606,0.6966,0.6972,0.6912,0.7238,0.7143,0.6804,0.6786,0.7083
0.6237,0.5833,0.5672,0.6316,0.7045,0.7523,0.6076,0.6852,0.6535,0.66,0.5667,0.6875
