Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5909,0.6885,0.6,0.625,0.6957,0.7458,0.6,0.6667,0.76,0.72,0.7037,0.6957
0.5455,0.6897,0.5814,0.7368,0.7636,0.8,0.5814,0.7719,0.8077,0.7451,0.7119,0.7407
0.766,0.6182,0.641,0.625,0.7391,0.7692,0.641,0.68,0.6939,0.72,0.7547,0.7059
0.766,0.7368,0.7302,0.7407,0.8163,0.7547,0.6575,0.7037,0.7826,0.7347,0.7333,0.8235
0.7111,0.6207,0.5926,0.72,0.6957,0.7692,0.5926,0.7083,0.8261,0.72,0.6207,0.7083
0.7442,0.6897,0.6076,0.8148,0.7619,0.8302,0.6076,0.8627,0.8085,0.8085,0.8,0.875
0.6818,0.7241,0.5714,0.7273,0.7083,0.7636,0.5714,0.7636,0.75,0.6809,0.7719,0.7347
0.6512,0.7692,0.7213,0.7111,0.7273,0.7391,0.7273,0.6667,0.65,0.7,0.7755,0.6667
0.65,0.5283,0.6234,0.7083,0.7143,0.76,0.6234,0.7347,0.6977,0.6977,0.7273,0.65
0.7234,0.7692,0.6769,0.6957,0.7273,0.7308,0.6234,0.7083,0.68,0.6923,0.6316,0.7083
0.6923,0.6786,0.6234,0.6667,0.6923,0.7037,0.6133,0.6939,0.7234,0.7234,0.6557,0.68
0.7442,0.6512,0.6579,0.7391,0.7442,0.766,0.6364,0.7391,0.6667,0.7273,0.7111,0.6829
0.6939,0.6538,0.6173,0.549,0.5909,0.6667,0.6154,0.6538,0.6809,0.6,0.6154,0.6667
0.7907,0.7037,0.6494,0.717,0.7143,0.8,0.6757,0.7692,0.88,0.8462,0.7925,0.7347
0.6667,0.7407,0.6875,0.6809,0.7143,0.8235,0.6076,0.766,0.7111,0.6977,0.8261,0.8
0.8077,0.7273,0.6667,0.8163,0.7442,0.8627,0.6667,0.8085,0.8696,0.8,0.8,0.8261
0.6222,0.6667,0.6552,0.5833,0.6364,0.549,0.6571,0.5532,0.4,0.6087,0.5455,0.5366
0.619,0.6563,0.5797,0.6275,0.6383,0.7119,0.6154,0.6792,0.6667,0.6383,0.6909,0.6939
0.8511,0.7451,0.7188,0.75,0.7727,0.8077,0.6316,0.7347,0.8085,0.7556,0.902,0.75
0.6667,0.7241,0.5542,0.7059,0.6667,0.8,0.5647,0.6923,0.7755,0.7234,0.7692,0.8302
0.7083,0.7308,0.5926,0.7083,0.6667,0.7547,0.5926,0.6809,0.7273,0.7234,0.6552,0.6087
0.6275,0.6885,0.5915,0.5965,0.6275,0.6885,0.5952,0.6316,0.6786,0.6545,0.566,0.6786
0.8,0.7407,0.6849,0.8627,0.8,0.7778,0.6849,0.8077,0.8085,0.7451,0.7547,0.8627
0.6939,0.7143,0.6494,0.6939,0.7234,0.7458,0.6579,0.6939,0.6809,0.6383,0.7778,0.7308
0.6047,0.5714,0.6667,0.5957,0.6047,0.6383,0.5647,0.6364,0.6341,0.6809,0.6667,0.6512
0.75,0.7719,0.6667,0.75,0.8,0.8148,0.6667,0.7451,0.8333,0.8085,0.8163,0.7826
0.5789,0.7778,0.6154,0.5957,0.7442,0.7308,0.7385,0.6122,0.6818,0.8261,0.7347,0.8
0.6829,0.7547,0.64,0.7083,0.6829,0.6667,0.64,0.7234,0.7619,0.619,0.7037,0.6667
0.7083,0.6897,0.6316,0.7273,0.6667,0.7857,0.5455,0.75,0.7755,0.7407,0.6774,0.6939
0.875,0.8364,0.7931,0.8235,0.8571,0.8302,0.6575,0.7843,0.8511,0.8696,0.8,0.8261
