Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5517,0.6531,0.4483,0.619,0.6875,0.7442,0.6,0.7,0.5161,0.6486,0.6829,0.7368
0.4615,0.4783,0.48,0.45,0.5,0.6154,0.4906,0.5263,0.5405,0.5556,0.55,0.4615
0.5926,0.5128,0.5263,0.7027,0.6,0.625,0.6383,0.6471,0.5714,0.5625,0.5625,0.7059
0.4828,0.4737,0.5143,0.5128,0.5,0.6111,0.5574,0.5854,0.5,0.5455,0.5581,0.5294
0.4242,0.5333,0.5,0.5946,0.5806,0.5714,0.5532,0.5294,0.5625,0.5714,0.5556,0.4706
0.5882,0.3684,0.5769,0.7,0.5294,0.55,0.6122,0.65,0.6111,0.4706,0.5641,0.5
0.5294,0.5532,0.5294,0.6522,0.7222,0.6977,0.5538,0.6486,0.6154,0.6667,0.6809,0.6286
0.5161,0.7111,0.5185,0.6047,0.4667,0.6061,0.6038,0.5789,0.4667,0.6061,0.5217,0.4571
0.5625,0.5128,0.5,0.5116,0.6452,0.7568,0.5556,0.5946,0.625,0.5714,0.6829,0.6857
0.6829,0.6047,0.5926,0.6842,0.7368,0.7619,0.6182,0.6842,0.5405,0.5641,0.6222,0.6471
0.6667,0.6047,0.5926,0.6842,0.6486,0.7,0.6667,0.6667,0.5946,0.6857,0.6,0.6486
0.5882,0.5455,0.5,0.45,0.5625,0.6341,0.5763,0.5143,0.6286,0.6316,0.5581,0.4
0.24,0.5581,0.4286,0.4615,0.4375,0.4571,0.4364,0.4118,0.5,0.4667,0.4286,0.5625
0.4375,0.5116,0.4783,0.6857,0.5714,0.55,0.5306,0.5556,0.6061,0.5714,0.5714,0.5625
0.4571,0.5185,0.4267,0.3784,0.5,0.6154,0.4407,0.5,0.5556,0.6286,0.6087,0.5556
0.6,0.5714,0.5532,0.7879,0.6667,0.6875,0.6154,0.75,0.7333,0.6,0.7097,0.7273
0.7273,0.55,0.5556,0.6364,0.6857,0.6818,0.6316,0.6977,0.55,0.6154,0.5532,0.6512
0.3077,0.5854,0.4706,0.6047,0.5,0.5366,0.6667,0.5,0.4375,0.4444,0.5581,0.6111
0.4828,0.5238,0.5283,0.5714,0.5517,0.6,0.5957,0.5556,0.6111,0.5294,0.6047,0.6486
0.6,0.65,0.549,0.619,0.5185,0.6111,0.52,0.6316,0.6286,0.5714,0.5641,0.5625
0.619,0.48,0.5,0.4898,0.5946,0.5333,0.5294,0.5714,0.6667,0.6,0.6531,0.5854
0.4,0.5581,0.4906,0.4242,0.4,0.55,0.5357,0.5366,0.4667,0.5,0.4762,0.6471
0.4865,0.5,0.4898,0.5294,0.6,0.5263,0.5926,0.5294,0.5263,0.5455,0.5854,0.625
0.6471,0.7778,0.5882,0.7429,0.6667,0.6842,0.625,0.6875,0.6875,0.7273,0.7895,0.8125
0.5405,0.4898,0.5185,0.5,0.5882,0.65,0.5965,0.5263,0.5789,0.6667,0.5306,0.6154
0.7273,0.6,0.5862,0.7273,0.6207,0.6111,0.7059,0.7778,0.6875,0.625,0.6316,0.6061
0.5,0.5366,0.4906,0.5556,0.4828,0.6486,0.5172,0.5161,0.5455,0.5455,0.6316,0.5882
0.4848,0.4186,0.625,0.5263,0.5,0.55,0.5882,0.5556,0.4828,0.4,0.5556,0.5143
0.4667,0.5581,0.5106,0.5366,0.3871,0.6667,0.6,0.6341,0.5882,0.5789,0.5854,0.5128
0.7027,0.5854,0.6383,0.7368,0.5806,0.6341,0.5098,0.6667,0.6286,0.7273,0.6383,0.6667
0.4324,0.5306,0.3929,0.4681,0.4571,0.5333,0.5333,0.45,0.439,0.5778,0.4898,0.4783
0.5,0.5854,0.5556,0.5641,0.6061,0.5789,0.5714,0.5946,0.6111,0.5946,0.5909,0.5641
0.4828,0.439,0.4906,0.5641,0.4667,0.5455,0.4583,0.6061,0.5455,0.4,0.4324,0.5
0.6111,0.5217,0.6,0.5882,0.625,0.6316,0.5614,0.6111,0.6842,0.6486,0.5833,0.6486
0.4324,0.5909,0.459,0.4324,0.5556,0.5714,0.52,0.5,0.5556,0.5128,0.4889,0.5556
0.6897,0.6667,0.4815,0.5789,0.6429,0.5455,0.5714,0.5455,0.5625,0.5,0.6829,0.5333
0.3871,0.4615,0.566,0.5714,0.5714,0.6667,0.6296,0.7179,0.5625,0.5294,0.6667,0.6452
0.5882,0.5128,0.5714,0.65,0.625,0.7027,0.6383,0.7273,0.6061,0.7222,0.5581,0.6875
0.4375,0.5714,0.6415,0.6842,0.5333,0.6667,0.5965,0.6061,0.7273,0.5625,0.55,0.5882
