Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8,0.75,0.6525,0.7391,0.8661,0.9091,0.8112,0.8819,0.9219,0.9219,0.912,0.9134
0.748,0.8088,0.7067,0.7656,0.8403,0.8444,0.7432,0.8485,0.8992,0.8992,0.873,0.928
0.72,0.7626,0.6897,0.7231,0.8293,0.8462,0.7347,0.7559,0.864,0.8926,0.878,0.871
0.7521,0.7107,0.7857,0.7597,0.7611,0.7805,0.7852,0.848,0.8361,0.8305,0.85,0.8644
0.7304,0.7218,0.6357,0.6723,0.735,0.8,0.7852,0.7333,0.8264,0.8376,0.8103,0.8455
0.7458,0.7023,0.705,0.7344,0.7826,0.7937,0.7846,0.8696,0.8571,0.8099,0.8189,0.878
0.7107,0.7639,0.6879,0.7519,0.8174,0.8504,0.7133,0.8689,0.864,0.88,0.871,0.8819
0.832,0.7727,0.7013,0.7742,0.7833,0.7874,0.7917,0.8547,0.9194,0.878,0.8871,0.8833
0.7377,0.7273,0.7286,0.8438,0.7652,0.8955,0.8095,0.8281,0.9134,0.928,0.9365,0.9194
0.848,0.7941,0.7724,0.8345,0.9076,0.9365,0.8777,0.896,0.9421,0.9593,0.944,0.9431
0.6897,0.7368,0.7007,0.7478,0.8108,0.8814,0.7852,0.8448,0.8596,0.8547,0.906,0.8496
0.6909,0.6822,0.6383,0.7899,0.6923,0.7705,0.7368,0.8305,0.8475,0.8305,0.8167,0.8448
0.7414,0.7402,0.7176,0.7652,0.8376,0.8661,0.8358,0.8525,0.876,0.8644,0.8525,0.9016
0.7966,0.7681,0.6536,0.7626,0.876,0.88,0.7429,0.8455,0.8852,0.871,0.88,0.9063
0.7179,0.7883,0.7671,0.7846,0.8036,0.875,0.7785,0.8525,0.9016,0.8926,0.9032,0.9106
0.6783,0.7429,0.6857,0.7244,0.8136,0.8397,0.8088,0.8189,0.8571,0.8475,0.8293,0.876
0.8099,0.7402,0.7,0.8906,0.8475,0.8871,0.8,0.8889,0.9167,0.8983,0.876,0.8983
0.713,0.7656,0.7083,0.7863,0.7568,0.8235,0.7692,0.8073,0.8547,0.8571,0.8739,0.8718
0.7934,0.7538,0.7042,0.7969,0.8235,0.864,0.8029,0.88,0.9032,0.9032,0.9032,0.896
0.7538,0.7324,0.6928,0.7874,0.813,0.8382,0.8028,0.8462,0.8769,0.8361,0.8939,0.8413
0.8,0.6861,0.6486,0.797,0.8319,0.8504,0.7353,0.8739,0.8618,0.9106,0.896,0.8852
0.7107,0.782,0.6846,0.8169,0.7966,0.8182,0.7482,0.8504,0.8661,0.871,0.875,0.875
0.7273,0.7424,0.6757,0.7463,0.7895,0.8397,0.7808,0.7937,0.8571,0.8618,0.864,0.864
0.7368,0.7883,0.7808,0.7939,0.864,0.8906,0.8593,0.8455,0.9194,0.9194,0.9194,0.9194
0.7812,0.7313,0.7429,0.7857,0.8136,0.8444,0.766,0.8594,0.871,0.8943,0.8702,0.88
0.7273,0.8271,0.7612,0.7179,0.7895,0.8906,0.7424,0.7863,0.912,0.9048,0.8855,0.9206
0.7377,0.8182,0.7353,0.7805,0.8333,0.8976,0.7852,0.8618,0.8661,0.9032,0.9016,0.8833
0.7731,0.8029,0.6667,0.782,0.8673,0.8943,0.8058,0.8644,0.876,0.8346,0.855,0.843
0.6667,0.746,0.6429,0.6614,0.6549,0.7344,0.7068,0.7179,0.7934,0.7869,0.8067,0.7812
0.7857,0.784,0.7746,0.8217,0.8947,0.944,0.8,0.9593,0.9048,0.9516,0.9106,0.9516
0.7541,0.731,0.6443,0.7338,0.8,0.8636,0.7922,0.8235,0.855,0.8657,0.8741,0.8702
0.816,0.7153,0.7517,0.784,0.736,0.8,0.7733,0.813,0.8571,0.8438,0.8438,0.8346
0.7778,0.8271,0.6917,0.7797,0.8276,0.8871,0.8029,0.8475,0.9256,0.9167,0.896,0.9091
0.6767,0.7376,0.6533,0.7244,0.813,0.8551,0.7517,0.8244,0.9063,0.9147,0.8636,0.9147
0.7407,0.7368,0.6849,0.7154,0.8197,0.8689,0.7538,0.8065,0.9076,0.906,0.8525,0.8833
0.7731,0.803,0.702,0.736,0.8108,0.8992,0.8085,0.8,0.9106,0.9344,0.9256,0.928
0.708,0.7407,0.6906,0.7874,0.8,0.8571,0.7857,0.8644,0.8595,0.9106,0.8926,0.8833
0.7521,0.75,0.7,0.6949,0.7833,0.8548,0.7794,0.8167,0.88,0.8943,0.8889,0.876
0.7967,0.75,0.7114,0.75,0.7387,0.8594,0.7857,0.878,0.8976,0.9106,0.8462,0.912
0.7931,0.7194,0.6933,0.797,0.848,0.8976,0.8227,0.8819,0.9194,0.9219,0.9291,0.9147
0.7438,0.8148,0.6582,0.832,0.8214,0.8618,0.7917,0.8276,0.8943,0.9076,0.8983,0.9
0.7438,0.7132,0.7,0.8067,0.8522,0.8254,0.8271,0.8403,0.8833,0.8983,0.8594,0.8833
0.8031,0.766,0.6667,0.7937,0.8525,0.8529,0.7737,0.8403,0.8889,0.8889,0.896,0.9194
0.8205,0.8346,0.6715,0.8264,0.8547,0.8667,0.8148,0.9091,0.8547,0.8595,0.8739,0.8595
0.6667,0.7563,0.7619,0.7559,0.7748,0.8689,0.8657,0.7869,0.8852,0.8448,0.8908,0.9032
0.6875,0.746,0.6667,0.6818,0.75,0.8182,0.7353,0.784,0.8062,0.8154,0.8413,0.848
0.7541,0.8031,0.6531,0.7377,0.8,0.8661,0.7883,0.864,0.8852,0.9016,0.8871,0.8689
0.8031,0.7519,0.7338,0.736,0.7227,0.8217,0.7482,0.8189,0.8226,0.816,0.8413,0.8387
0.7679,0.7752,0.7259,0.7576,0.8833,0.8615,0.8175,0.843,0.8852,0.8943,0.8661,0.8548
0.7304,0.746,0.698,0.746,0.8197,0.8548,0.7333,0.8387,0.8852,0.912,0.88,0.9032
0.8033,0.7647,0.7172,0.7563,0.8065,0.8438,0.777,0.8475,0.878,0.848,0.873,0.864
0.7385,0.6906,0.6928,0.7353,0.7786,0.8286,0.7517,0.7519,0.8444,0.8148,0.8321,0.8321
0.7965,0.8372,0.7083,0.7731,0.8421,0.8661,0.8286,0.8571,0.9091,0.9421,0.9431,0.9421
0.7438,0.6857,0.6923,0.748,0.7863,0.8889,0.7971,0.843,0.8689,0.8689,0.878,0.8871
0.7402,0.7287,0.68,0.7385,0.7797,0.8217,0.7333,0.8413,0.9048,0.875,0.9091,0.9256
0.7434,0.697,0.6377,0.7692,0.7818,0.875,0.8,0.8833,0.8889,0.9167,0.928,0.9344
0.7679,0.7907,0.7164,0.7934,0.789,0.832,0.8092,0.8644,0.9322,0.9153,0.9244,0.906
0.7107,0.8217,0.7376,0.7805,0.8504,0.8769,0.8169,0.8682,0.9291,0.9291,0.8906,0.9008
0.6957,0.7302,0.7273,0.7143,0.7523,0.8099,0.75,0.8095,0.8814,0.8136,0.876,0.9091
0.7419,0.797,0.7465,0.7846,0.8174,0.8571,0.8286,0.8689,0.944,0.8833,0.873,0.8926
0.7692,0.813,0.7703,0.7805,0.8235,0.8661,0.8438,0.8264,0.9194,0.8908,0.8908,0.8718
0.7328,0.7857,0.7347,0.782,0.8833,0.8636,0.8085,0.8593,0.8992,0.8702,0.8382,0.9032
0.7434,0.777,0.6614,0.8125,0.8142,0.8661,0.7941,0.8455,0.878,0.9032,0.8595,0.8976
0.7523,0.797,0.7376,0.7874,0.8148,0.9106,0.8889,0.8571,0.918,0.9091,0.8462,0.9153
0.7731,0.7407,0.7211,0.832,0.8142,0.8455,0.7883,0.8264,0.9076,0.9091,0.9167,0.9421
0.7458,0.7246,0.6993,0.7385,0.8197,0.8421,0.7671,0.7812,0.873,0.8504,0.864,0.864
0.7207,0.7519,0.8029,0.7778,0.8103,0.8788,0.8511,0.9048,0.9256,0.9355,0.912,0.9355
0.7179,0.7857,0.6525,0.7805,0.8333,0.848,0.7883,0.8197,0.8618,0.8814,0.9,0.878
0.7895,0.6984,0.7222,0.7419,0.8197,0.8769,0.8175,0.8361,0.896,0.9032,0.9194,0.9016
0.7414,0.7143,0.6757,0.8095,0.8167,0.8308,0.7941,0.8226,0.8661,0.871,0.8661,0.8504
0.7667,0.8031,0.7183,0.8189,0.8167,0.8992,0.8345,0.871,0.9134,0.9365,0.8702,0.9365
0.791,0.7101,0.6951,0.7407,0.7833,0.8382,0.7448,0.7883,0.8438,0.8837,0.8682,0.8819
0.6949,0.6331,0.68,0.72,0.7107,0.7692,0.7606,0.7778,0.876,0.8943,0.8387,0.843
0.6465,0.7826,0.68,0.7642,0.807,0.8889,0.8201,0.878,0.9091,0.9,0.9268,0.9016
0.7586,0.7597,0.7647,0.7846,0.7826,0.8455,0.8217,0.8174,0.8943,0.8976,0.848,0.873
0.7603,0.7481,0.7183,0.7717,0.7863,0.782,0.7737,0.8361,0.848,0.8833,0.8689,0.8739
0.7344,0.7568,0.7105,0.7591,0.8033,0.8286,0.76,0.8593,0.9008,0.8702,0.8872,0.8872
0.7966,0.6715,0.6713,0.7786,0.8393,0.873,0.8235,0.8667,0.9333,0.9244,0.9106,0.9333
0.7395,0.7218,0.6767,0.797,0.8235,0.8702,0.8296,0.8387,0.8833,0.8305,0.8926,0.8136
0.8361,0.7481,0.705,0.7778,0.8067,0.8504,0.7746,0.8333,0.9032,0.8926,0.8689,0.9
0.7547,0.7634,0.6875,0.735,0.7748,0.8167,0.8,0.8596,0.8496,0.9194,0.8739,0.8908
0.7759,0.8029,0.6618,0.8361,0.8673,0.8926,0.8361,0.8644,0.876,0.9016,0.9194,0.9032
0.7967,0.7778,0.7518,0.7302,0.8276,0.8244,0.7943,0.8197,0.871,0.8571,0.8387,0.8618
0.7769,0.7206,0.7143,0.7727,0.8103,0.8618,0.7746,0.816,0.8983,0.906,0.8908,0.876
0.6957,0.7206,0.695,0.768,0.7826,0.8421,0.7794,0.8033,0.8413,0.8548,0.8462,0.8548
0.7179,0.6923,0.726,0.7833,0.7679,0.7627,0.7299,0.7966,0.8376,0.8496,0.8421,0.8246
0.7705,0.7344,0.7133,0.7883,0.8571,0.8594,0.8058,0.8618,0.8595,0.8976,0.8571,0.8833
0.7705,0.8345,0.7413,0.7419,0.8293,0.8485,0.7671,0.8244,0.843,0.8571,0.864,0.896
0.7091,0.7481,0.6575,0.7193,0.8348,0.8718,0.8095,0.8348,0.8983,0.906,0.8673,0.9153
0.6719,0.7068,0.6761,0.7049,0.7339,0.8372,0.7413,0.7903,0.8618,0.871,0.8293,0.8667
0.7321,0.7591,0.7234,0.8136,0.7636,0.8615,0.8,0.8281,0.9256,0.9291,0.9194,0.8943
0.7812,0.75,0.732,0.7667,0.8983,0.9134,0.8058,0.8833,0.96,0.9268,0.9516,0.9431
0.7541,0.7538,0.7639,0.784,0.8525,0.8702,0.7832,0.8682,0.912,0.9032,0.8594,0.8889
0.7207,0.697,0.7068,0.661,0.7719,0.864,0.7559,0.8033,0.8403,0.878,0.8167,0.8595
0.8525,0.806,0.7338,0.7934,0.8197,0.8657,0.8148,0.8197,0.9091,0.8788,0.8855,0.9147
0.8095,0.7445,0.7826,0.8031,0.8276,0.8943,0.8175,0.8689,0.912,0.912,0.8906,0.8976
0.8281,0.7324,0.7234,0.7717,0.8504,0.8321,0.8175,0.8361,0.8769,0.873,0.8976,0.8976
0.7241,0.7031,0.7083,0.7581,0.8136,0.848,0.7714,0.8667,0.8814,0.8548,0.8525,0.896
0.7097,0.6906,0.7183,0.8034,0.7863,0.7907,0.7424,0.7797,0.8205,0.8142,0.8308,0.8305
0.7521,0.8143,0.6933,0.7563,0.8036,0.8636,0.8154,0.843,0.9016,0.8852,0.871,0.8908
0.7414,0.7647,0.6241,0.8,0.8319,0.8346,0.777,0.8189,0.8718,0.8644,0.8361,0.8413
0.7059,0.7626,0.6928,0.8197,0.8403,0.8871,0.8507,0.878,0.918,0.896,0.9194,0.928
0.8254,0.766,0.726,0.7556,0.8372,0.8333,0.8028,0.8613,0.9091,0.8906,0.8788,0.8702
0.6552,0.7786,0.6711,0.7805,0.7895,0.7786,0.7518,0.8235,0.8333,0.843,0.8595,0.85
0.7559,0.7826,0.6667,0.7846,0.8197,0.8906,0.7703,0.803,0.9063,0.8855,0.9134,0.9048
0.8,0.8308,0.7536,0.8092,0.8525,0.8788,0.8369,0.8661,0.9016,0.9194,0.88,0.8871
0.8174,0.7361,0.726,0.7778,0.8376,0.8906,0.8058,0.8475,0.9,0.9032,0.871,0.88
0.7586,0.7,0.7445,0.8174,0.906,0.9516,0.8855,0.9256,0.9756,0.9431,0.9344,0.9516
0.8,0.7445,0.6438,0.7541,0.8167,0.8682,0.7801,0.8595,0.9206,0.8943,0.9032,0.9206
0.72,0.7015,0.6667,0.7541,0.7544,0.7874,0.7556,0.7899,0.8387,0.8571,0.8455,0.8264
0.6891,0.7206,0.68,0.7521,0.7586,0.848,0.7259,0.7863,0.8595,0.8595,0.8689,0.8571
0.8,0.7879,0.6815,0.8065,0.8246,0.8871,0.8148,0.8689,0.8976,0.8939,0.8939,0.8889
0.7899,0.7647,0.6282,0.7778,0.8448,0.88,0.7883,0.8346,0.8926,0.8926,0.8455,0.9091
0.7541,0.7481,0.7376,0.7317,0.7759,0.8527,0.8088,0.8154,0.8889,0.8504,0.8923,0.8992
0.7759,0.7286,0.7248,0.7903,0.8276,0.8793,0.7907,0.8739,0.875,0.9231,0.8814,0.8793
0.8,0.7391,0.7123,0.7642,0.7705,0.8571,0.7832,0.8235,0.8644,0.8644,0.8689,0.8595
0.7797,0.7445,0.7297,0.8189,0.8819,0.8769,0.8,0.8889,0.9194,0.9206,0.9048,0.9206
0.8136,0.7714,0.7383,0.7846,0.8319,0.9077,0.8345,0.8438,0.9344,0.896,0.9206,0.9048
0.8403,0.7752,0.7123,0.7761,0.8348,0.8682,0.8551,0.8689,0.878,0.8819,0.8661,0.864
0.7778,0.7183,0.6795,0.7302,0.8167,0.8702,0.7887,0.8485,0.8992,0.9375,0.8722,0.9206
0.7563,0.7808,0.6939,0.784,0.8376,0.8,0.7714,0.878,0.832,0.8618,0.8852,0.8504
0.7597,0.7681,0.6761,0.7669,0.8067,0.8062,0.8028,0.8361,0.8976,0.9194,0.8548,0.9048
0.7317,0.7794,0.6797,0.8217,0.7478,0.8636,0.8169,0.8403,0.8819,0.871,0.8906,0.8889
0.735,0.7538,0.7013,0.735,0.7407,0.8099,0.7538,0.7788,0.8403,0.8547,0.85,0.8644
0.7222,0.7097,0.7273,0.75,0.7477,0.85,0.8226,0.7736,0.8718,0.8235,0.8174,0.8348
0.7069,0.7121,0.6963,0.7941,0.7731,0.8235,0.7801,0.7812,0.88,0.864,0.8889,0.8618
0.813,0.7769,0.7429,0.843,0.8772,0.96,0.8485,0.8889,0.9672,0.906,0.9167,0.9322
0.661,0.7536,0.7,0.752,0.8136,0.8462,0.7552,0.8571,0.8682,0.9048,0.8819,0.9106
0.784,0.7857,0.7467,0.8889,0.843,0.9008,0.8592,0.8769,0.8819,0.896,0.8855,0.896
0.7434,0.7559,0.6443,0.7797,0.7706,0.8618,0.7612,0.807,0.8621,0.8319,0.8333,0.8621
0.7227,0.7424,0.6974,0.7328,0.8103,0.8489,0.8219,0.8062,0.8906,0.864,0.8976,0.8837
0.7611,0.8148,0.7194,0.7869,0.8522,0.918,0.8397,0.8908,0.8943,0.9091,0.9268,0.906
0.6542,0.6716,0.6716,0.7143,0.7928,0.8264,0.75,0.8174,0.8571,0.8522,0.8689,0.8718
0.7559,0.7328,0.6806,0.7642,0.8103,0.8197,0.8,0.7934,0.8852,0.8595,0.8361,0.8595
0.7833,0.7385,0.702,0.8031,0.8288,0.8594,0.8116,0.88,0.9,0.8926,0.878,0.9016
0.748,0.7639,0.702,0.7778,0.7611,0.8661,0.8194,0.8397,0.9134,0.9194,0.9147,0.8943
0.8346,0.7717,0.7101,0.816,0.8235,0.8421,0.8112,0.873,0.9147,0.912,0.8976,0.912
0.6667,0.7333,0.6716,0.6557,0.7759,0.8226,0.7231,0.8067,0.8276,0.8718,0.8667,0.807
0.8099,0.7576,0.7606,0.8,0.8103,0.8548,0.8281,0.8644,0.8833,0.8793,0.875,0.8739
0.7213,0.7482,0.7273,0.7368,0.8333,0.8346,0.7626,0.843,0.8852,0.8852,0.8852,0.9032
0.7937,0.7068,0.6901,0.832,0.843,0.9023,0.806,0.8889,0.8837,0.9008,0.9077,0.8837
0.7627,0.7429,0.7285,0.7419,0.8319,0.8387,0.7606,0.832,0.912,0.8615,0.88,0.8571
0.748,0.7941,0.7042,0.7941,0.8033,0.8296,0.8028,0.8293,0.873,0.88,0.871,0.8571
0.7586,0.697,0.7162,0.7874,0.7863,0.8837,0.7445,0.8689,0.912,0.9032,0.912,0.912
0.7387,0.7377,0.7597,0.816,0.8468,0.896,0.8527,0.8596,0.9076,0.9076,0.9167,0.9256
0.7652,0.7869,0.7429,0.6838,0.785,0.8525,0.7402,0.8174,0.8947,0.885,0.9076,0.8947
0.7414,0.7068,0.6575,0.75,0.7895,0.8308,0.7681,0.8226,0.876,0.8595,0.876,0.85
0.7603,0.7571,0.6351,0.7704,0.8333,0.8571,0.8029,0.8235,0.873,0.8615,0.8889,0.848
0.7679,0.8029,0.6944,0.7846,0.7863,0.896,0.7826,0.832,0.9091,0.8943,0.896,0.9091
0.8,0.6933,0.7536,0.8062,0.85,0.8906,0.8,0.8702,0.9508,0.918,0.9194,0.9431
0.7903,0.8657,0.7397,0.8125,0.8618,0.8923,0.8382,0.88,0.9219,0.9048,0.9194,0.9219
0.7581,0.7727,0.7067,0.7619,0.8305,0.8636,0.766,0.8,0.928,0.9076,0.896,0.8852
0.6538,0.7111,0.6567,0.6783,0.7928,0.8205,0.7576,0.8099,0.8257,0.8167,0.8174,0.8174
0.7731,0.7704,0.7368,0.8197,0.85,0.8872,0.8056,0.8667,0.9268,0.9268,0.896,0.918
0.7442,0.7541,0.6853,0.7438,0.7636,0.8438,0.7914,0.7769,0.843,0.85,0.848,0.8618
0.7179,0.7727,0.6667,0.7939,0.7679,0.8372,0.8058,0.8527,0.8889,0.88,0.876,0.8397
0.7769,0.7874,0.7417,0.7937,0.8205,0.8852,0.8029,0.8413,0.8814,0.8718,0.9032,0.8814
0.7717,0.8244,0.7518,0.7969,0.7934,0.8657,0.7586,0.878,0.896,0.873,0.8636,0.8819
0.7154,0.7538,0.726,0.8197,0.8455,0.896,0.8235,0.8413,0.875,0.9032,0.8682,0.8571
0.7541,0.7612,0.726,0.75,0.7627,0.8308,0.7606,0.8281,0.875,0.8661,0.8462,0.8769
0.8167,0.7634,0.75,0.7273,0.8136,0.8682,0.8175,0.7967,0.8833,0.8983,0.878,0.8889
0.7581,0.766,0.7273,0.7368,0.8065,0.8507,0.7534,0.8296,0.8992,0.8467,0.8702,0.8837
0.7018,0.803,0.6765,0.735,0.8305,0.8361,0.7556,0.7731,0.8333,0.8718,0.878,0.8333
0.7797,0.812,0.7152,0.7681,0.8525,0.8615,0.7737,0.8346,0.8976,0.8906,0.8855,0.9063
0.6964,0.768,0.6462,0.8,0.6857,0.8525,0.7681,0.8,0.8852,0.8667,0.8833,0.9016
0.7259,0.8,0.671,0.803,0.8189,0.8855,0.7517,0.8906,0.9063,0.9063,0.8923,0.9063
0.843,0.7971,0.7361,0.7742,0.8673,0.912,0.8571,0.9231,0.9412,0.9153,0.9421,0.9244
0.7778,0.7812,0.7338,0.7642,0.7895,0.8413,0.7852,0.8387,0.885,0.8983,0.906,0.878
0.7928,0.7429,0.72,0.7619,0.875,0.9032,0.7761,0.8595,0.9508,0.9355,0.9355,0.9508
0.7478,0.7385,0.6861,0.7742,0.8167,0.8455,0.8444,0.8361,0.8689,0.8547,0.8926,0.8871
0.7119,0.7273,0.6133,0.6515,0.7321,0.8504,0.7448,0.8,0.8455,0.8548,0.8033,0.8413
0.7879,0.7794,0.7448,0.7619,0.8348,0.848,0.7971,0.873,0.878,0.8475,0.8387,0.9032
0.6981,0.6923,0.705,0.768,0.7692,0.8438,0.7286,0.7967,0.8852,0.876,0.864,0.871
0.7344,0.7518,0.7383,0.7576,0.8067,0.8281,0.7639,0.855,0.878,0.864,0.8661,0.8926
0.8,0.8148,0.7376,0.7642,0.8403,0.8992,0.8286,0.848,0.9365,0.9091,0.9219,0.9365
