Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8158,0.6094,0.5244,0.6415,0.875,0.6111,0.4653,0.6379,0.75,0.6731,0.5606,0.7292
0.7391,0.6557,0.4095,0.65,0.7674,0.65,0.5111,0.6786,0.7955,0.8182,0.5902,0.7872
0.8286,0.6333,0.5195,0.6792,0.8158,0.6786,0.5488,0.6207,0.7391,0.7234,0.6094,0.7234
0.6944,0.4375,0.368,0.5077,0.75,0.6364,0.4835,0.5763,0.6078,0.5818,0.5068,0.5926
0.8056,0.6207,0.434,0.6094,0.8537,0.7544,0.5543,0.7037,0.8333,0.8421,0.661,0.7222
0.725,0.5156,0.494,0.7347,0.8286,0.7115,0.5165,0.7308,0.7692,0.7045,0.6154,0.7391
0.7568,0.5278,0.4681,0.6154,0.7647,0.6296,0.5172,0.7045,0.7209,0.7556,0.5738,0.6977
0.7778,0.5441,0.4719,0.5968,0.6875,0.5758,0.4312,0.6207,0.6977,0.6429,0.614,0.6415
0.7879,0.5479,0.5672,0.6481,0.8182,0.7826,0.525,0.6852,0.7561,0.7692,0.5806,0.75
0.775,0.5342,0.3878,0.6731,0.7436,0.6786,0.4894,0.7037,0.7727,0.6735,0.6596,0.8
0.6471,0.5352,0.4409,0.6066,0.7778,0.6792,0.4848,0.6471,0.7333,0.6078,0.5517,0.7174
0.8611,0.569,0.4828,0.6429,0.7838,0.6786,0.5385,0.6667,0.8049,0.6939,0.6061,0.6977
0.7674,0.6271,0.4884,0.6774,0.8372,0.75,0.5165,0.6981,0.7708,0.7778,0.5882,0.6842
0.6458,0.6061,0.4135,0.5606,0.6977,0.6379,0.4434,0.6415,0.5849,0.6538,0.5806,0.5965
0.9259,0.4605,0.375,0.5965,0.75,0.7,0.5375,0.6429,0.6279,0.6486,0.5769,0.6364
0.8462,0.6333,0.5375,0.7097,0.8293,0.7143,0.5375,0.75,0.7727,0.7736,0.678,0.6792
0.8056,0.5294,0.4444,0.64,0.7714,0.6667,0.4947,0.6441,0.7174,0.5926,0.623,0.6667
0.7576,0.5536,0.5128,0.6792,0.7879,0.7209,0.5658,0.6481,0.6667,0.7045,0.6078,0.7436
0.7436,0.6111,0.5672,0.6724,0.7778,0.6607,0.5,0.6786,0.6905,0.7059,0.6129,0.6591
0.8333,0.6545,0.4706,0.7083,0.9444,0.78,0.5158,0.8043,0.7955,0.8293,0.6032,0.6923
0.8409,0.6029,0.4563,0.6984,0.7826,0.7049,0.5532,0.6719,0.6964,0.7083,0.6774,0.6316
0.7647,0.5441,0.5057,0.64,0.8462,0.6909,0.5281,0.6102,0.7391,0.75,0.6604,0.6809
0.675,0.5152,0.4375,0.5373,0.7632,0.6154,0.449,0.6471,0.7105,0.6275,0.5741,0.66
0.7097,0.6111,0.4624,0.8049,0.8182,0.74,0.5301,0.7857,0.7857,0.725,0.5893,0.775
0.8158,0.527,0.5,0.7091,0.8611,0.7755,0.5679,0.7609,0.7826,0.7632,0.7,0.7708
0.7209,0.519,0.422,0.661,0.75,0.6557,0.5517,0.72,0.7317,0.7708,0.6508,0.7333
0.7805,0.6364,0.4299,0.5714,0.8205,0.625,0.4796,0.65,0.6863,0.72,0.5797,0.6379
0.75,0.5455,0.4795,0.614,0.7949,0.6604,0.5,0.66,0.7021,0.6875,0.5574,0.6531
0.7,0.527,0.4388,0.6406,0.7333,0.5606,0.4653,0.6842,0.6939,0.6875,0.5616,0.7292
0.8421,0.5556,0.4675,0.6441,0.7857,0.7059,0.4889,0.72,0.7273,0.7857,0.58,0.7556
0.8,0.4853,0.4512,0.6102,0.8108,0.8,0.5114,0.6735,0.8235,0.7045,0.6471,0.6735
0.68,0.5132,0.4725,0.5147,0.7111,0.5938,0.4375,0.5645,0.6531,0.7391,0.5781,0.6429
0.8333,0.6364,0.4286,0.7021,0.9655,0.7292,0.5062,0.6531,0.7381,0.6383,0.5962,0.8421
0.7111,0.5507,0.4286,0.5909,0.75,0.6207,0.4587,0.623,0.7037,0.7551,0.6949,0.6667
0.7059,0.6429,0.5526,0.6863,0.7813,0.6863,0.5,0.6383,0.6078,0.6977,0.6393,0.7727
