Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.65,0.5676,0.4286,0.625,0.7273,0.6286,0.4286,0.6296,0.7308,0.6923,0.6333,0.7273
0.6316,0.6061,0.4098,0.6563,0.7,0.6857,0.4098,0.6875,0.7778,0.7308,0.6176,0.6897
0.8182,0.5667,0.4717,0.6522,0.8095,0.7407,0.4717,0.68,0.7083,0.72,0.7143,0.6923
0.8182,0.6563,0.6053,0.6897,0.8333,0.7143,0.5,0.6552,0.8571,0.75,0.6286,0.8077
0.7619,0.5294,0.4211,0.6923,0.7273,0.7143,0.4211,0.7083,0.8636,0.6923,0.5294,0.7083
0.8421,0.5882,0.4364,0.7333,0.8889,0.7586,0.4364,0.8148,0.8261,0.8261,0.7097,0.875
0.75,0.6176,0.4,0.6452,0.7083,0.6774,0.4,0.6774,0.75,0.6957,0.6667,0.72
0.7368,0.7143,0.5946,0.7619,0.8,0.7727,0.5714,0.7778,0.8125,0.875,0.76,0.7778
0.8125,0.4828,0.4528,0.7083,0.8333,0.7308,0.4528,0.72,0.7895,0.7895,0.8,0.8125
0.7391,0.7143,0.5366,0.7273,0.8,0.6786,0.4528,0.7083,0.6538,0.6429,0.5455,0.7083
0.6429,0.5938,0.4528,0.6296,0.6429,0.6333,0.451,0.68,0.7391,0.7391,0.5405,0.6538
0.8889,0.7778,0.4902,0.8095,0.8889,0.8182,0.5122,0.8095,0.8235,0.8421,0.8,0.875
0.7083,0.6296,0.4464,0.5385,0.6842,0.6207,0.4528,0.6296,0.7273,0.6,0.5926,0.6957
0.9444,0.6552,0.4808,0.6786,0.8824,0.7333,0.5102,0.7407,0.88,0.8148,0.75,0.75
0.7778,0.6667,0.55,0.6957,0.8333,0.7778,0.4364,0.7826,0.7619,0.7895,0.8636,0.8571
0.75,0.6452,0.5,0.8,0.8421,0.8148,0.5,0.8261,0.9091,0.8571,0.7692,0.8636
0.6667,0.6,0.5588,0.5833,0.7,0.5185,0.5,0.5652,0.5,0.6364,0.4839,0.6471
0.7222,0.525,0.4444,0.5926,0.6522,0.6,0.4444,0.6207,0.6667,0.6522,0.6129,0.68
0.8696,0.7037,0.575,0.75,0.85,0.75,0.4615,0.72,0.8261,0.8095,0.8519,0.75
0.6,0.6176,0.3898,0.6667,0.6667,0.7097,0.3934,0.6429,0.76,0.7391,0.7143,0.7586
0.7083,0.6786,0.4211,0.7083,0.7143,0.6897,0.4211,0.6957,0.8,0.7391,0.5588,0.6364
0.6154,0.5833,0.4565,0.5313,0.6154,0.5833,0.4237,0.5625,0.6129,0.6,0.5357,0.6129
0.8,0.6897,0.5208,0.8462,0.8,0.7241,0.5208,0.7778,0.8636,0.7308,0.7143,0.8462
0.7083,0.6452,0.4808,0.7083,0.7727,0.6471,0.4902,0.7083,0.7273,0.6818,0.7241,0.7037
0.6842,0.56,0.6,0.6087,0.6842,0.6522,0.3934,0.7,0.7647,0.6957,0.5758,0.7368
0.75,0.6667,0.5,0.6563,0.8571,0.7333,0.5,0.7037,0.8333,0.8261,0.8,0.8182
0.7857,0.7,0.4444,0.6087,0.8421,0.6786,0.5854,0.6,0.75,0.8636,0.72,0.7692
0.8235,0.6897,0.4706,0.7083,0.8235,0.7143,0.4706,0.7391,0.8889,0.7222,0.6333,0.7143
0.7083,0.5882,0.4615,0.6452,0.6667,0.6875,0.375,0.6563,0.76,0.6667,0.5526,0.68
0.875,0.7419,0.6765,0.7778,0.84,0.7586,0.4898,0.7407,0.8696,0.9091,0.7097,0.8636
0.8235,0.5172,0.55,0.7143,0.9231,0.6429,0.4138,0.7391,0.8125,0.7,0.6923,0.7778
0.7826,0.7742,0.5581,0.7931,0.7778,0.7742,0.4808,0.7407,0.8148,0.8077,0.7059,0.8214
0.8667,0.6897,0.4902,0.7826,0.7727,0.7241,0.4902,0.72,0.84,0.8,0.6538,0.6897
0.7917,0.6,0.4464,0.6897,0.75,0.6757,0.4464,0.697,0.6897,0.6897,0.6471,0.6563
0.7727,0.5946,0.4583,0.6538,0.8095,0.75,0.4068,0.5926,0.7826,0.7826,0.75,0.85
0.6364,0.6176,0.434,0.75,0.7368,0.75,0.4286,0.8235,0.7143,0.6667,0.6552,0.7273
0.7083,0.6111,0.4615,0.6538,0.7895,0.6129,0.4615,0.6296,0.7083,0.6957,0.7308,0.7273
0.75,0.6774,0.5405,0.75,0.8333,0.7917,0.48,0.7308,0.8,0.8571,0.7143,0.8333
0.7895,0.6333,0.5106,0.6429,0.6471,0.6207,0.5238,0.6957,0.875,0.8,0.75,0.7727
0.68,0.5938,0.4667,0.6,0.7727,0.6452,0.3934,0.625,0.6071,0.6429,0.6,0.6667
0.6786,0.6111,0.4068,0.6129,0.6667,0.6389,0.4138,0.6061,0.7692,0.85,0.7097,0.6452
1.0,0.8095,0.6061,0.8125,1.0,0.8696,0.5,0.8125,0.8462,0.9375,0.8333,0.9444
0.5357,0.5526,0.4098,0.6061,0.5667,0.5385,0.4098,0.6,0.5938,0.5862,0.6061,0.6129
0.7059,0.6207,0.4386,0.6957,0.7647,0.6296,0.4386,0.6957,0.6316,0.7308,0.65,0.6667
0.8333,0.64,0.5714,0.6071,0.7826,0.6786,0.4286,0.6923,0.7727,0.7619,0.7917,0.8
0.7826,0.5588,0.5714,0.6429,0.7273,0.7308,0.4364,0.7391,0.76,0.72,0.6875,0.72
0.7917,0.6667,0.4364,0.6667,0.7826,0.6875,0.4364,0.6571,0.7308,0.76,0.7188,0.6786
0.8,0.5769,0.4528,0.7826,0.8696,0.7,0.4528,0.7143,0.7826,0.85,0.6563,0.7391
0.7895,0.6667,0.55,0.64,0.7619,0.7143,0.5217,0.7826,0.8333,0.7826,0.8077,0.8182
0.9286,0.7037,0.4706,0.6923,1.0,0.76,0.4706,0.7391,0.8421,0.9444,0.8571,0.9412
0.7083,0.5517,0.4865,0.7083,0.6957,0.6154,0.4364,0.68,0.8421,0.7391,0.6333,0.7917
0.76,0.7097,0.6389,0.8,0.76,0.7241,0.4902,0.7143,0.8,0.7826,0.75,0.7619
0.6538,0.6333,0.5676,0.6,0.7,0.75,0.4902,0.6522,0.64,0.7222,0.7143,0.8
