Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8,0.5333,0.3333,0.5652,0.8462,0.6667,0.439,0.6667,0.6667,0.6667,0.6364,0.7368
0.45,0.4074,0.3871,0.4286,0.5294,0.6,0.3824,0.5263,0.5556,0.5882,0.5238,0.45
1.0,0.5,0.3947,0.7222,0.8182,0.7692,0.5357,0.7333,0.8889,0.6923,0.6923,0.8
0.7,0.4737,0.3529,0.5,0.6154,0.6471,0.4048,0.5455,0.6154,0.6429,0.5,0.6
0.5,0.4615,0.3939,0.6111,0.75,0.625,0.4643,0.6,0.6923,0.625,0.5882,0.5333
0.6667,0.3684,0.4545,0.6667,0.6,0.5238,0.5,0.619,0.6471,0.5333,0.55,0.6154
0.6,0.4643,0.3673,0.5556,0.7647,0.625,0.3913,0.6667,0.6,0.6087,0.5714,0.6875
0.6154,0.5926,0.3889,0.52,0.5833,0.6667,0.4571,0.55,0.5833,0.6667,0.4286,0.4706
0.6429,0.4762,0.4231,0.44,0.7692,0.7368,0.4167,0.5789,0.7143,0.5882,0.6087,0.7059
0.6364,0.5417,0.4571,0.6842,0.7368,0.6957,0.4722,0.6842,0.5556,0.55,0.5385,0.7333
0.7059,0.5417,0.4571,0.6842,0.6667,0.6667,0.5313,0.65,0.6111,0.75,0.5714,0.6667
0.6667,0.48,0.3469,0.4286,0.6923,0.5909,0.425,0.5625,0.6875,0.6316,0.5,0.4375
0.5,0.5,0.3243,0.45,0.5385,0.5,0.3333,0.4667,0.6154,0.6364,0.3913,0.6923
0.5385,0.4583,0.4074,0.75,0.625,0.5238,0.4333,0.5882,0.7143,0.625,0.5217,0.6923
0.5,0.4,0.2857,0.3889,0.6154,0.6,0.325,0.4762,0.5882,0.6875,0.5185,0.5882
0.8182,0.625,0.4643,0.9286,0.9091,0.8462,0.6,0.9231,1.0,0.8182,0.9167,0.8571
0.8571,0.5238,0.4286,0.56,0.75,0.6,0.4737,0.625,0.5238,0.6,0.4643,0.5833
