Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7647,0.6892,0.5823,0.6711,0.8462,0.8571,0.716,0.8615,0.8939,0.8939,0.9048,0.8923
0.7541,0.7432,0.6023,0.7424,0.8772,0.7808,0.6395,0.8,0.8657,0.8657,0.8594,0.9206
0.7143,0.6883,0.6024,0.6912,0.8361,0.8088,0.6353,0.7385,0.8571,0.9153,0.8852,0.871
0.8,0.7288,0.7051,0.7313,0.8431,0.7869,0.726,0.8413,0.85,0.875,0.8793,0.9107
0.7925,0.6761,0.6119,0.7018,0.7818,0.7937,0.726,0.7586,0.8475,0.8909,0.8704,0.8525
0.7857,0.6667,0.6364,0.7121,0.8491,0.7813,0.75,0.9434,0.8947,0.8305,0.8,0.8852
0.7288,0.6707,0.5684,0.7042,0.8868,0.8308,0.6296,0.8833,0.8571,0.873,0.871,0.8615
0.8254,0.7286,0.587,0.7742,0.8103,0.7692,0.6951,0.9091,0.9194,0.8852,0.8871,0.9138
0.75,0.642,0.6538,0.8182,0.8302,0.8333,0.7969,0.803,0.8923,0.9206,0.9219,0.9194
0.8413,0.7297,0.6747,0.7532,0.9474,0.9219,0.7922,0.8889,0.9661,0.9672,0.9365,0.9508
0.7407,0.6901,0.64,0.8113,0.9184,0.9286,0.726,0.9074,0.9423,0.9091,0.9636,0.9412
0.7917,0.6567,0.5696,0.8246,0.8571,0.7833,0.6901,0.875,0.8929,0.875,0.8448,0.9074
0.7963,0.7231,0.6812,0.8302,0.8909,0.8462,0.7778,0.8667,0.8983,0.9107,0.8667,0.9167
0.8393,0.6974,0.5495,0.6883,0.8983,0.873,0.6667,0.8525,0.9,0.871,0.873,0.8788
0.7636,0.72,0.6667,0.75,0.9,0.8485,0.6667,0.8667,0.9167,0.9153,0.9032,0.918
0.7358,0.6667,0.6154,0.7077,0.8571,0.7971,0.7432,0.8,0.8947,0.8929,0.8361,0.8983
0.8305,0.7231,0.6282,0.8636,0.8929,0.8871,0.7179,0.875,0.9483,0.9464,0.8983,0.9464
0.7736,0.7424,0.622,0.8364,0.8571,0.8596,0.7353,0.9362,0.9091,0.8947,0.9123,0.9273
0.8136,0.7206,0.625,0.7727,0.8596,0.8571,0.7333,0.873,0.9032,0.9032,0.9032,0.8889
0.7206,0.65,0.5824,0.7692,0.8197,0.7703,0.7125,0.8088,0.8382,0.85,0.8429,0.8281
0.8276,0.6267,0.5581,0.7465,0.9216,0.8308,0.6757,0.9123,0.8689,0.918,0.8889,0.9
0.7288,0.7324,0.5862,0.725,0.8393,0.7714,0.6753,0.8308,0.8462,0.871,0.8485,0.8485
0.7458,0.7,0.5814,0.6944,0.8654,0.7971,0.6786,0.7813,0.8438,0.8689,0.8571,0.8571
0.8077,0.72,0.6786,0.7536,0.8571,0.8636,0.7945,0.8525,0.9194,0.9194,0.9194,0.9194
0.7576,0.6806,0.6667,0.7051,0.8571,0.7808,0.6835,0.8333,0.871,0.9016,0.8261,0.873
0.7458,0.7746,0.7083,0.7636,0.8654,0.8636,0.7,0.8364,0.9048,0.8906,0.8406,0.9063
0.75,0.7714,0.6757,0.7869,0.8621,0.8769,0.726,0.8689,0.8462,0.9032,0.9167,0.9138
0.807,0.7333,0.5604,0.7324,0.9608,0.9016,0.7273,0.9107,0.8983,0.8154,0.8116,0.8644
0.6563,0.7344,0.5769,0.6462,0.7255,0.7121,0.662,0.7636,0.8136,0.8,0.8421,0.7576
0.88,0.7778,0.6875,0.791,0.9808,0.9365,0.7397,0.9672,0.8906,0.9516,0.918,0.9516
0.7667,0.6386,0.5517,0.6623,0.7647,0.8143,0.663,0.7568,0.8116,0.8056,0.8082,0.8261
0.8095,0.6533,0.6437,0.7778,0.7302,0.7647,0.6591,0.8197,0.8438,0.8182,0.8182,0.8154
0.7656,0.7746,0.6479,0.8214,0.8889,0.8871,0.7333,0.8929,0.9492,0.9483,0.8889,0.9322
0.6338,0.6582,0.5568,0.7077,0.8197,0.7763,0.6437,0.7826,0.8788,0.8806,0.8143,0.8806
0.8696,0.6901,0.5952,0.7213,0.8333,0.8833,0.7206,0.8065,0.9474,0.9636,0.8667,0.9138
