Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7955,0.8421,0.8214,0.8235,0.8889,0.8916,0.875,0.8452,0.9036,0.9241,0.9359,0.9259
0.8889,0.8375,0.8667,0.859,0.9014,0.8649,0.8701,0.8933,0.9315,0.9211,0.8974,0.8846
0.8553,0.8767,0.8356,0.9032,0.9063,0.9041,0.8442,0.8971,0.9559,0.971,0.942,0.9315
0.9041,0.8451,0.8193,0.8354,0.9375,0.8667,0.8333,0.8961,0.9559,0.8904,0.9178,0.9459
0.8378,0.7976,0.8293,0.8493,0.8701,0.8974,0.8481,0.8533,0.9565,0.9306,0.9178,0.9571
0.8611,0.7753,0.7931,0.8481,0.8857,0.8421,0.8313,0.8519,0.9211,0.8961,0.8961,0.9091
0.8732,0.8267,0.8289,0.8272,0.8816,0.85,0.8659,0.8718,0.9315,0.9178,0.9041,0.9079
0.8961,0.859,0.814,0.9041,0.9041,0.9091,0.8961,0.8933,0.9221,0.92,0.9211,0.9474
0.9143,0.8571,0.8182,0.9296,0.913,0.9722,0.9041,0.8889,0.9437,0.9296,0.9306,0.9315
0.9211,0.7765,0.8333,0.942,0.8846,0.9333,0.8875,0.9324,0.8861,0.9583,0.9211,0.9437
0.9538,0.8684,0.85,0.8933,0.9412,0.9333,0.9467,0.9722,0.9861,0.9718,0.9718,0.9467
0.8608,0.8442,0.7955,0.8415,0.8642,0.8434,0.8118,0.8675,0.9114,0.8554,0.9,0.9241
0.8919,0.8919,0.859,0.875,0.9041,0.8919,0.859,0.9296,0.9577,0.9275,0.9286,0.942
0.8571,0.7416,0.7927,0.8193,0.8625,0.875,0.8488,0.8554,0.8974,0.8718,0.8846,0.8765
0.8533,0.7595,0.7857,0.8592,0.8889,0.8933,0.8434,0.8816,0.9178,0.9306,0.8933,0.9595
0.9412,0.8193,0.7882,0.8571,0.8421,0.8718,0.8072,0.8608,0.9067,0.8974,0.8375,0.8961
0.9143,0.859,0.8293,0.9067,0.9552,0.9211,0.8831,0.9306,0.9718,0.9571,1.0,0.9855
0.8718,0.8289,0.8375,0.8986,0.9437,0.9296,0.8701,0.9041,0.9324,0.9178,0.9452,0.9324
0.88,0.9103,0.8101,0.8375,0.9189,0.9091,0.8765,0.8875,0.9114,0.9211,0.8889,0.9359
0.8906,0.7711,0.7882,0.8933,0.863,0.8904,0.8571,0.913,0.9701,0.9429,0.9365,0.9565
0.8395,0.8831,0.84,0.7857,0.8947,0.8333,0.8118,0.8171,0.9114,0.88,0.9351,0.9178
0.8906,0.8378,0.9219,0.8971,0.9683,0.9028,0.8684,0.9394,0.9577,0.9155,0.9571,0.9437
0.9437,0.875,0.8684,0.9189,0.942,0.9333,0.9103,0.9315,0.9855,0.9452,0.9211,0.9444
0.8974,0.8025,0.8333,0.8434,0.9167,0.8452,0.8554,0.9114,0.9333,0.8831,0.8718,0.9315
0.9118,0.8919,0.8289,0.9286,0.9467,0.9091,0.8846,0.9444,0.9459,0.9722,0.9577,0.9459
0.8701,0.7356,0.7882,0.8072,0.8816,0.8353,0.8022,0.8625,0.9306,0.8442,0.9315,0.9211
0.9565,0.8553,0.8554,0.9275,0.9306,0.9211,0.8861,0.9467,0.9589,0.9737,0.9714,0.9211
