Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9318,0.9513,0.8864,0.9724,0.9464,0.9432,0.9481,0.9675,0.9683,0.9667,0.9489,0.9286
0.8427,0.8549,0.8287,0.8759,0.8444,0.8497,0.8094,0.8846,0.8147,0.826,0.7841,0.7972
0.9178,0.9388,0.9231,0.8435,0.9353,0.9231,0.9108,0.8881,0.9126,0.8733,0.8671,0.8925
0.8794,0.8759,0.8531,0.9493,0.8601,0.8759,0.8374,0.9476,0.9231,0.9038,0.8942,0.924
0.9336,0.9468,0.8953,0.9319,0.9568,0.9502,0.9635,0.9302,0.9252,0.8978,0.8771,0.907
0.9551,0.9269,0.9136,0.9535,0.9518,0.9435,0.9385,0.9435,0.9319,0.9551,0.9477,0.9369
0.8704,0.8654,0.8339,0.8704,0.8688,0.8439,0.8472,0.8538,0.8605,0.8663,0.8904,0.8555
0.9086,0.8214,0.8488,0.8804,0.8987,0.8854,0.8953,0.8937,0.8987,0.8812,0.9228,0.8679
0.9352,0.912,0.9053,0.907,0.9369,0.9352,0.9352,0.907,0.9294,0.9726,0.9269,0.9701
0.8895,0.9186,0.9103,0.9385,0.9219,0.9319,0.9086,0.9319,0.9244,0.951,0.9444,0.9012
0.8653,0.8799,0.9123,0.7427,0.8685,0.8555,0.8945,0.7427,0.7938,0.776,0.7938,0.8352
0.8771,0.8771,0.8704,0.8389,0.8821,0.892,0.8771,0.8422,0.7924,0.8638,0.8738,0.887
0.9103,0.912,0.9186,0.8746,0.9352,0.9252,0.9203,0.8679,0.8929,0.9211,0.9493,0.936
0.9319,0.9236,0.9037,0.9601,0.9402,0.9336,0.9236,0.9734,0.9061,0.9161,0.8405,0.8738
0.8405,0.8389,0.7965,0.8547,0.8306,0.8422,0.8339,0.858,0.8829,0.8696,0.8588,0.8821
0.8804,0.8771,0.8455,0.8804,0.8721,0.8754,0.8372,0.8804,0.8538,0.8405,0.8223,0.8978
0.9518,0.9468,0.9385,0.9767,0.9535,0.9502,0.9535,0.9751,0.9676,0.9626,0.9626,0.9551
0.9808,0.979,0.9563,0.9423,0.979,0.9843,0.9808,0.9615,0.9729,0.9878,0.9563,0.972
0.9441,0.9108,0.9406,0.8584,0.9441,0.9336,0.9231,0.896,0.8899,0.9012,0.882,0.9196
0.8392,0.8182,0.8322,0.8829,0.8427,0.8322,0.8409,0.8829,0.8575,0.868,0.8733,0.8479
0.8685,0.9058,0.8458,0.8669,0.8539,0.8653,0.849,0.862,0.9107,0.8563,0.9018,0.9115
0.8584,0.8636,0.8339,0.8881,0.8444,0.8531,0.8479,0.8829,0.8531,0.8654,0.854,0.8706
0.9073,0.9056,0.9108,0.8864,0.8899,0.9091,0.9108,0.8899,0.8208,0.8138,0.7955,0.889
0.8934,0.8776,0.8566,0.9196,0.8794,0.8986,0.8881,0.9038,0.8794,0.8776,0.9248,0.9336
0.902,0.9169,0.9186,0.897,0.907,0.9053,0.9086,0.8904,0.912,0.8879,0.9211,0.9468
0.9452,0.9336,0.9236,0.9452,0.9236,0.9385,0.912,0.9336,0.946,0.9618,0.941,0.9377
0.9153,0.9103,0.8937,0.9319,0.902,0.9103,0.9003,0.9319,0.9228,0.912,0.8995,0.9061
0.9269,0.9219,0.9485,0.9211,0.9402,0.9419,0.9518,0.9435,0.8829,0.9277,0.9095,0.9352
0.9153,0.8696,0.9219,0.8904,0.9169,0.9236,0.9336,0.9286,0.9053,0.9211,0.9161,0.9028
0.9236,0.9402,0.8846,0.9244,0.9468,0.9485,0.9502,0.9219,0.9178,0.9111,0.9327,0.9028
0.9269,0.914,0.9172,0.9594,0.9383,0.9237,0.9188,0.9545,0.9521,0.9107,0.9424,0.9464
0.8435,0.8365,0.8304,0.8601,0.8462,0.8566,0.8794,0.8488,0.854,0.8383,0.8374,0.8453
0.8776,0.8636,0.8654,0.9143,0.9038,0.8741,0.8934,0.9178,0.9143,0.9038,0.9152,0.9143
0.9668,0.9318,0.9476,0.9493,0.9615,0.965,0.9528,0.9703,0.979,0.9598,0.972,0.9388
0.9037,0.907,0.9236,0.902,0.9203,0.9103,0.9037,0.9003,0.848,0.9003,0.8322,0.902
0.8621,0.8904,0.8322,0.853,0.8638,0.8671,0.8654,0.8447,0.8679,0.8555,0.8978,0.8929
0.9369,0.9236,0.9568,0.8995,0.9269,0.9236,0.9037,0.9203,0.8746,0.8663,0.9311,0.9286
0.8895,0.9336,0.8904,0.9718,0.9551,0.9336,0.9635,0.9701,0.9394,0.8738,0.887,0.9759
0.858,0.9186,0.902,0.9286,0.887,0.9086,0.8987,0.9186,0.8663,0.9161,0.8962,0.9269
0.8937,0.8472,0.838,0.838,0.892,0.8721,0.8571,0.8721,0.8862,0.9136,0.8513,0.9045
0.8604,0.8214,0.8393,0.7906,0.8393,0.8393,0.8344,0.8028,0.858,0.8539,0.793,0.7687
0.9755,0.9388,0.9196,0.9668,0.9738,0.9598,0.9458,0.9668,0.9248,0.9301,0.9283,0.9423
