Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8231,0.8286,0.8561,0.8055,0.8882,0.8313,0.8511,0.8283,0.8226,0.8519,0.8637,0.8574
0.7566,0.7857,0.7647,0.6539,0.7634,0.784,0.8145,0.6431,0.6945,0.7368,0.683,0.7168
0.9048,0.9196,0.9101,0.8566,0.9079,0.9201,0.9206,0.8619,0.9074,0.8722,0.873,0.8688
0.8317,0.8439,0.8444,0.6889,0.818,0.8386,0.827,0.7259,0.7521,0.8071,0.768,0.7577
0.7952,0.7989,0.7934,0.7323,0.8243,0.8021,0.7825,0.7286,0.7921,0.8386,0.8339,0.8188
0.7413,0.7651,0.7344,0.6606,0.7519,0.7392,0.754,0.7087,0.7267,0.7032,0.7336,0.7714
0.8683,0.8376,0.8598,0.7095,0.873,0.8661,0.8762,0.7095,0.8283,0.8175,0.8267,0.7963
0.8978,0.9104,0.8917,0.8264,0.9195,0.9155,0.9059,0.8122,0.8874,0.9036,0.8894,0.8636
0.8057,0.8082,0.8629,0.8355,0.8041,0.8305,0.8431,0.8312,0.7966,0.7923,0.7766,0.8694
0.8011,0.8209,0.7971,0.7351,0.8153,0.8173,0.7844,0.711,0.7902,0.7869,0.7503,0.7892
0.8742,0.8321,0.8203,0.791,0.8627,0.8752,0.8556,0.7629,0.8398,0.8268,0.8371,0.8078
0.817,0.815,0.8105,0.8005,0.8211,0.8195,0.795,0.791,0.7504,0.7842,0.7541,0.7837
0.7971,0.8072,0.836,0.6802,0.8284,0.8143,0.8563,0.6996,0.8006,0.7814,0.8305,0.7442
0.8107,0.8176,0.8067,0.7682,0.8669,0.8462,0.8436,0.7814,0.81,0.8454,0.8611,0.8431
0.8712,0.8679,0.9074,0.8436,0.8846,0.877,0.879,0.8644,0.8636,0.8548,0.8613,0.9056
0.8519,0.8561,0.8836,0.791,0.8815,0.8614,0.8799,0.7762,0.8045,0.854,0.8688,0.8492
