Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8485,0.8158,0.8289,0.7881,0.8561,0.8582,0.8434,0.79,0.8485,0.7352,0.743,0.7025
0.7202,0.746,0.717,0.6834,0.7218,0.7277,0.7197,0.6861,0.7202,0.6206,0.6332,0.6369
0.6831,0.6756,0.6783,0.7049,0.7197,0.6815,0.6874,0.7092,0.6238,0.6235,0.6182,0.6619
0.8485,0.8561,0.8271,0.812,0.8727,0.8512,0.8324,0.8034,0.8542,0.7873,0.7559,0.714
0.8206,0.8233,0.8298,0.8475,0.8169,0.8201,0.8217,0.8469,0.8206,0.7707,0.8437,0.7441
0.8005,0.7935,0.7452,0.7999,0.8316,0.8214,0.7602,0.7951,0.7519,0.7513,0.6923,0.7422
0.8609,0.8668,0.8426,0.8271,0.9023,0.855,0.8453,0.8249,0.8375,0.9151,0.8614,0.7629
0.8112,0.7868,0.7954,0.7928,0.8214,0.8095,0.8265,0.788,0.7287,0.7378,0.6794,0.7333
0.8197,0.8039,0.7948,0.7979,0.8441,0.818,0.8209,0.7931,0.7483,0.7704,0.7112,0.8022
0.8665,0.8611,0.8502,0.8969,0.8589,0.879,0.8573,0.8964,0.8665,0.8703,0.885,0.8831
0.8937,0.8926,0.8888,0.8918,0.9275,0.9232,0.8808,0.8851,0.9211,0.8287,0.8488,0.8249
0.8472,0.8494,0.8472,0.7613,0.8582,0.8456,0.8547,0.7769,0.7189,0.851,0.8112,0.7376
0.6284,0.6606,0.652,0.6528,0.6971,0.6719,0.6429,0.6584,0.6531,0.6466,0.6294,0.5365
0.794,0.7903,0.7752,0.7417,0.7911,0.7967,0.7897,0.7427,0.794,0.7468,0.7253,0.7301
0.826,0.8281,0.8426,0.8579,0.8695,0.8201,0.8222,0.8585,0.8099,0.8061,0.8085,0.8059
0.811,0.8212,0.8469,0.7884,0.8276,0.8238,0.8383,0.8185,0.7076,0.6802,0.7073,0.7395
0.8998,0.8571,0.8496,0.8652,0.891,0.8921,0.8856,0.8687,0.8534,0.8475,0.8716,0.8359
0.752,0.7472,0.7618,0.7784,0.7754,0.7575,0.7423,0.787,0.7081,0.7385,0.7078,0.7428
0.8387,0.7863,0.8005,0.7934,0.835,0.8257,0.8186,0.7999,0.8387,0.8027,0.7894,0.7219
0.7698,0.7653,0.7594,0.7642,0.7789,0.78,0.7466,0.7489,0.7256,0.7715,0.7239,0.6936
0.9114,0.9001,0.8706,0.8539,0.898,0.9033,0.8636,0.8537,0.8947,0.88,0.869,0.8421
0.7081,0.7009,0.6818,0.7366,0.7089,0.7052,0.7022,0.7366,0.5588,0.6673,0.6517,0.6958
0.8324,0.8883,0.8459,0.8657,0.8904,0.8899,0.8625,0.8582,0.8324,0.8056,0.8727,0.8088
0.7658,0.7793,0.753,0.747,0.7707,0.7669,0.7589,0.746,0.7159,0.7607,0.6915,0.6719
0.7393,0.7344,0.7489,0.7328,0.7513,0.7562,0.7473,0.7301,0.6858,0.7597,0.7602,0.6595
0.8045,0.8222,0.8298,0.8045,0.8743,0.8281,0.8142,0.8314,0.8045,0.8072,0.8378,0.7379
0.7693,0.7642,0.7516,0.7401,0.7905,0.7889,0.7629,0.7532,0.71,0.7476,0.7656,0.7489
0.8844,0.8787,0.8679,0.8566,0.8985,0.8855,0.8656,0.8656,0.8844,0.8316,0.841,0.7888
0.8078,0.8101,0.8135,0.8197,0.8673,0.8073,0.8169,0.8226,0.7401,0.7628,0.7749,0.7877
0.8163,0.8218,0.8169,0.7566,0.8692,0.8413,0.8364,0.7499,0.8136,0.8082,0.8104,0.7417
0.7777,0.7787,0.7857,0.8037,0.7809,0.7879,0.7846,0.8118,0.7777,0.7414,0.7154,0.7052
0.7503,0.7438,0.7266,0.7202,0.7846,0.7573,0.7562,0.724,0.7704,0.7513,0.7591,0.7264
0.7492,0.7562,0.7634,0.75,0.7495,0.754,0.7589,0.75,0.6974,0.6968,0.6912,0.7336
0.8002,0.7916,0.7683,0.7484,0.8126,0.8056,0.7863,0.7755,0.8002,0.6523,0.6767,0.7403
0.7814,0.7895,0.7615,0.7653,0.7707,0.7739,0.775,0.7787,0.761,0.7121,0.757,0.7857
0.9006,0.906,0.9023,0.884,0.9028,0.9066,0.9001,0.8824,0.9006,0.8147,0.8512,0.7787
0.8383,0.8792,0.7578,0.7744,0.8851,0.8706,0.8244,0.7876,0.8177,0.8072,0.8249,0.8289
