Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7672,0.7537,0.7586,0.7825,0.7568,0.7584,0.7566,0.7806,0.7327,0.7094,0.7053,0.7279
0.6845,0.6802,0.6684,0.6765,0.6804,0.6957,0.6942,0.6718,0.6529,0.6792,0.691,0.6074
0.7671,0.7849,0.7745,0.77,0.7582,0.7672,0.7551,0.7679,0.7296,0.7179,0.643,0.7353
0.7641,0.7539,0.7298,0.7443,0.7533,0.7512,0.7495,0.7454,0.7261,0.7278,0.6914,0.708
0.7154,0.7255,0.7307,0.7152,0.7057,0.7179,0.7113,0.7121,0.6927,0.6451,0.6398,0.6968
0.725,0.7264,0.7237,0.7483,0.7331,0.731,0.73,0.7495,0.7004,0.7089,0.7006,0.753
0.6974,0.6889,0.704,0.6872,0.6954,0.6992,0.7022,0.6868,0.6939,0.6897,0.6926,0.7002
0.7244,0.7318,0.7304,0.6882,0.7172,0.721,0.7166,0.6956,0.731,0.641,0.6971,0.6563
0.7395,0.7085,0.7081,0.7604,0.7369,0.7222,0.7377,0.7621,0.723,0.7298,0.6994,0.7446
0.7982,0.8069,0.7872,0.7868,0.7829,0.7854,0.7861,0.7825,0.762,0.7624,0.7226,0.7374
0.7745,0.7537,0.7534,0.7925,0.7634,0.76,0.7748,0.7872,0.7109,0.686,0.7128,0.6742
0.6971,0.6917,0.681,0.6837,0.6751,0.6907,0.6955,0.6861,0.6579,0.6672,0.7467,0.6509
0.737,0.7421,0.7462,0.7159,0.7379,0.7343,0.7313,0.7201,0.7133,0.6958,0.6922,0.6779
0.7717,0.7745,0.76,0.7474,0.7616,0.7582,0.7567,0.7446,0.702,0.6668,0.7016,0.7267
0.6921,0.6852,0.7109,0.6748,0.6854,0.6925,0.6931,0.6718,0.687,0.6048,0.6582,0.6282
0.7801,0.7158,0.7551,0.7574,0.791,0.7588,0.7967,0.7514,0.7331,0.7281,0.8173,0.7683
0.727,0.6975,0.7033,0.6878,0.6864,0.7039,0.7243,0.6959,0.7131,0.7279,0.7141,0.6627
0.7382,0.7409,0.7212,0.7571,0.7418,0.7488,0.7411,0.7536,0.7097,0.7354,0.731,0.7486
0.726,0.7281,0.7097,0.7545,0.7221,0.7264,0.7173,0.7558,0.719,0.7329,0.7116,0.7431
0.7662,0.7488,0.7555,0.7908,0.7738,0.754,0.7528,0.7868,0.7174,0.7411,0.7365,0.7738
0.7426,0.7045,0.7205,0.7665,0.7213,0.7329,0.7477,0.7678,0.6876,0.7136,0.7441,0.7195
0.7359,0.7509,0.7407,0.7196,0.7219,0.7239,0.725,0.7214,0.7262,0.7351,0.7298,0.7696
0.7178,0.7003,0.7163,0.7083,0.7193,0.7082,0.7102,0.7046,0.7097,0.6784,0.6982,0.6983
0.7609,0.7597,0.7551,0.7558,0.7676,0.7512,0.7666,0.7612,0.7343,0.7387,0.7427,0.7408
0.7387,0.7298,0.7193,0.7261,0.7288,0.7089,0.718,0.7278,0.7069,0.7057,0.7328,0.7411
0.7569,0.7692,0.7671,0.7615,0.7553,0.7581,0.7453,0.7583,0.7148,0.7383,0.6997,0.7401
0.7545,0.7417,0.7544,0.7312,0.7463,0.7433,0.75,0.7312,0.7112,0.7575,0.696,0.7048
0.7703,0.755,0.7546,0.773,0.753,0.765,0.7676,0.7683,0.7549,0.7047,0.7056,0.7444
0.6821,0.6416,0.6434,0.663,0.6677,0.688,0.6809,0.6654,0.6621,0.6268,0.6791,0.6513
0.7705,0.768,0.7658,0.771,0.7634,0.7699,0.7612,0.7613,0.7319,0.7249,0.77,0.7404
0.7426,0.7412,0.747,0.7382,0.7364,0.7359,0.7372,0.7537,0.7334,0.7169,0.6921,0.7257
0.7288,0.7202,0.7366,0.7209,0.7168,0.7181,0.7212,0.7207,0.6871,0.7343,0.7434,0.7009
0.7697,0.7628,0.7113,0.7751,0.7536,0.7535,0.7546,0.7734,0.7497,0.7664,0.7412,0.7334
0.7601,0.7606,0.7388,0.7634,0.7427,0.7551,0.7537,0.76,0.7363,0.7648,0.743,0.7165
0.7462,0.7179,0.7483,0.7035,0.7432,0.7343,0.7426,0.7108,0.7542,0.7641,0.7665,0.7211
0.7356,0.7422,0.7332,0.7127,0.7143,0.7284,0.7321,0.7152,0.7304,0.7487,0.7061,0.7189
0.6804,0.649,0.659,0.6759,0.6614,0.6621,0.6641,0.68,0.6662,0.6671,0.6301,0.6291
0.7271,0.7301,0.7435,0.7233,0.7336,0.7346,0.7238,0.7332,0.7055,0.7244,0.7175,0.7215
0.7795,0.69,0.7217,0.7601,0.7656,0.7584,0.7635,0.7593,0.7306,0.685,0.6949,0.712
0.7659,0.766,0.7711,0.7703,0.7457,0.7371,0.7482,0.7762,0.7046,0.6787,0.6864,0.7034
0.7537,0.7665,0.7863,0.7615,0.7544,0.7547,0.7493,0.7588,0.6645,0.7708,0.6967,0.7123
0.7026,0.6919,0.7029,0.6993,0.7035,0.6978,0.6973,0.7045,0.7196,0.7132,0.6909,0.7325
0.7403,0.7378,0.737,0.7607,0.7197,0.7162,0.7261,0.7629,0.7405,0.7482,0.743,0.7486
0.7446,0.7345,0.7092,0.7324,0.739,0.7435,0.734,0.7312,0.6913,0.7129,0.7044,0.7061
0.7658,0.7369,0.7561,0.7757,0.7523,0.7552,0.7584,0.7698,0.7351,0.693,0.7326,0.7136
0.7361,0.7335,0.7184,0.7633,0.7187,0.7148,0.7249,0.7614,0.6992,0.7386,0.6636,0.7238
0.7203,0.7002,0.7091,0.7095,0.7263,0.7205,0.721,0.7071,0.7287,0.718,0.6806,0.734
0.7774,0.7632,0.7401,0.7409,0.7774,0.7751,0.7683,0.7407,0.7366,0.7501,0.7472,0.6877
0.7644,0.753,0.7655,0.7259,0.7455,0.7571,0.7647,0.7284,0.7199,0.7522,0.7315,0.7086
0.7067,0.6924,0.6978,0.6982,0.694,0.6945,0.6917,0.6954,0.6735,0.7002,0.6498,0.6503
0.7873,0.7759,0.7916,0.7821,0.7849,0.775,0.784,0.7795,0.7383,0.7567,0.7871,0.7813
0.7304,0.7382,0.7327,0.721,0.7072,0.7188,0.7244,0.7212,0.7109,0.7078,0.6913,0.6812
0.7358,0.7315,0.712,0.721,0.7171,0.713,0.7212,0.733,0.6992,0.7034,0.7059,0.6865
0.74,0.7239,0.7493,0.7393,0.7184,0.727,0.7319,0.7378,0.6809,0.6851,0.6728,0.6838
0.7299,0.7123,0.714,0.712,0.7193,0.718,0.7368,0.7082,0.7307,0.7102,0.6954,0.7306
0.7472,0.7467,0.7302,0.7234,0.7323,0.7458,0.748,0.72,0.7089,0.692,0.7217,0.6533
0.7063,0.7251,0.727,0.731,0.7067,0.6962,0.6912,0.7079,0.7177,0.6647,0.6733,0.6858
0.7847,0.7747,0.7404,0.7884,0.7847,0.7911,0.7859,0.7891,0.7181,0.6866,0.6919,0.7602
0.6901,0.6835,0.68,0.7291,0.6885,0.6944,0.6707,0.7257,0.709,0.7215,0.6579,0.7097
0.7522,0.7593,0.7332,0.7381,0.7385,0.7562,0.7638,0.7408,0.7175,0.7416,0.7501,0.7323
0.7528,0.7415,0.7578,0.737,0.7445,0.7481,0.7374,0.7396,0.7095,0.6849,0.7308,0.7132
0.7358,0.7339,0.7362,0.7578,0.7354,0.7358,0.7416,0.7568,0.6927,0.7323,0.7587,0.767
0.7422,0.7441,0.729,0.7407,0.7326,0.7377,0.7372,0.7446,0.7125,0.6314,0.672,0.6768
0.765,0.7598,0.7777,0.7562,0.7753,0.7759,0.7736,0.7522,0.76,0.8118,0.7819,0.7462
0.7442,0.7215,0.7094,0.7245,0.7279,0.7236,0.7247,0.7245,0.7244,0.6598,0.6698,0.6524
0.7585,0.7131,0.7323,0.745,0.7385,0.7451,0.7448,0.7455,0.7074,0.6813,0.7469,0.7513
0.7346,0.7119,0.7048,0.7197,0.7247,0.7211,0.7257,0.7052,0.7285,0.6594,0.675,0.6665
0.7249,0.7197,0.7142,0.6982,0.6894,0.6995,0.699,0.6974,0.6531,0.6865,0.6589,0.6609
0.7363,0.7392,0.7304,0.7219,0.7245,0.7359,0.7372,0.7257,0.7016,0.7425,0.7434,0.6902
0.7142,0.7082,0.6977,0.7588,0.7077,0.7128,0.7053,0.7544,0.7147,0.7317,0.7201,0.7521
0.7267,0.7149,0.7318,0.7121,0.7168,0.7306,0.7354,0.7128,0.6681,0.7227,0.7542,0.7077
0.7183,0.7124,0.728,0.6945,0.6978,0.6933,0.7139,0.6896,0.6907,0.6614,0.7038,0.6921
0.6744,0.6858,0.6768,0.7162,0.6783,0.676,0.6806,0.7208,0.6805,0.6876,0.6591,0.7123
0.7666,0.7546,0.7706,0.7534,0.7654,0.7649,0.767,0.7534,0.7607,0.7435,0.7711,0.7555
0.7752,0.7632,0.7501,0.7542,0.7504,0.7684,0.7696,0.7698,0.7276,0.6961,0.7626,0.7519
0.7541,0.7646,0.7767,0.7449,0.7463,0.7429,0.7345,0.7481,0.6945,0.6936,0.7382,0.7192
0.7391,0.743,0.7622,0.7239,0.6915,0.7406,0.7452,0.7198,0.7012,0.6603,0.6347,0.6767
0.7741,0.752,0.7768,0.763,0.7683,0.7687,0.7715,0.7658,0.7342,0.7445,0.75,0.6779
0.7353,0.7192,0.7168,0.7075,0.7278,0.7327,0.7323,0.7132,0.6998,0.7445,0.7125,0.7118
0.7377,0.7583,0.762,0.7526,0.7228,0.729,0.7302,0.7501,0.7203,0.7219,0.7365,0.7423
0.7144,0.7049,0.7,0.7221,0.6933,0.694,0.7045,0.7171,0.7059,0.6991,0.7002,0.691
0.7772,0.7986,0.7911,0.7665,0.7642,0.7728,0.7694,0.7627,0.7475,0.7767,0.759,0.6847
0.7425,0.7338,0.7311,0.7403,0.7179,0.7335,0.7412,0.7371,0.6962,0.6605,0.6586,0.7061
0.7632,0.7804,0.7562,0.7692,0.7588,0.7429,0.7558,0.7557,0.691,0.743,0.6999,0.7665
