Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8825,0.875,0.8263,0.8275,0.8225,0.8562,0.8512,0.8725,0.835,0.8231,0.8187,0.8744
0.6831,0.6438,0.6919,0.5825,0.6675,0.6575,0.685,0.5787,0.6094,0.6281,0.6538,0.6044
0.8113,0.8375,0.8125,0.8738,0.835,0.8462,0.8275,0.895,0.8862,0.8244,0.8462,0.9519
0.8853,0.8853,0.892,0.8433,0.9027,0.9053,0.8733,0.8387,0.832,0.8467,0.7893,0.8173
0.9053,0.9173,0.9293,0.9313,0.9013,0.912,0.9053,0.9313,0.8993,0.8027,0.846,0.906
0.8093,0.7851,0.7921,0.7978,0.8246,0.8068,0.8004,0.7915,0.8571,0.7883,0.8093,0.8941
0.8329,0.8227,0.8355,0.7621,0.8508,0.8457,0.8036,0.7908,0.7411,0.8667,0.8476,0.8017
0.9069,0.8559,0.8788,0.8686,0.8699,0.8776,0.8622,0.8909,0.8909,0.8393,0.7806,0.7921
0.8699,0.875,0.831,0.8367,0.8622,0.8508,0.8788,0.8355,0.8316,0.7832,0.8348,0.8214
0.8827,0.8903,0.7985,0.7628,0.8648,0.8712,0.8457,0.7423,0.8342,0.8769,0.8412,0.8514
0.7887,0.835,0.8037,0.7669,0.8387,0.815,0.805,0.7612,0.8194,0.8387,0.8275,0.8525
0.8938,0.8675,0.8938,0.875,0.8938,0.8962,0.8925,0.8725,0.8363,0.775,0.8275,0.805
0.87,0.8575,0.8431,0.8387,0.8263,0.84,0.8475,0.8438,0.7662,0.8606,0.8387,0.8031
0.8342,0.8495,0.7825,0.8036,0.8265,0.8355,0.852,0.8099,0.8316,0.8814,0.8546,0.8673
0.861,0.8776,0.8712,0.8297,0.8329,0.8457,0.8482,0.8112,0.7742,0.8093,0.8412,0.7883
0.9401,0.9541,0.9286,0.8253,0.9554,0.9503,0.9145,0.8202,0.8973,0.9177,0.868,0.9005
0.8316,0.8457,0.8125,0.8048,0.8151,0.8163,0.8138,0.7985,0.8163,0.7934,0.8138,0.8068
0.8017,0.8125,0.8125,0.7946,0.8061,0.8214,0.8253,0.8227,0.7736,0.7761,0.771,0.8374
0.8853,0.8907,0.8947,0.8533,0.8707,0.8787,0.8333,0.8493,0.8733,0.8593,0.8813,0.8447
0.7867,0.788,0.7707,0.802,0.76,0.7733,0.7507,0.7947,0.744,0.7687,0.7767,0.7813
0.8,0.7788,0.7825,0.8075,0.8638,0.8225,0.8087,0.7825,0.8369,0.8219,0.7694,0.7937
0.8113,0.825,0.785,0.755,0.8287,0.8337,0.8025,0.7725,0.78,0.8581,0.8462,0.8231
0.8056,0.7944,0.785,0.7562,0.7762,0.8187,0.7925,0.7312,0.8044,0.7806,0.81,0.8556
0.9307,0.9267,0.9413,0.9747,0.9173,0.948,0.9427,0.9547,0.9507,0.9427,0.942,0.964
0.8373,0.8493,0.8107,0.8027,0.8187,0.8227,0.804,0.8227,0.8467,0.8607,0.8327,0.8373
0.8163,0.8367,0.8125,0.7832,0.8061,0.8151,0.8125,0.7742,0.7628,0.8278,0.8048,0.7347
0.8508,0.8291,0.8099,0.8782,0.8571,0.8316,0.8457,0.8667,0.7793,0.7876,0.8202,0.8559
0.8814,0.875,0.8418,0.7895,0.8406,0.8418,0.8163,0.8163,0.8068,0.8144,0.7691,0.8138
0.9145,0.9037,0.8603,0.919,0.9324,0.9349,0.889,0.9158,0.8986,0.9375,0.9267,0.898
0.838,0.8622,0.8265,0.7628,0.8265,0.8316,0.8202,0.7487,0.7761,0.7685,0.7946,0.7704
0.9213,0.9187,0.9012,0.85,0.9063,0.87,0.8925,0.8538,0.8825,0.8431,0.8425,0.8669
0.8788,0.875,0.8625,0.8044,0.8638,0.8712,0.8525,0.8425,0.7788,0.7869,0.8325,0.795
0.7994,0.8056,0.7788,0.7913,0.795,0.7987,0.8337,0.7944,0.7163,0.8019,0.7881,0.7131
0.812,0.794,0.762,0.7173,0.7973,0.8093,0.8027,0.738,0.8147,0.8367,0.7627,0.808
0.8867,0.8813,0.856,0.8267,0.86,0.868,0.852,0.8267,0.692,0.82,0.734,0.7827
0.8533,0.8342,0.8138,0.8699,0.8087,0.8176,0.8061,0.8712,0.8348,0.831,0.8182,0.8508
0.8425,0.8335,0.7634,0.7991,0.8348,0.845,0.8297,0.7927,0.787,0.7946,0.7838,0.8023
0.9554,0.9286,0.9503,0.9503,0.9592,0.9541,0.9656,0.9464,0.8941,0.9643,0.9407,0.8986
0.764,0.7781,0.7321,0.7915,0.7844,0.7755,0.7436,0.8297,0.8425,0.8087,0.7653,0.8546
0.8316,0.8533,0.8023,0.6658,0.8316,0.8202,0.8278,0.6818,0.8482,0.8737,0.8724,0.7781
