Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8238,0.8353,0.8277,0.8315,0.8357,0.8309,0.8254,0.8326,0.8058,0.8314,0.8064,0.8075
0.8501,0.8538,0.8439,0.8493,0.8636,0.8582,0.8518,0.8542,0.8301,0.8613,0.8526,0.8637
0.8386,0.8492,0.8492,0.8431,0.8491,0.8441,0.8469,0.8461,0.7775,0.794,0.7972,0.8416
0.8879,0.8753,0.8829,0.8705,0.9035,0.9012,0.8962,0.8771,0.8561,0.8528,0.8535,0.8648
0.8711,0.8797,0.8805,0.8453,0.8687,0.8737,0.8768,0.859,0.8355,0.851,0.845,0.8419
0.8521,0.8597,0.8577,0.8492,0.8527,0.8515,0.849,0.8618,0.8043,0.824,0.83,0.8473
0.8487,0.8512,0.8463,0.8578,0.8609,0.857,0.8491,0.8596,0.8041,0.8359,0.824,0.8493
0.8568,0.8644,0.8623,0.8415,0.8637,0.863,0.8587,0.8432,0.8431,0.8386,0.849,0.8561
0.8986,0.8974,0.8994,0.8955,0.9014,0.9061,0.9071,0.8993,0.8737,0.8894,0.8801,0.8774
0.85,0.8431,0.8453,0.8272,0.8546,0.8504,0.8501,0.8329,0.8101,0.8537,0.8324,0.8145
0.8787,0.879,0.8808,0.889,0.8979,0.8931,0.8857,0.8858,0.8382,0.8693,0.852,0.833
0.8744,0.8853,0.8778,0.8397,0.8713,0.8753,0.8775,0.8466,0.8194,0.849,0.8349,0.8086
0.8499,0.8461,0.8487,0.8591,0.847,0.8436,0.8427,0.8607,0.815,0.8223,0.8209,0.8529
0.8426,0.8541,0.8498,0.8508,0.8653,0.8565,0.8507,0.854,0.8224,0.8512,0.8499,0.8265
0.8234,0.8276,0.8308,0.7951,0.8325,0.8356,0.8286,0.8001,0.7997,0.8053,0.819,0.7973
0.8898,0.8917,0.8879,0.8925,0.9011,0.8926,0.885,0.8965,0.8486,0.8322,0.8726,0.8759
0.851,0.8604,0.8578,0.8357,0.8529,0.8565,0.8552,0.8338,0.8073,0.8148,0.8176,0.8471
0.8708,0.8703,0.862,0.8699,0.8701,0.8663,0.8691,0.8703,0.8328,0.8686,0.8638,0.8901
0.8725,0.8717,0.8692,0.8895,0.8824,0.8786,0.8727,0.8951,0.8639,0.8438,0.8304,0.8684
0.8397,0.8568,0.8514,0.808,0.8437,0.8433,0.8445,0.8175,0.8037,0.8138,0.8298,0.7892
0.8689,0.8527,0.8669,0.8631,0.8817,0.8708,0.8704,0.8706,0.8356,0.8753,0.8626,0.8801
0.8251,0.8442,0.8364,0.8353,0.8272,0.8235,0.8271,0.8392,0.7652,0.8105,0.8088,0.8149
0.8741,0.878,0.8752,0.8954,0.8875,0.8813,0.8734,0.8888,0.8567,0.8813,0.881,0.8761
0.8356,0.8239,0.8318,0.8583,0.8426,0.8365,0.8372,0.8499,0.8016,0.8563,0.7956,0.8372
0.8798,0.8827,0.8788,0.8606,0.8889,0.8864,0.8863,0.8644,0.8444,0.8951,0.8646,0.872
0.8275,0.8208,0.829,0.8257,0.8266,0.8423,0.833,0.8243,0.7967,0.8012,0.8207,0.8097
0.8867,0.8688,0.8702,0.8724,0.8827,0.8921,0.8905,0.8744,0.8424,0.8365,0.8415,0.8439
0.8792,0.8687,0.8737,0.8774,0.8902,0.8858,0.8786,0.8863,0.8314,0.8766,0.8361,0.8684
0.8554,0.8494,0.855,0.8192,0.8662,0.8595,0.856,0.8397,0.8335,0.8349,0.8277,0.8248
0.8236,0.8481,0.8327,0.8367,0.8339,0.8284,0.8216,0.8305,0.814,0.81,0.8007,0.8332
