Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7677,0.7658,0.757,0.7716,0.7872,0.7804,0.7687,0.7745,0.7969,0.7561,0.7614,0.7813
0.688,0.6725,0.6735,0.6968,0.6822,0.6978,0.6783,0.7002,0.6448,0.639,0.6642,0.6929
0.823,0.829,0.824,0.806,0.828,0.824,0.822,0.81,0.802,0.8545,0.814,0.8125
0.876,0.875,0.855,0.862,0.829,0.872,0.861,0.863,0.7855,0.824,0.79,0.842
0.801,0.833,0.809,0.789,0.8,0.806,0.786,0.799,0.761,0.7335,0.7865,0.7785
0.852,0.821,0.835,0.837,0.852,0.829,0.846,0.844,0.724,0.861,0.821,0.7875
0.831,0.787,0.799,0.841,0.828,0.83,0.832,0.856,0.7845,0.752,0.8035,0.8585
0.759,0.761,0.753,0.761,0.742,0.741,0.761,0.767,0.68,0.67,0.7195,0.6585
0.8,0.8,0.7878,0.7663,0.7796,0.799,0.8,0.7908,0.6362,0.7056,0.6592,0.7281
0.7765,0.7684,0.7561,0.801,0.7755,0.7755,0.7765,0.8041,0.7434,0.851,0.8143,0.8597
0.76,0.747,0.76,0.814,0.772,0.797,0.753,0.809,0.704,0.766,0.7345,0.7155
0.805,0.787,0.809,0.803,0.792,0.796,0.785,0.81,0.7735,0.761,0.757,0.766
0.789,0.799,0.788,0.782,0.7705,0.7875,0.804,0.78,0.7045,0.79,0.7645,0.726
0.873,0.8835,0.884,0.878,0.8715,0.8715,0.8665,0.88,0.7765,0.8355,0.7925,0.832
0.65,0.624,0.643,0.677,0.628,0.635,0.63,0.674,0.658,0.639,0.577,0.6565
0.848,0.869,0.832,0.883,0.843,0.855,0.831,0.882,0.77,0.8475,0.847,0.8515
0.7454,0.725,0.7405,0.6983,0.7619,0.758,0.76,0.7007,0.7298,0.7187,0.7449,0.8139
0.8669,0.8785,0.8688,0.8445,0.8455,0.8669,0.8484,0.8426,0.7833,0.8304,0.8503,0.8047
0.8306,0.8245,0.8224,0.851,0.8469,0.8296,0.85,0.8367,0.7255,0.7668,0.8107,0.8255
0.6673,0.6704,0.6561,0.6622,0.6714,0.6643,0.6765,0.6653,0.6082,0.6352,0.6776,0.6801
0.841,0.815,0.837,0.796,0.835,0.806,0.806,0.812,0.774,0.722,0.744,0.758
0.753,0.744,0.7385,0.7865,0.748,0.776,0.756,0.7925,0.722,0.715,0.758,0.7565
0.825,0.834,0.806,0.818,0.823,0.821,0.82,0.838,0.7415,0.831,0.7825,0.796
0.811,0.8245,0.814,0.824,0.767,0.789,0.787,0.819,0.75,0.7775,0.814,0.7845
0.783,0.747,0.75,0.7255,0.785,0.769,0.785,0.7535,0.8175,0.7495,0.744,0.767
0.801,0.821,0.806,0.806,0.781,0.812,0.807,0.804,0.774,0.787,0.8725,0.8235
0.7376,0.7551,0.7483,0.7153,0.723,0.7347,0.7454,0.7172,0.6482,0.7177,0.7036,0.7745
0.7259,0.7755,0.7668,0.7648,0.7396,0.7289,0.7221,0.7813,0.6662,0.7498,0.654,0.7512
0.8173,0.802,0.8077,0.8071,0.7954,0.825,0.8327,0.8061,0.7765,0.7163,0.8199,0.801
0.8224,0.8265,0.8143,0.8602,0.8235,0.8235,0.8061,0.8582,0.7888,0.7791,0.8097,0.8423
