Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8072,0.8126,0.8252,0.8144,0.8072,0.7892,0.7874,0.8153,0.8036,0.8126,0.7883,0.7162
0.8432,0.8432,0.8523,0.845,0.827,0.8324,0.8324,0.845,0.8577,0.8892,0.8468,0.8865
0.7072,0.7072,0.7018,0.6874,0.7234,0.7198,0.7198,0.6766,0.7198,0.7063,0.7505,0.6279
0.6171,0.6081,0.6153,0.6351,0.564,0.5829,0.5901,0.636,0.6099,0.5135,0.5162,0.5694
0.8432,0.8649,0.855,0.8162,0.8288,0.8396,0.8378,0.8126,0.7748,0.8468,0.7955,0.8135
0.7865,0.7649,0.7739,0.8063,0.7613,0.7937,0.7631,0.7991,0.8234,0.8117,0.7396,0.8117
0.7766,0.7495,0.7712,0.7982,0.7477,0.7694,0.755,0.791,0.8234,0.7757,0.718,0.7982
0.7658,0.7604,0.7568,0.755,0.7658,0.7622,0.7658,0.7532,0.8324,0.7811,0.773,0.8162
0.8333,0.8368,0.8125,0.849,0.8507,0.8281,0.8125,0.842,0.8533,0.8273,0.8446,0.849
0.75,0.7556,0.7185,0.7222,0.7444,0.7407,0.7407,0.7259,0.7657,0.7472,0.7509,0.6333
0.7982,0.8144,0.7874,0.7964,0.8072,0.8,0.7964,0.8018,0.7892,0.745,0.782,0.7036
0.782,0.7946,0.7946,0.7495,0.7874,0.7874,0.7928,0.7495,0.6883,0.6694,0.6667,0.7514
0.8532,0.8261,0.8423,0.8018,0.845,0.8396,0.8135,0.8054,0.8928,0.8486,0.7667,0.782
0.8018,0.7874,0.7802,0.7856,0.7982,0.8054,0.8,0.7838,0.8532,0.7883,0.8063,0.8568
0.7514,0.7477,0.7568,0.7838,0.7477,0.7387,0.7568,0.7802,0.7486,0.7423,0.7405,0.7928
0.9009,0.9117,0.9099,0.9189,0.8937,0.9009,0.9081,0.9207,0.9027,0.8955,0.8676,0.9054
0.6396,0.6523,0.6288,0.6937,0.6288,0.6378,0.6414,0.6991,0.7243,0.6847,0.6946,0.7261
0.6532,0.6405,0.6297,0.6243,0.6297,0.6243,0.6135,0.6207,0.6586,0.6955,0.6342,0.6586
0.7344,0.7344,0.7153,0.724,0.7274,0.6927,0.6962,0.7205,0.6675,0.6415,0.7309,0.7326
0.8204,0.8056,0.8037,0.8278,0.8167,0.8167,0.8185,0.8148,0.7861,0.7778,0.7398,0.8278
0.8847,0.8847,0.8811,0.8036,0.8739,0.8739,0.8595,0.8072,0.8559,0.8018,0.8405,0.8234
