Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5417,0.5532,0.5106,0.52,0.52,0.5417,0.5,0.5385,0.5417,0.5769,0.5455,0.5116
0.36,0.4,0.4364,0.383,0.4151,0.3774,0.4815,0.3404,0.36,0.3846,0.3214,0.4
0.6047,0.6222,0.5882,0.6154,0.5957,0.6522,0.6531,0.5854,0.5854,0.6222,0.5385,0.6286
0.449,0.4314,0.4444,0.3556,0.4314,0.4528,0.4151,0.3913,0.3922,0.5,0.48,0.381
0.4167,0.4583,0.4528,0.3636,0.5306,0.48,0.4314,0.3636,0.4167,0.5,0.5417,0.3902
0.3636,0.439,0.3556,0.3556,0.3556,0.4,0.3478,0.2927,0.3636,0.4,0.3462,0.3721
0.5,0.4706,0.4706,0.3556,0.5306,0.5532,0.5957,0.3556,0.3721,0.3,0.4762,0.4
0.625,0.6275,0.549,0.5217,0.6531,0.6531,0.625,0.5106,0.625,0.6522,0.5385,0.4324
0.4889,0.4,0.5333,0.549,0.4762,0.4783,0.5455,0.549,0.4681,0.5532,0.4444,0.55
0.4074,0.4528,0.4483,0.3673,0.4286,0.4,0.3636,0.3673,0.4074,0.4255,0.3396,0.4324
0.55,0.5128,0.45,0.4783,0.4878,0.5238,0.5238,0.4348,0.55,0.6047,0.439,0.3684
0.4,0.4314,0.4906,0.4815,0.4151,0.3922,0.3922,0.4906,0.4,0.4286,0.4681,0.45
0.48,0.4727,0.4727,0.3846,0.4727,0.5385,0.5455,0.3922,0.48,0.4138,0.5,0.3721
0.5,0.5106,0.5,0.4444,0.549,0.52,0.52,0.4444,0.3721,0.5714,0.549,0.4103
0.6154,0.5263,0.6071,0.48,0.6154,0.6154,0.6296,0.48,0.5926,0.5185,0.5532,0.5405
0.4889,0.5217,0.5116,0.44,0.5098,0.4783,0.52,0.449,0.3478,0.4186,0.5217,0.4324
0.5417,0.549,0.4314,0.5,0.5417,0.5417,0.5306,0.5,0.4583,0.52,0.5532,0.359
0.3636,0.4324,0.5405,0.3333,0.4762,0.4737,0.5641,0.3333,0.3721,0.4762,0.45,0.375
0.383,0.4082,0.3913,0.449,0.4082,0.4082,0.3673,0.449,0.383,0.4545,0.3922,0.4615
0.4444,0.4286,0.4444,0.4255,0.4074,0.4074,0.4561,0.4255,0.3636,0.3922,0.4074,0.4186
0.36,0.3846,0.4211,0.3462,0.4,0.3774,0.3929,0.3333,0.36,0.4082,0.3111,0.2632
0.5,0.5,0.5,0.5306,0.5217,0.5,0.4889,0.5417,0.5,0.5833,0.5455,0.5143
0.5185,0.4912,0.4828,0.4706,0.5556,0.5091,0.5357,0.4706,0.4314,0.5455,0.4211,0.4286
0.4444,0.4348,0.4444,0.381,0.4091,0.4255,0.4314,0.4186,0.4444,0.4583,0.5,0.3333
0.5882,0.5306,0.566,0.5238,0.52,0.5769,0.52,0.4651,0.5882,0.6122,0.5833,0.45
0.5333,0.4889,0.4091,0.449,0.4583,0.5217,0.4167,0.4583,0.5333,0.3529,0.5,0.3684
0.4545,0.4167,0.4615,0.4151,0.4583,0.449,0.48,0.4151,0.4815,0.3043,0.4348,0.4583
0.5652,0.6122,0.6122,0.4186,0.6383,0.6,0.6275,0.4186,0.381,0.4878,0.5238,0.4878
0.3636,0.3404,0.4167,0.3043,0.383,0.4082,0.4167,0.3478,0.3636,0.3902,0.3243,0.4848
0.5,0.5306,0.5385,0.3556,0.4681,0.4681,0.5098,0.3404,0.5,0.4186,0.5,0.35
0.5,0.5306,0.4815,0.3902,0.449,0.5,0.449,0.3902,0.5,0.45,0.5417,0.2326
0.5882,0.5306,0.5185,0.5778,0.5532,0.56,0.549,0.6087,0.5882,0.5385,0.5385,0.5
0.44,0.4314,0.44,0.375,0.48,0.44,0.4615,0.3478,0.44,0.3636,0.5333,0.4211
0.5532,0.5833,0.5714,0.5714,0.5714,0.5306,0.6275,0.56,0.5532,0.5833,0.5833,0.5714
0.4815,0.4561,0.4561,0.3333,0.4643,0.4561,0.4561,0.3462,0.4815,0.3265,0.4815,0.303
0.439,0.45,0.35,0.4091,0.381,0.3902,0.4186,0.4091,0.381,0.5128,0.4103,0.4
0.3902,0.3684,0.4286,0.3922,0.439,0.4255,0.383,0.4091,0.3902,0.4783,0.3721,0.359
0.5714,0.5957,0.5217,0.383,0.5909,0.5909,0.6383,0.383,0.5417,0.5778,0.52,0.4
0.56,0.5532,0.5417,0.566,0.625,0.6154,0.549,0.5385,0.56,0.6122,0.4889,0.5
0.4167,0.4211,0.3922,0.3922,0.4314,0.4706,0.4643,0.3922,0.4167,0.4545,0.4583,0.4762
0.3462,0.3214,0.3704,0.5172,0.3273,0.3396,0.3704,0.5172,0.3043,0.3,0.2667,0.4
0.6512,0.6364,0.6,0.5366,0.6977,0.6341,0.6364,0.55,0.6222,0.6977,0.6829,0.4375
0.4681,0.4444,0.48,0.3182,0.5,0.4681,0.5098,0.3182,0.4681,0.4186,0.5116,0.3333
0.5238,0.5909,0.6222,0.5106,0.6222,0.6222,0.6222,0.5106,0.5,0.5116,0.6,0.3871
0.5217,0.5306,0.449,0.4167,0.5306,0.5306,0.5098,0.375,0.5217,0.5217,0.5098,0.359
0.4286,0.4348,0.449,0.4091,0.4186,0.4186,0.4348,0.4091,0.4286,0.35,0.2927,0.2857
0.5714,0.5283,0.5455,0.4545,0.5714,0.5714,0.5818,0.5106,0.5106,0.64,0.5957,0.6154
0.36,0.3273,0.3636,0.2692,0.3929,0.4,0.3636,0.2593,0.28,0.3019,0.375,0.3043
0.4889,0.5532,0.5306,0.449,0.5306,0.5306,0.5417,0.449,0.4889,0.549,0.5581,0.4211
0.3846,0.4,0.4746,0.4314,0.3704,0.4444,0.4286,0.36,0.3846,0.44,0.4,0.4651
0.6,0.5818,0.5,0.5238,0.4815,0.5172,0.5085,0.5,0.6,0.4167,0.383,0.4324
0.5882,0.566,0.4898,0.383,0.549,0.5385,0.5882,0.4167,0.5882,0.64,0.6275,0.45
0.52,0.5283,0.4286,0.5,0.5882,0.5769,0.5185,0.5306,0.52,0.6364,0.566,0.5
0.4898,0.4364,0.4561,0.4898,0.4314,0.48,0.4615,0.4583,0.4898,0.5,0.4815,0.3429
0.3415,0.3721,0.4255,0.3478,0.359,0.3721,0.4,0.3478,0.3415,0.2286,0.3333,0.359
0.3902,0.3333,0.4889,0.3721,0.3902,0.3902,0.4091,0.3721,0.3889,0.4324,0.5,0.4242
0.3673,0.449,0.5,0.2128,0.4314,0.4364,0.4815,0.2128,0.3673,0.4783,0.5,0.35
0.5333,0.4783,0.619,0.5532,0.5217,0.5532,0.5,0.5532,0.5333,0.5306,0.52,0.5854
