Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.3077,0.3077,0.3133,0.2821,0.2857,0.3038,0.3038,0.3,0.3077,0.3457,0.551,0.2963
0.3333,0.3617,0.4086,0.2963,0.3218,0.3617,0.3579,0.275,0.3333,0.3789,0.3871,0.3059
0.2824,0.3478,0.2791,0.1644,0.2439,0.2824,0.2791,0.1389,0.2824,0.2439,0.2222,0.2308
0.2716,0.2683,0.3059,0.2564,0.2532,0.2651,0.3448,0.2338,0.2716,0.3095,0.3488,0.2933
0.2703,0.2651,0.2619,0.1972,0.2667,0.2716,0.2381,0.1972,0.2703,0.2683,0.2857,0.1714
0.2105,0.2821,0.3488,0.2466,0.2368,0.2338,0.3415,0.25,0.2105,0.2667,0.2716,0.1918
0.2308,0.25,0.2532,0.2571,0.2338,0.2532,0.25,0.2535,0.2308,0.2785,0.2963,0.2564
0.24,0.2597,0.2921,0.1667,0.2368,0.2564,0.2651,0.1892,0.24,0.2821,0.3059,0.1143
0.1818,0.1728,0.241,0.2133,0.1579,0.1795,0.2529,0.2368,0.1818,0.24,0.2222,0.2597
0.2895,0.3038,0.3038,0.3243,0.2703,0.3117,0.2821,0.3243,0.2895,0.2778,0.2778,0.3684
0.2597,0.2963,0.321,0.2857,0.2933,0.3,0.3333,0.3077,0.2597,0.3117,0.3,0.2778
0.3023,0.2727,0.2824,0.2051,0.2824,0.3023,0.3256,0.1975,0.3023,0.3218,0.2564,0.2222
0.2857,0.3294,0.2824,0.16,0.3059,0.3059,0.2989,0.1842,0.2857,0.2824,0.2857,0.2532
0.2564,0.3023,0.3043,0.1944,0.2933,0.2716,0.2759,0.2162,0.2564,0.2651,0.2778,0.1644
0.1975,0.2558,0.2727,0.2192,0.2222,0.1928,0.2353,0.2192,0.1975,0.2105,0.25,0.2432
0.2532,0.2078,0.2791,0.2532,0.2469,0.2195,0.2588,0.2338,0.2532,0.2821,0.2785,0.2651
0.2535,0.2319,0.3288,0.1905,0.2286,0.274,0.3377,0.1875,0.2535,0.4854,0.2963,0.1515
0.3023,0.3111,0.2619,0.2778,0.2651,0.3059,0.2651,0.32,0.3023,0.2051,0.2222,0.2192
0.3,0.3171,0.3256,0.2632,0.2927,0.2963,0.3059,0.2532,0.3,0.2927,0.3457,0.3457
