Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.55,0.5366,0.4783,0.5714,0.5366,0.5366,0.4651,0.5714,0.5946,0.5581,0.5238,0.6316
0.4,0.4167,0.4706,0.4231,0.4255,0.449,0.4167,0.4314,0.4651,0.6667,0.5818,0.5882
0.5405,0.5641,0.6957,0.55,0.5263,0.5641,0.619,0.55,0.6154,0.6038,0.7234,0.6
0.6087,0.6939,0.72,0.7083,0.6364,0.6667,0.7083,0.7083,0.6512,0.7407,0.75,0.7
0.5238,0.65,0.6087,0.5,0.5263,0.5854,0.6383,0.5,0.5238,0.6667,0.6538,0.5833
0.65,0.6829,0.75,0.7234,0.6667,0.6667,0.6383,0.7234,0.7,0.7442,0.8148,0.7458
0.439,0.4762,0.549,0.5532,0.5217,0.5455,0.5306,0.5778,0.5833,0.6957,0.6415,0.6122
0.3429,0.65,0.6667,0.5909,0.4737,0.5,0.6818,0.5909,0.6,0.7143,0.6383,0.6809
0.5,0.5263,0.5455,0.6047,0.55,0.5128,0.5238,0.6364,0.6122,0.6818,0.6383,0.6818
0.4545,0.4762,0.4783,0.52,0.5116,0.4651,0.5652,0.52,0.4375,0.6977,0.5405,0.6341
0.4762,0.5,0.5714,0.4889,0.4762,0.5581,0.5652,0.4889,0.5,0.6333,0.64,0.7083
0.5333,0.6154,0.5833,0.5,0.6222,0.5652,0.5957,0.5,0.6341,0.6364,0.6818,0.6522
0.3684,0.4286,0.4898,0.5306,0.439,0.5,0.5,0.5778,0.4706,0.6047,0.6364,0.5532
0.5652,0.5652,0.5778,0.6415,0.6087,0.5833,0.64,0.6415,0.5556,0.6809,0.68,0.766
0.619,0.6512,0.7234,0.5909,0.65,0.6341,0.6829,0.5909,0.5957,0.6909,0.7234,0.6087
0.5714,0.6,0.55,0.6364,0.5641,0.5714,0.6047,0.6364,0.6809,0.6818,0.5641,0.6957
0.439,0.439,0.44,0.5106,0.4286,0.4286,0.4681,0.5106,0.4,0.5333,0.6897,0.5882
0.4118,0.55,0.4737,0.5128,0.4571,0.5263,0.6047,0.5128,0.5833,0.5778,0.6296,0.6286
0.5,0.4878,0.5641,0.6667,0.5455,0.5,0.5116,0.6667,0.5405,0.6667,0.6667,0.6667
0.4762,0.5,0.4898,0.6087,0.5116,0.5116,0.4651,0.6087,0.4878,0.5957,0.5532,0.6087
