Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4954,0.5091,0.5345,0.4375,0.531,0.5091,0.5091,0.4375,0.4954,0.5546,0.4158,0.4314
0.4959,0.459,0.4681,0.4505,0.4839,0.5042,0.5124,0.4643,0.4959,0.4889,0.4697,0.434
0.547,0.5586,0.5607,0.5273,0.5366,0.562,0.5581,0.5225,0.547,0.5255,0.4552,0.4915
0.5094,0.5263,0.4793,0.449,0.5094,0.5586,0.5321,0.433,0.5094,0.466,0.4466,0.4848
0.4602,0.4364,0.4364,0.3725,0.4211,0.4483,0.4522,0.3689,0.4602,0.3866,0.3011,0.3585
0.5045,0.5047,0.5,0.5149,0.4912,0.4912,0.4821,0.5437,0.5045,0.4762,0.486,0.5437
0.4677,0.4462,0.4715,0.3704,0.4882,0.4961,0.4769,0.3922,0.4677,0.5172,0.5088,0.4286
0.5088,0.5041,0.5203,0.4082,0.4956,0.5172,0.4915,0.4314,0.5088,0.4333,0.4643,0.3918
0.5455,0.5036,0.5039,0.5524,0.56,0.5038,0.5152,0.5143,0.5455,0.5414,0.4715,0.5192
0.5586,0.6018,0.5714,0.5243,0.5789,0.5763,0.5812,0.5253,0.5586,0.5344,0.5536,0.463
0.5345,0.5049,0.5225,0.5294,0.5565,0.5424,0.5254,0.5437,0.5345,0.422,0.4364,0.46
0.4,0.3929,0.4444,0.3371,0.4299,0.4299,0.4444,0.3409,0.4,0.4275,0.4874,0.3962
0.5138,0.4421,0.4906,0.3617,0.44,0.5263,0.5179,0.4,0.5138,0.396,0.3818,0.4
0.495,0.4906,0.5254,0.4494,0.463,0.5138,0.5045,0.4615,0.495,0.44,0.48,0.5323
0.5128,0.5045,0.44,0.4528,0.4724,0.48,0.4762,0.4486,0.5128,0.4122,0.4394,0.4298
0.6032,0.5113,0.5735,0.4681,0.6179,0.5891,0.6349,0.4554,0.6032,0.5812,0.5983,0.5614
0.521,0.4687,0.4885,0.4423,0.432,0.5167,0.55,0.434,0.521,0.5487,0.5042,0.5041
0.4874,0.4918,0.4918,0.4771,0.5041,0.5,0.5041,0.4727,0.4874,0.5263,0.5167,0.5263
0.4615,0.4348,0.4386,0.487,0.541,0.5041,0.496,0.487,0.4615,0.5243,0.5,0.4655
0.5167,0.5571,0.5323,0.5333,0.5128,0.5197,0.576,0.5289,0.5167,0.5091,0.5505,0.5192
0.4536,0.431,0.463,0.4301,0.451,0.466,0.4898,0.4301,0.5036,0.4808,0.4952,0.4259
0.541,0.5224,0.569,0.4444,0.547,0.5455,0.5397,0.4299,0.541,0.4717,0.4878,0.4752
0.541,0.5263,0.562,0.5049,0.5255,0.5401,0.5468,0.4854,0.541,0.5616,0.517,0.5354
0.562,0.55,0.6074,0.4717,0.5736,0.5714,0.5797,0.4762,0.562,0.5641,0.5546,0.5225
0.5,0.4878,0.4754,0.4386,0.4915,0.4874,0.4786,0.4324,0.5,0.4082,0.4078,0.4444
0.5,0.5,0.5234,0.5049,0.5138,0.5094,0.4906,0.5049,0.5,0.528,0.4961,0.4737
0.5,0.4912,0.5179,0.44,0.5133,0.5179,0.5217,0.4536,0.5,0.5124,0.5,0.3913
0.5378,0.5397,0.5649,0.466,0.5455,0.5289,0.5391,0.466,0.5378,0.4952,0.5225,0.5565
0.4667,0.416,0.4219,0.4444,0.4667,0.4918,0.459,0.4906,0.4667,0.4333,0.464,0.4407
0.5179,0.4902,0.4348,0.4694,0.5378,0.5333,0.5487,0.451,0.5179,0.4918,0.5577,0.5246
0.5085,0.5079,0.5203,0.5047,0.487,0.5217,0.541,0.5333,0.5085,0.4844,0.464,0.5043
0.42,0.4717,0.5225,0.4086,0.4242,0.404,0.4615,0.3956,0.42,0.5577,0.44,0.4615
0.5636,0.5667,0.4628,0.4952,0.5455,0.5645,0.576,0.4952,0.5636,0.5243,0.4762,0.4792
0.562,0.5161,0.5255,0.5439,0.5512,0.5455,0.5649,0.5179,0.562,0.6027,0.5565,0.4815
0.5333,0.4874,0.5441,0.4615,0.5546,0.5042,0.5323,0.4615,0.5333,0.5051,0.5556,0.4242
0.5641,0.547,0.5439,0.4615,0.55,0.5424,0.569,0.4615,0.5641,0.5378,0.5345,0.5091
0.4576,0.4148,0.4132,0.396,0.4576,0.4427,0.4328,0.4078,0.4576,0.4444,0.4,0.3168
0.5,0.5138,0.4902,0.375,0.5487,0.4906,0.5045,0.4,0.5,0.5179,0.5,0.4423
0.5645,0.5033,0.5373,0.5138,0.521,0.5271,0.5469,0.5091,0.5645,0.4655,0.4956,0.437
