Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6839,0.6759,0.6879,0.6418,0.6853,0.6923,0.7081,0.6519,0.6839,0.7308,0.6988,0.6714
0.6912,0.6822,0.7059,0.6992,0.6917,0.7338,0.7007,0.6992,0.6912,0.7407,0.7273,0.72
0.5985,0.7349,0.6759,0.5667,0.5821,0.6711,0.6757,0.5785,0.5985,0.6,0.6119,0.5833
0.7465,0.6957,0.7361,0.7087,0.7482,0.7692,0.7534,0.7143,0.7465,0.7176,0.7068,0.6984
0.7211,0.775,0.7771,0.6861,0.7417,0.7613,0.755,0.705,0.7211,0.719,0.7143,0.6857
0.6853,0.6767,0.6857,0.6718,0.7034,0.6939,0.6897,0.6718,0.6853,0.6986,0.7067,0.6765
0.7034,0.6993,0.7034,0.75,0.6993,0.7105,0.726,0.7368,0.7034,0.7361,0.7273,0.7376
0.7286,0.7194,0.7286,0.72,0.7101,0.7286,0.7286,0.72,0.7286,0.697,0.7059,0.6829
0.7887,0.8112,0.7919,0.7481,0.8,0.7821,0.7662,0.7287,0.7887,0.7671,0.7712,0.7704
0.732,0.7273,0.7308,0.6815,0.7067,0.7273,0.7308,0.6912,0.732,0.7333,0.75,0.6861
0.7143,0.7153,0.7465,0.7132,0.7246,0.7376,0.7429,0.6719,0.7143,0.6963,0.7324,0.6667
0.7259,0.7218,0.7068,0.6393,0.6615,0.6917,0.7445,0.6613,0.7259,0.7273,0.7534,0.6563
0.7162,0.6974,0.7105,0.7391,0.7114,0.7067,0.7152,0.7338,0.7162,0.7092,0.7172,0.7376
0.6763,0.6897,0.6906,0.6614,0.6763,0.6944,0.6901,0.6667,0.6763,0.7413,0.7194,0.6772
0.6763,0.6519,0.6618,0.5593,0.6569,0.6849,0.6849,0.5593,0.6763,0.637,0.637,0.5902
0.7383,0.7368,0.7362,0.7463,0.726,0.755,0.7417,0.7368,0.7383,0.7183,0.7101,0.7445
0.6809,0.6667,0.6849,0.6613,0.6761,0.6759,0.6713,0.6613,0.6809,0.6849,0.6842,0.6716
0.7059,0.7143,0.6963,0.7176,0.6866,0.731,0.7222,0.7176,0.7059,0.7483,0.6917,0.7023
0.7742,0.7636,0.7515,0.7778,0.7898,0.7702,0.7515,0.7862,0.7742,0.7253,0.72,0.7778
0.7123,0.7066,0.7097,0.6462,0.6714,0.698,0.7123,0.6512,0.7123,0.662,0.6944,0.6462
0.7483,0.75,0.7284,0.6917,0.7733,0.7485,0.7547,0.6917,0.7483,0.7436,0.7582,0.7391
0.6277,0.6986,0.6714,0.629,0.6277,0.6853,0.6897,0.6508,0.6277,0.6839,0.6923,0.6618
0.7361,0.7143,0.7092,0.7231,0.7413,0.7143,0.731,0.7231,0.7361,0.7536,0.7465,0.7176
0.7013,0.6702,0.6746,0.7299,0.702,0.7059,0.7013,0.7299,0.7013,0.6875,0.6832,0.7172
0.6977,0.7287,0.7299,0.6612,0.7187,0.7259,0.7353,0.65,0.6977,0.7187,0.7187,0.6667
0.6846,0.6573,0.7013,0.6617,0.6757,0.6974,0.72,0.6412,0.6846,0.7037,0.7226,0.6515
0.7703,0.7651,0.7724,0.7626,0.7838,0.7755,0.7703,0.7626,0.7703,0.7376,0.7465,0.7353
0.7143,0.7097,0.7081,0.7328,0.7285,0.7342,0.7226,0.7328,0.7143,0.7349,0.7439,0.7231
0.7429,0.6667,0.6818,0.6557,0.7286,0.7133,0.731,0.6504,0.7429,0.7059,0.7259,0.6767
0.6357,0.6462,0.6412,0.5873,0.6357,0.6475,0.6525,0.5873,0.6357,0.6569,0.6222,0.6016
0.6429,0.6867,0.6531,0.6406,0.6131,0.6525,0.6475,0.625,0.6429,0.6538,0.6154,0.6358
0.7568,0.7383,0.716,0.7519,0.7448,0.7403,0.7532,0.7328,0.7568,0.7714,0.7483,0.7328
0.7143,0.7273,0.717,0.6563,0.6906,0.72,0.6993,0.6667,0.7143,0.7172,0.6715,0.6906
0.7111,0.6667,0.6977,0.623,0.6977,0.7222,0.7222,0.6341,0.7111,0.7133,0.7164,0.6504
0.7206,0.7518,0.7338,0.7519,0.7206,0.76,0.7413,0.7424,0.7206,0.731,0.7413,0.7519
0.7843,0.8077,0.773,0.7917,0.8,0.8077,0.7843,0.7917,0.7843,0.8028,0.7586,0.7733
0.6714,0.6765,0.6667,0.6116,0.6667,0.6901,0.6853,0.6167,0.6714,0.6364,0.6466,0.6333
0.6533,0.6438,0.649,0.6716,0.6528,0.6835,0.6753,0.6963,0.6533,0.6471,0.6623,0.6861
0.7413,0.7571,0.705,0.6825,0.7361,0.7448,0.75,0.6875,0.7413,0.7516,0.7582,0.6977
0.7105,0.7421,0.7403,0.6512,0.7152,0.7375,0.719,0.6615,0.7105,0.6619,0.6713,0.6615
0.6755,0.695,0.6887,0.6923,0.6892,0.7013,0.7051,0.7023,0.6755,0.6846,0.6622,0.7176
