Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5556,0.5143,0.5143,0.5806,0.5556,0.5556,0.5556,0.5294,0.5556,0.5882,0.5294,0.5455
0.2,0.3125,0.3125,0.3125,0.2581,0.2,0.2581,0.3125,0.2,0.3125,0.3429,0.3333
0.6857,0.6857,0.6667,0.6061,0.6857,0.6857,0.6857,0.6061,0.6857,0.6111,0.5714,0.6286
0.5,0.5455,0.4737,0.5161,0.5455,0.5455,0.4516,0.5161,0.5,0.4516,0.5,0.6
0.6111,0.6154,0.6111,0.5714,0.6111,0.6111,0.6111,0.5882,0.6111,0.5789,0.6154,0.5882
0.5143,0.5556,0.5143,0.5294,0.6061,0.6486,0.5556,0.5294,0.5143,0.7222,0.6,0.5882
0.4375,0.4118,0.3636,0.4516,0.4848,0.4375,0.4375,0.4,0.4375,0.4516,0.4706,0.5455
0.4848,0.4706,0.5,0.5,0.4848,0.5294,0.4848,0.5,0.4848,0.4865,0.4444,0.4848
0.4138,0.4138,0.4667,0.4138,0.4138,0.4667,0.5625,0.4,0.4138,0.5143,0.5455,0.5714
0.5366,0.5116,0.5128,0.6341,0.5714,0.5366,0.5366,0.6341,0.5366,0.6316,0.5946,0.6667
0.4138,0.4706,0.4848,0.4828,0.4667,0.5625,0.5,0.4138,0.4138,0.5405,0.5128,0.5333
0.5,0.5,0.4848,0.4706,0.4865,0.4444,0.4865,0.5294,0.5,0.5,0.5,0.5
0.5714,0.6,0.5517,0.5185,0.6,0.6207,0.5714,0.5185,0.5517,0.5185,0.4444,0.5185
0.6154,0.7368,0.6842,0.7179,0.6829,0.6842,0.7027,0.7368,0.6154,0.6667,0.6667,0.7
0.4444,0.4,0.4211,0.4848,0.4324,0.4,0.3784,0.4706,0.4444,0.4516,0.4615,0.5263
0.5161,0.5714,0.6286,0.6471,0.5806,0.5333,0.5806,0.6471,0.7027,0.6667,0.7222,0.6857
0.5128,0.55,0.5556,0.4706,0.4865,0.55,0.5128,0.4571,0.5128,0.4706,0.5946,0.6486
0.6111,0.6111,0.6111,0.6286,0.6111,0.5714,0.6111,0.5882,0.6111,0.5455,0.5,0.6111
0.4848,0.5,0.5714,0.5455,0.4848,0.5294,0.5294,0.5455,0.4848,0.5556,0.4848,0.4516
0.3529,0.3429,0.3125,0.3333,0.3333,0.303,0.3529,0.3333,0.3529,0.303,0.2963,0.4516
0.5,0.5882,0.6061,0.4,0.6286,0.5455,0.5882,0.4138,0.5,0.3871,0.4118,0.7
0.4571,0.4737,0.5263,0.5455,0.4242,0.4865,0.4865,0.5455,0.4571,0.375,0.375,0.5161
0.4828,0.5161,0.5161,0.4,0.4138,0.4286,0.4138,0.4,0.4286,0.6,0.4444,0.4828
0.5161,0.5,0.5625,0.5333,0.6061,0.5455,0.5455,0.5333,0.5161,0.5714,0.5455,0.5
0.6286,0.5405,0.5789,0.4828,0.6286,0.6061,0.6111,0.5161,0.6286,0.5946,0.5789,0.5882
0.3704,0.4828,0.4138,0.4138,0.4,0.4667,0.4828,0.4286,0.3704,0.5161,0.5161,0.6061
0.3889,0.4444,0.4211,0.4706,0.4444,0.4444,0.4444,0.4571,0.3889,0.4706,0.4706,0.4706
0.4737,0.5789,0.5789,0.4706,0.5128,0.4615,0.45,0.4706,0.4737,0.5116,0.5116,0.5143
0.5789,0.5405,0.5946,0.5556,0.5556,0.5405,0.5405,0.5405,0.5789,0.5238,0.5714,0.5854
0.5294,0.5789,0.5405,0.6316,0.6111,0.5946,0.5946,0.5946,0.6667,0.65,0.6154,0.5
0.625,0.6061,0.5161,0.5806,0.5882,0.5806,0.625,0.5806,0.625,0.5946,0.6286,0.5806
0.6316,0.6316,0.6316,0.7222,0.6316,0.6667,0.6316,0.7222,0.6316,0.6667,0.8649,0.7368
0.6471,0.6471,0.6061,0.6061,0.6857,0.6061,0.6471,0.6061,0.6471,0.5806,0.6286,0.5333
0.4103,0.4762,0.45,0.45,0.4878,0.4103,0.4103,0.4878,0.4103,0.5789,0.5581,0.5714
0.3871,0.4571,0.4,0.4848,0.4138,0.3871,0.3871,0.4,0.3871,0.4375,0.375,0.5
