Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4483,0.4643,0.4286,0.4194,0.4194,0.4483,0.4138,0.4242,0.4483,0.4545,0.4167,0.4583
0.2903,0.3056,0.3333,0.3214,0.3235,0.2941,0.3714,0.2857,0.2903,0.303,0.2432,0.381
0.52,0.5185,0.4545,0.5714,0.4828,0.5357,0.5161,0.5217,0.5217,0.5185,0.4118,0.6471
0.3548,0.3333,0.3333,0.2963,0.3333,0.3429,0.3143,0.3214,0.303,0.4231,0.375,0.3333
0.3333,0.3667,0.3429,0.3077,0.4194,0.375,0.3333,0.3077,0.3333,0.4,0.4333,0.3478
0.3077,0.3913,0.2963,0.2963,0.2963,0.3333,0.2857,0.2609,0.3077,0.3333,0.2647,0.32
0.4231,0.3636,0.3636,0.2963,0.4194,0.4483,0.4828,0.2963,0.32,0.2727,0.4167,0.3636
0.5172,0.5,0.4375,0.4444,0.5333,0.5333,0.5172,0.4286,0.5172,0.5556,0.4242,0.4444
0.4231,0.3462,0.4615,0.4375,0.4348,0.4074,0.48,0.4375,0.3929,0.4643,0.4706,0.5238
0.3143,0.3529,0.3333,0.3,0.3243,0.3056,0.2778,0.3,0.3143,0.3571,0.2647,0.4444
0.5238,0.5,0.4286,0.4074,0.4545,0.4783,0.4783,0.3704,0.5238,0.5417,0.4091,0.3684
0.3226,0.3438,0.3824,0.3714,0.3235,0.3125,0.3125,0.3824,0.3226,0.3913,0.3929,0.4286
0.3871,0.3611,0.3611,0.303,0.3611,0.4242,0.4167,0.3125,0.3871,0.3077,0.3784,0.3333
0.4138,0.4286,0.4138,0.3846,0.4375,0.4194,0.4194,0.3846,0.3333,0.4667,0.4375,0.4
0.4848,0.3947,0.4595,0.3871,0.4848,0.4848,0.4857,0.3871,0.4571,0.4,0.4643,0.5556
0.4074,0.4286,0.44,0.3438,0.3939,0.3929,0.4063,0.3548,0.2857,0.36,0.4286,0.4211
0.4333,0.4242,0.3333,0.4,0.4333,0.4333,0.4194,0.4,0.3667,0.4063,0.4483,0.3333
0.4,0.4211,0.5263,0.3333,0.4167,0.45,0.5238,0.3333,0.32,0.4167,0.4091,0.4286
0.3103,0.3226,0.3214,0.3548,0.3226,0.3226,0.2903,0.3548,0.3103,0.3846,0.303,0.4286
0.3333,0.3158,0.3333,0.3448,0.3056,0.3056,0.3333,0.3448,0.2703,0.303,0.3056,0.36
