Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4737,0.4545,0.4444,0.4,0.5,0.4583,0.52,0.4,0.4737,0.4074,0.4091,0.4375
0.4667,0.4706,0.4667,0.3333,0.4706,0.3889,0.3684,0.35,0.4667,0.4,0.4211,0.3684
0.381,0.3478,0.375,0.3636,0.3636,0.3636,0.3478,0.3636,0.381,0.3043,0.3684,0.4091
0.5417,0.5,0.4231,0.4231,0.4783,0.4483,0.4643,0.36,0.5417,0.44,0.4444,0.375
0.7222,0.6,0.7222,0.55,0.7059,0.6842,0.7222,0.55,0.7222,0.6667,0.6,0.6154
0.4444,0.4211,0.375,0.4118,0.4737,0.4762,0.35,0.4118,0.4444,0.45,0.4,0.4737
0.5217,0.5357,0.5517,0.4333,0.5556,0.5385,0.5172,0.4333,0.5217,0.5926,0.6154,0.5217
0.44,0.4583,0.4,0.4074,0.4167,0.4583,0.4074,0.4074,0.44,0.4074,0.3333,0.4231
0.5,0.5263,0.55,0.5,0.5263,0.5238,0.4583,0.4762,0.5,0.5,0.4286,0.5
0.52,0.5217,0.5,0.5385,0.5556,0.5357,0.5556,0.5385,0.52,0.5357,0.6,0.64
0.8,0.7222,0.7059,0.5789,0.8,0.7059,0.6316,0.5556,0.8,0.6111,0.6,0.6667
0.5789,0.5,0.4063,0.4615,0.5455,0.5,0.52,0.4615,0.5789,0.5,0.5,0.6111
0.3043,0.3333,0.3333,0.25,0.3333,0.32,0.3333,0.25,0.3043,0.32,0.2917,0.2917
0.4583,0.44,0.4783,0.4348,0.44,0.44,0.44,0.4348,0.4583,0.4545,0.4583,0.4545
0.6,0.5652,0.5417,0.5,0.5833,0.5909,0.5,0.5,0.6,0.5417,0.52,0.6
0.5,0.4737,0.5263,0.5,0.5625,0.5,0.5556,0.5,0.5,0.4706,0.6,0.5556
0.6522,0.6364,0.5652,0.5185,0.6667,0.6522,0.5769,0.5,0.6522,0.6154,0.5714,0.5769
0.3846,0.3846,0.3333,0.3929,0.3846,0.3704,0.3846,0.3929,0.3846,0.4074,0.3929,0.3871
0.5217,0.4783,0.3939,0.44,0.5455,0.5,0.4615,0.44,0.5217,0.5,0.4783,0.5
0.4444,0.4286,0.5,0.4091,0.4737,0.45,0.4091,0.3636,0.4444,0.4737,0.3913,0.5
0.5556,0.6087,0.4828,0.44,0.5714,0.5714,0.5185,0.44,0.5556,0.5357,0.5714,0.5833
0.3,0.28,0.2857,0.3846,0.35,0.3333,0.3333,0.4,0.3,0.3478,0.3077,0.3478
0.5,0.5172,0.5,0.4615,0.5357,0.5185,0.5,0.4615,0.5,0.5556,0.625,0.48
0.5385,0.6154,0.5333,0.5,0.6,0.6429,0.4737,0.5,0.5385,0.6154,0.4762,0.4615
0.4,0.4,0.3333,0.3704,0.4348,0.381,0.4348,0.3704,0.4,0.4286,0.3478,0.381
0.4783,0.4783,0.55,0.4762,0.5217,0.4783,0.4444,0.4762,0.4783,0.5,0.5455,0.5
0.4286,0.4,0.4167,0.3846,0.4783,0.4286,0.4167,0.4074,0.4286,0.4762,0.44,0.4483
0.6667,0.6316,0.5714,0.4667,0.6316,0.6,0.5909,0.5,0.6667,0.6,0.5652,0.6471
0.4783,0.5217,0.5,0.4286,0.5217,0.5217,0.5217,0.4286,0.4783,0.48,0.4286,0.5
0.5882,0.5556,0.4583,0.3913,0.5789,0.5882,0.5263,0.3913,0.5882,0.5556,0.5238,0.4118
