Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5745,0.5833,0.5741,0.6176,0.5882,0.5833,0.5833,0.6176,0.5745,0.5789,0.5385,0.55
0.5085,0.4667,0.4177,0.5102,0.4839,0.5263,0.5254,0.52,0.5085,0.4521,0.4429,0.5227
0.5818,0.6327,0.6667,0.6042,0.541,0.5763,0.5373,0.5918,0.5818,0.48,0.3976,0.5179
0.6136,0.5769,0.4915,0.6111,0.6136,0.6327,0.617,0.6,0.6136,0.5854,0.561,0.6486
0.5098,0.5,0.5,0.475,0.4615,0.4815,0.4906,0.4634,0.5098,0.4035,0.4516,0.4318
0.5714,0.6,0.537,0.6667,0.5385,0.5385,0.54,0.6829,0.5714,0.5814,0.5778,0.6829
0.4677,0.4265,0.4754,0.4348,0.4769,0.4776,0.4559,0.5,0.4677,0.5556,0.5577,0.5833
0.5577,0.5082,0.5246,0.5556,0.549,0.5556,0.5179,0.55,0.5577,0.4483,0.52,0.5429
0.5593,0.4545,0.4923,0.6744,0.5556,0.4783,0.4857,0.6279,0.5593,0.507,0.4754,0.6429
0.6327,0.6667,0.5965,0.6585,0.6346,0.6071,0.6182,0.7027,0.6327,0.5072,0.62,0.5435
0.5741,0.6341,0.5918,0.675,0.6038,0.5714,0.5536,0.6829,0.5741,0.4894,0.5,0.6053
0.4884,0.44,0.4727,0.5556,0.5111,0.5111,0.5217,0.5769,0.4884,0.4058,0.5088,0.4773
0.5957,0.6364,0.5909,0.5313,0.5789,0.5769,0.58,0.5758,0.5957,0.5128,0.4375,0.4884
0.641,0.5909,0.5536,0.7407,0.5435,0.5957,0.5714,0.7241,0.641,0.5789,0.6316,0.5323
0.5455,0.5714,0.5789,0.5455,0.4615,0.4762,0.4688,0.5333,0.5455,0.3913,0.4143,0.4407
0.5938,0.4789,0.527,0.6875,0.623,0.5672,0.625,0.5897,0.5938,0.6182,0.6364,0.6154
0.5439,0.4545,0.4638,0.5476,0.4286,0.5345,0.569,0.5227,0.5439,0.6078,0.5263,0.5082
0.5088,0.5,0.5,0.5532,0.5082,0.5,0.5082,0.5417,0.5088,0.493,0.5345,0.5769
0.4909,0.4717,0.4808,0.5283,0.55,0.5082,0.4921,0.5283,0.4909,0.6585,0.5172,0.5
0.5345,0.5,0.5323,0.5517,0.5455,0.5077,0.5714,0.5424,0.5345,0.5833,0.6383,0.6429
0.6286,0.463,0.5435,0.6452,0.575,0.5854,0.6667,0.6452,0.4545,0.5952,0.6047,0.5
0.55,0.4861,0.6111,0.5217,0.5818,0.5593,0.5313,0.5111,0.55,0.5682,0.4918,0.6154
0.55,0.5769,0.5763,0.6341,0.48,0.4933,0.4935,0.6098,0.55,0.4881,0.4471,0.5231
0.5763,0.569,0.5616,0.5682,0.5522,0.5128,0.5263,0.5814,0.5763,0.6,0.5789,0.5918
0.5172,0.4918,0.4833,0.4808,0.5179,0.5088,0.5091,0.4898,0.5172,0.5556,0.5122,0.5946
0.587,0.619,0.6222,0.6341,0.5957,0.6136,0.5909,0.6341,0.587,0.5238,0.4776,0.5192
0.56,0.5385,0.58,0.5789,0.5686,0.58,0.566,0.6286,0.56,0.5254,0.5,0.6
0.5614,0.5313,0.5362,0.5854,0.5593,0.5424,0.5849,0.5854,0.5614,0.6047,0.5918,0.6038
0.4828,0.4127,0.4091,0.5217,0.4828,0.5,0.4667,0.5909,0.4828,0.4483,0.4603,0.4643
0.58,0.625,0.6667,0.6389,0.5614,0.5517,0.6078,0.575,0.58,0.5,0.6905,0.5333
0.5357,0.5,0.5246,0.6,0.5283,0.566,0.55,0.6512,0.5357,0.4697,0.4603,0.5472
0.5526,0.5682,0.5918,0.6129,0.5676,0.5405,0.5714,0.6207,0.5526,0.6905,0.5789,0.5714
0.6458,0.5862,0.4746,0.6047,0.625,0.5645,0.5714,0.6047,0.6458,0.6585,0.5814,0.6765
0.5763,0.5161,0.48,0.5962,0.5385,0.5143,0.5362,0.58,0.5763,0.5238,0.6038,0.5652
0.5517,0.5088,0.5,0.5714,0.5789,0.5263,0.5323,0.5714,0.5517,0.6757,0.6522,0.5676
0.6,0.5818,0.5962,0.5714,0.569,0.5714,0.6111,0.5714,0.6,0.5614,0.5741,0.5833
0.4821,0.3836,0.4237,0.5128,0.4821,0.4203,0.4028,0.5122,0.4821,0.3902,0.3968,0.4103
0.587,0.5957,0.625,0.5294,0.6078,0.5909,0.5714,0.5758,0.587,0.58,0.537,0.5476
0.5645,0.427,0.5,0.5957,0.5439,0.5075,0.5303,0.5833,0.5645,0.5,0.549,0.4561
0.5536,0.5306,0.5185,0.625,0.5962,0.5357,0.5254,0.625,0.5536,0.5246,0.5532,0.5435
0.5854,0.5789,0.7179,0.6667,0.575,0.6136,0.5745,0.6786,0.5854,0.6182,0.5179,0.58
0.5179,0.4576,0.451,0.5,0.5283,0.5091,0.5,0.5,0.5179,0.4783,0.5227,0.6
0.5741,0.5636,0.56,0.6585,0.5636,0.5357,0.5536,0.6829,0.5741,0.6122,0.6579,0.6522
0.5686,0.4921,0.4839,0.5625,0.58,0.5741,0.5536,0.5745,0.5686,0.4938,0.4746,0.5179
0.55,0.4923,0.5172,0.6512,0.5231,0.5079,0.5077,0.7,0.55,0.56,0.5135,0.5652
0.5714,0.6087,0.6,0.6222,0.5849,0.5926,0.5556,0.6512,0.5714,0.5161,0.5246,0.5745
0.5167,0.473,0.4615,0.5385,0.5167,0.5079,0.5357,0.5476,0.5167,0.5156,0.5,0.5652
0.625,0.5965,0.5303,0.6316,0.6444,0.6154,0.6078,0.6486,0.625,0.6591,0.625,0.6897
0.5714,0.5957,0.6667,0.6154,0.5472,0.5536,0.6042,0.6316,0.5714,0.6444,0.6364,0.451
0.4655,0.4355,0.4828,0.5128,0.4655,0.4833,0.4833,0.5,0.4655,0.4839,0.4688,0.4722
0.5781,0.5625,0.66,0.6863,0.625,0.5781,0.6207,0.7143,0.5781,0.5645,0.66,0.7838
0.566,0.5079,0.5319,0.5714,0.5323,0.5517,0.5439,0.5952,0.566,0.5893,0.55,0.5192
0.5077,0.493,0.4667,0.5217,0.4769,0.4925,0.5,0.5417,0.5077,0.4595,0.4808,0.4754
0.5254,0.5192,0.5593,0.5641,0.5577,0.5,0.5238,0.5476,0.5254,0.5686,0.6216,0.5814
0.5439,0.4839,0.4706,0.4912,0.5263,0.55,0.5345,0.4909,0.5439,0.5091,0.4746,0.5849
