Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6625,0.7,0.6585,0.7288,0.7206,0.6667,0.6628,0.7333,0.6625,0.7037,0.6374,0.7231
0.7581,0.8,0.7742,0.8776,0.7797,0.7846,0.7619,0.8776,0.7581,0.8197,0.8276,0.8824
0.6508,0.663,0.6901,0.7391,0.65,0.6667,0.6757,0.7447,0.6508,0.6964,0.6833,0.7609
0.7794,0.75,0.7571,0.8491,0.8,0.7971,0.7639,0.8654,0.7794,0.8246,0.7966,0.8462
0.726,0.7209,0.7349,0.746,0.7273,0.7284,0.7403,0.7538,0.726,0.6962,0.6875,0.7273
0.7101,0.7627,0.7273,0.7719,0.7183,0.6986,0.7042,0.7719,0.7101,0.7083,0.6974,0.7419
0.7183,0.7246,0.7183,0.8226,0.7246,0.6923,0.7361,0.8305,0.7183,0.7571,0.7536,0.7761
0.7727,0.7692,0.7727,0.8824,0.7656,0.7727,0.7727,0.8824,0.7727,0.7931,0.7742,0.8571
0.8358,0.8529,0.7973,0.875,0.8286,0.7531,0.7468,0.8704,0.8358,0.7887,0.7564,0.8667
0.7179,0.7089,0.7037,0.7667,0.7067,0.7089,0.7037,0.7705,0.7179,0.7333,0.7403,0.7581
0.7692,0.7903,0.791,0.8519,0.7937,0.7879,0.8,0.8113,0.7692,0.7833,0.7761,0.8235
0.8033,0.8136,0.7966,0.8125,0.7679,0.7797,0.8095,0.82,0.8033,0.7,0.7639,0.7778
0.7162,0.6795,0.6923,0.7969,0.7067,0.6974,0.7013,0.7846,0.7162,0.7463,0.7324,0.7761
0.7231,0.7042,0.7385,0.7925,0.7231,0.7143,0.7206,0.8077,0.7231,0.7681,0.7692,0.8113
0.7231,0.7213,0.7258,0.75,0.7143,0.6944,0.6944,0.75,0.7231,0.7049,0.7049,0.75
0.7333,0.6495,0.6742,0.8333,0.7361,0.7403,0.7273,0.8305,0.7333,0.75,0.7656,0.8095
0.7164,0.5108,0.6944,0.82,0.7059,0.6901,0.6957,0.82,0.7164,0.6944,0.6667,0.75
