Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4583,0.4583,0.4583,0.5,0.4583,0.4583,0.4167,0.5,0.4583,0.5,0.4583,0.5
0.36,0.4,0.48,0.44,0.4,0.44,0.4,0.44,0.4,0.68,0.64,0.6
0.4,0.44,0.64,0.44,0.4,0.44,0.52,0.44,0.64,0.64,0.68,0.48
0.56,0.68,0.72,0.68,0.56,0.64,0.68,0.68,0.56,0.8,0.84,0.84
0.4583,0.5417,0.5833,0.4583,0.4167,0.5,0.625,0.4583,0.4583,0.5833,0.7083,0.5833
0.5417,0.5833,0.75,0.7083,0.5833,0.5833,0.625,0.7083,0.5833,0.6667,0.9167,0.9167
0.375,0.4167,0.5833,0.5417,0.5,0.5,0.5417,0.5417,0.5833,0.6667,0.7083,0.625
0.25,0.5417,0.5833,0.5417,0.375,0.4167,0.625,0.5417,0.5,0.625,0.625,0.6667
0.4167,0.4167,0.5,0.5417,0.4583,0.4167,0.4583,0.5833,0.625,0.625,0.625,0.625
0.4167,0.4167,0.4583,0.5417,0.4583,0.4167,0.5417,0.5417,0.2917,0.625,0.4167,0.5417
0.4167,0.4167,0.5,0.4583,0.4167,0.5,0.5417,0.4583,0.375,0.7917,0.6667,0.7083
0.48,0.48,0.56,0.44,0.56,0.52,0.56,0.44,0.52,0.56,0.6,0.6
0.28,0.36,0.48,0.52,0.36,0.4,0.44,0.52,0.32,0.52,0.56,0.52
0.52,0.52,0.52,0.68,0.56,0.56,0.64,0.68,0.4,0.64,0.68,0.72
0.5417,0.5833,0.7083,0.5417,0.5417,0.5417,0.5833,0.5417,0.5833,0.7917,0.7083,0.5833
0.5,0.5,0.4583,0.5833,0.4583,0.5,0.5417,0.5833,0.6667,0.625,0.4583,0.6667
0.375,0.375,0.4583,0.5,0.375,0.375,0.4583,0.5,0.2917,0.5,0.8333,0.625
0.2917,0.4583,0.375,0.4167,0.3333,0.4167,0.5417,0.4167,0.875,0.5417,0.7083,0.9167
0.4167,0.4167,0.4583,0.5833,0.5,0.4167,0.4583,0.5833,0.4167,0.625,0.5417,0.625
0.4167,0.4583,0.5,0.5833,0.4583,0.4583,0.4167,0.5833,0.4167,0.5833,0.5417,0.5833
0.6667,0.625,0.6667,0.6667,0.625,0.625,0.625,0.6667,0.7083,0.625,0.625,0.5833
0.2,0.32,0.32,0.36,0.32,0.32,0.36,0.36,0.56,0.64,0.64,0.56
0.48,0.48,0.56,0.64,0.52,0.48,0.52,0.64,0.8,0.52,0.64,0.68
0.36,0.48,0.6,0.56,0.44,0.48,0.48,0.56,0.36,0.72,0.64,0.64
0.375,0.4583,0.375,0.4167,0.4167,0.4583,0.5417,0.5,0.5417,0.5833,0.4583,0.6667
0.4583,0.5,0.6667,0.5833,0.4583,0.5,0.625,0.5833,0.5,0.7083,0.5,0.625
0.375,0.375,0.5,0.5,0.4167,0.4167,0.4583,0.5,0.3333,0.4167,0.4167,0.5833
0.4583,0.5833,0.5833,0.5417,0.5417,0.625,0.6667,0.5417,0.5417,0.5417,0.625,0.625
0.5417,0.5417,0.5833,0.5,0.5,0.5,0.5833,0.5,0.5833,0.6667,0.625,0.6667
0.4583,0.5417,0.6667,0.7083,0.4583,0.4583,0.625,0.7083,0.4167,0.7917,0.875,0.75
0.3333,0.5,0.5,0.5,0.4583,0.5,0.5,0.5,0.2083,0.625,0.5417,0.625
0.56,0.6,0.48,0.68,0.6,0.56,0.64,0.68,0.48,0.68,0.64,0.68
0.28,0.36,0.52,0.44,0.36,0.4,0.56,0.44,0.44,0.68,0.6,0.6
0.6,0.68,0.84,0.68,0.64,0.64,0.68,0.68,0.48,0.76,0.68,0.64
0.5,0.5417,0.5833,0.5833,0.5417,0.5417,0.6667,0.5417,0.5417,0.875,0.875,0.5833
0.4583,0.5,0.5,0.5,0.4583,0.4583,0.5417,0.5,0.5833,0.5833,0.6667,0.625
0.4583,0.5417,0.6667,0.5,0.5417,0.5,0.6667,0.5,0.5417,0.7083,0.5417,0.625
0.3333,0.4583,0.4167,0.5833,0.3333,0.3333,0.375,0.5833,0.4167,0.5417,0.4167,0.625
0.2917,0.25,0.2917,0.375,0.2917,0.2917,0.3333,0.375,0.7083,0.25,0.625,0.4167
0.375,0.375,0.5833,0.6667,0.375,0.4167,0.5417,0.6667,0.5,0.5417,0.5,0.8333
0.5,0.5417,0.6667,0.5417,0.5417,0.5417,0.625,0.5417,0.4583,0.6667,0.5,0.6667
0.4,0.48,0.44,0.36,0.4,0.44,0.4,0.36,0.4,0.56,0.6,0.52
0.36,0.44,0.52,0.4,0.52,0.48,0.6,0.4,0.64,0.72,0.84,0.68
0.52,0.6,0.52,0.4,0.52,0.52,0.52,0.4,0.4,0.84,0.88,0.6
0.4583,0.5,0.5,0.625,0.4583,0.5,0.5,0.625,0.5417,0.875,0.625,0.625
0.75,0.7083,0.7083,0.75,0.7917,0.75,0.75,0.75,0.7083,0.9167,0.7917,0.7917
0.375,0.5417,0.5417,0.6667,0.375,0.4167,0.5,0.6667,0.2917,0.5,0.6667,0.7917
0.5,0.5,0.5417,0.5417,0.5417,0.5833,0.625,0.5417,0.7917,0.7083,0.6667,0.5417
0.375,0.4167,0.625,0.5,0.5,0.3333,0.3333,0.5,0.375,0.5833,0.5417,0.625
0.2083,0.375,0.5833,0.5833,0.375,0.375,0.625,0.5833,0.2917,0.625,0.4167,0.7083
0.25,0.4167,0.5,0.3333,0.2917,0.2917,0.4167,0.3333,0.375,0.4167,0.4583,0.5
0.56,0.64,0.48,0.6,0.56,0.56,0.56,0.6,0.52,0.84,0.56,0.68
0.32,0.4,0.36,0.4,0.32,0.4,0.4,0.4,0.44,0.52,0.68,0.64
0.44,0.4,0.6,0.64,0.44,0.48,0.68,0.64,0.4,0.76,0.72,0.72
0.4583,0.5,0.5833,0.6667,0.5,0.5,0.4583,0.625,0.875,0.5,0.625,0.6667
0.6667,0.7083,0.7083,0.6667,0.625,0.7083,0.7083,0.625,0.5417,0.7083,0.7083,0.7083
0.375,0.4583,0.5833,0.625,0.4167,0.4583,0.5,0.625,0.2917,0.4167,0.375,0.5417
0.375,0.4167,0.3333,0.5,0.4583,0.375,0.4167,0.4167,0.5417,0.6667,0.5833,0.6667
0.375,0.4167,0.4167,0.4583,0.4583,0.4583,0.5,0.4583,0.2917,0.5417,0.5,0.7083
0.5417,0.5,0.625,0.6667,0.5833,0.5833,0.75,0.6667,0.5,0.75,0.75,0.7083
0.4167,0.5,0.5417,0.7917,0.4167,0.4167,0.5,0.7917,0.625,0.625,0.75,0.875
0.44,0.48,0.52,0.48,0.48,0.48,0.64,0.44,0.4,0.64,0.6,0.68
0.36,0.36,0.48,0.64,0.36,0.36,0.44,0.64,0.4,0.6,0.52,0.6
0.4,0.44,0.68,0.52,0.52,0.56,0.68,0.44,0.56,0.84,0.8,0.84
0.375,0.4167,0.4583,0.5417,0.4583,0.4583,0.5,0.5,0.3333,0.5417,0.5833,0.5
0.5833,0.5417,0.6667,0.5417,0.5417,0.5417,0.5,0.5417,0.5417,0.5417,0.5833,0.6667
0.5417,0.5417,0.5417,0.6667,0.5417,0.5417,0.5833,0.6667,0.5417,0.5833,0.7083,0.6667
0.4167,0.3333,0.375,0.4583,0.375,0.4167,0.375,0.4583,0.375,0.3333,0.4167,0.7083
0.375,0.4583,0.375,0.375,0.5,0.4167,0.5,0.375,0.2917,0.5833,0.5,0.5
0.5,0.5417,0.5417,0.5833,0.5417,0.5,0.5417,0.5833,0.4167,0.5833,0.625,0.5417
0.5417,0.5,0.4583,0.4583,0.5417,0.5417,0.5,0.4583,0.5417,0.4583,0.7083,0.5417
0.44,0.52,0.64,0.48,0.48,0.6,0.56,0.48,0.76,0.6,0.76,0.72
0.48,0.44,0.48,0.52,0.48,0.48,0.48,0.52,0.72,0.4,0.56,0.48
0.4,0.48,0.44,0.64,0.48,0.44,0.56,0.64,0.4,0.64,0.68,0.8
0.5,0.625,0.5833,0.75,0.6667,0.625,0.7083,0.75,0.5,0.8333,0.7917,0.8333
0.25,0.2083,0.375,0.4583,0.1667,0.25,0.375,0.4583,0.25,0.7083,0.4583,0.7083
0.4583,0.4583,0.5,0.5417,0.4583,0.4583,0.5,0.5417,0.625,0.5417,0.7917,0.7083
0.4583,0.5833,0.5833,0.625,0.5833,0.4583,0.625,0.625,0.5417,0.625,0.7917,0.75
0.4583,0.4583,0.4167,0.5417,0.5,0.4583,0.5833,0.5417,0.625,0.9167,0.875,0.6667
0.4167,0.375,0.5417,0.375,0.5,0.5417,0.5417,0.375,0.4583,0.7917,0.75,0.5833
0.3333,0.375,0.625,0.375,0.375,0.4167,0.5833,0.4167,0.4167,0.6667,0.5417,0.375
0.44,0.56,0.56,0.6,0.48,0.52,0.76,0.6,0.48,0.64,0.84,0.72
