Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4355,0.4516,0.5,0.3387,0.4839,0.4516,0.4516,0.3387,0.4355,0.5323,0.3387,0.3548
0.4839,0.4516,0.5323,0.4032,0.4839,0.4839,0.5,0.4194,0.4839,0.5323,0.5,0.371
0.5161,0.5,0.4839,0.4677,0.5323,0.5484,0.5806,0.4677,0.5161,0.5806,0.5323,0.4677
0.4355,0.4839,0.4677,0.3548,0.4355,0.5,0.4677,0.3387,0.4355,0.3871,0.371,0.3871
0.4194,0.3871,0.3871,0.3065,0.3871,0.4194,0.4194,0.3065,0.4194,0.371,0.2258,0.3065
0.4516,0.4355,0.4677,0.4194,0.4516,0.4516,0.4355,0.4516,0.4516,0.4032,0.4194,0.4516
0.4677,0.4677,0.4677,0.3226,0.5,0.5161,0.5,0.3226,0.4677,0.4839,0.4677,0.3387
0.4677,0.5,0.5161,0.3226,0.4516,0.4839,0.4677,0.3548,0.4677,0.4194,0.4194,0.3065
0.5323,0.5645,0.5161,0.4677,0.5645,0.5323,0.5484,0.4355,0.5323,0.5806,0.4677,0.4355
0.5,0.5484,0.5484,0.4355,0.5323,0.5484,0.5484,0.4194,0.5,0.5645,0.5,0.4032
0.5,0.4194,0.4677,0.4355,0.5161,0.5161,0.5,0.4516,0.5,0.371,0.3871,0.371
0.3387,0.3548,0.4194,0.2419,0.371,0.371,0.3871,0.2419,0.3387,0.4516,0.4677,0.3387
0.4516,0.3387,0.4194,0.2742,0.3548,0.4839,0.4677,0.3065,0.4516,0.3226,0.3387,0.3387
0.4032,0.4194,0.5,0.3226,0.4032,0.4516,0.4516,0.3387,0.4032,0.3548,0.3871,0.5323
0.4839,0.4516,0.3548,0.3871,0.4839,0.4839,0.4839,0.3871,0.4839,0.4355,0.4677,0.4194
0.6129,0.5484,0.629,0.3548,0.6129,0.6129,0.6452,0.371,0.6129,0.5484,0.5645,0.5161
0.5,0.4839,0.5161,0.371,0.4355,0.5,0.5323,0.371,0.5,0.5,0.4839,0.5
0.4677,0.4839,0.4839,0.4194,0.5,0.5,0.5,0.4194,0.4677,0.5645,0.5,0.4839
0.4355,0.4032,0.4032,0.4516,0.5323,0.5,0.5,0.4516,0.4355,0.4355,0.4839,0.4355
0.5,0.629,0.5323,0.5161,0.4839,0.5323,0.5806,0.5161,0.5,0.4516,0.4839,0.4355
0.3548,0.4032,0.4032,0.3226,0.371,0.3871,0.3871,0.3226,0.5645,0.4032,0.4194,0.371
0.5323,0.5645,0.5323,0.3871,0.5161,0.5323,0.5484,0.371,0.5323,0.4032,0.4839,0.3871
0.5323,0.4839,0.5484,0.4194,0.5806,0.5968,0.6129,0.4032,0.5323,0.6613,0.6129,0.5484
0.5484,0.5323,0.6613,0.4032,0.5968,0.6452,0.6452,0.4032,0.5484,0.5323,0.5323,0.4677
0.4839,0.4839,0.4677,0.4032,0.4677,0.4677,0.4516,0.3871,0.4839,0.3226,0.3387,0.3548
0.4355,0.4194,0.4516,0.4194,0.4516,0.4355,0.4194,0.4194,0.4355,0.5323,0.5161,0.4355
0.4516,0.4516,0.4677,0.3548,0.4677,0.4677,0.4839,0.3548,0.4516,0.5,0.5,0.2903
