Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4762,0.4286,0.4286,0.4286,0.4762,0.4762,0.4762,0.4286,0.4762,0.4762,0.4286,0.4286
0.1429,0.2381,0.2381,0.2381,0.1905,0.1429,0.1905,0.2381,0.1429,0.2381,0.2857,0.2381
0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.55,0.5,0.55
0.4,0.45,0.45,0.4,0.45,0.45,0.35,0.4,0.4,0.35,0.4,0.45
0.55,0.6,0.55,0.5,0.55,0.55,0.55,0.5,0.55,0.55,0.6,0.5
0.45,0.5,0.45,0.45,0.5,0.6,0.5,0.45,0.45,0.65,0.6,0.5
0.35,0.35,0.3,0.35,0.4,0.35,0.35,0.3,0.35,0.35,0.4,0.45
0.4,0.4,0.45,0.4,0.4,0.45,0.4,0.4,0.4,0.45,0.4,0.4
0.3,0.3,0.35,0.3,0.3,0.35,0.45,0.3,0.3,0.45,0.45,0.5
0.55,0.55,0.5,0.65,0.6,0.55,0.55,0.65,0.55,0.6,0.55,0.75
0.3,0.4,0.4,0.35,0.35,0.45,0.4,0.3,0.3,0.5,0.5,0.4
0.45,0.4,0.4,0.4,0.45,0.4,0.45,0.45,0.45,0.45,0.4,0.45
0.4,0.45,0.4,0.35,0.45,0.45,0.4,0.35,0.4,0.35,0.3,0.35
0.6,0.7,0.65,0.7,0.7,0.65,0.65,0.7,0.6,0.65,0.7,0.7
0.4,0.35,0.4,0.4,0.4,0.35,0.35,0.4,0.4,0.35,0.45,0.5
0.4,0.4,0.55,0.55,0.45,0.4,0.45,0.55,0.65,0.6,0.65,0.6
0.4762,0.5238,0.4762,0.381,0.4286,0.5238,0.4762,0.381,0.4762,0.381,0.5238,0.5714
0.5238,0.5238,0.5238,0.5238,0.5238,0.4762,0.5238,0.4762,0.5238,0.4286,0.381,0.5238
0.4,0.4,0.5,0.45,0.4,0.45,0.45,0.45,0.4,0.5,0.4,0.35
0.3,0.3,0.25,0.25,0.25,0.25,0.3,0.25,0.3,0.25,0.2,0.35
0.4,0.5,0.5,0.3,0.55,0.45,0.5,0.3,0.4,0.3,0.35,0.7
0.4,0.45,0.5,0.45,0.35,0.45,0.45,0.45,0.4,0.3,0.3,0.4
0.35,0.4,0.4,0.25,0.3,0.3,0.3,0.25,0.3,0.45,0.3,0.35
