Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9375,0.9407,0.957,0.9294,0.9578,0.961,0.9456,0.9359,0.9205,0.9627,0.9602,0.9188
0.8164,0.8094,0.7614,0.7955,0.7946,0.8086,0.8112,0.8208,0.8077,0.7692,0.757,0.7614
0.9257,0.9292,0.8872,0.9231,0.9476,0.9598,0.9344,0.9484,0.8977,0.9091,0.9091,0.9152
0.9231,0.9047,0.8479,0.8916,0.9301,0.9283,0.9388,0.9283,0.8724,0.8951,0.91,0.9231
0.9244,0.9385,0.9593,0.9369,0.9684,0.9568,0.9452,0.9726,0.9302,0.9369,0.9701,0.9618
0.8713,0.8588,0.8322,0.9037,0.9568,0.9493,0.9618,0.9485,0.8895,0.9086,0.936,0.9153
0.8439,0.8978,0.8854,0.858,0.8796,0.8962,0.902,0.9111,0.9037,0.902,0.8696,0.8904
0.8937,0.8779,0.8762,0.8762,0.9145,0.9078,0.9095,0.912,0.892,0.7965,0.907,0.8497
0.9061,0.9643,0.946,0.9352,0.9643,0.9826,0.9776,0.9701,0.9319,0.9626,0.9626,0.9394
0.9668,0.9709,0.9593,0.9626,0.9767,0.9817,0.9792,0.9784,0.9435,0.9601,0.9601,0.9817
0.8701,0.8961,0.8718,0.888,0.9269,0.8904,0.9042,0.9481,0.7873,0.9123,0.9002,0.9042
0.8123,0.9012,0.8405,0.8463,0.8738,0.8679,0.8887,0.8522,0.8164,0.8746,0.8596,0.8148
0.9161,0.9153,0.907,0.9153,0.9311,0.946,0.9377,0.9261,0.961,0.8904,0.8962,0.9037
0.9402,0.8895,0.9294,0.9659,0.9759,0.9834,0.9751,0.9826,0.9618,0.9568,0.9327,0.9601
0.9078,0.9061,0.8671,0.9236,0.9352,0.9402,0.9236,0.9311,0.9269,0.9012,0.9369,0.9576
0.848,0.8571,0.8513,0.8522,0.8904,0.8912,0.9045,0.8904,0.8746,0.8746,0.8555,0.8663
0.9344,0.9593,0.9585,0.9668,0.9701,0.985,0.9659,0.9767,0.9344,0.9568,0.956,0.9111
0.9493,0.9231,0.9187,0.9406,0.9563,0.9589,0.9624,0.9677,0.8645,0.9493,0.8899,0.9441
0.958,0.9703,0.9292,0.9545,0.9834,0.9773,0.9825,0.9843,0.9615,0.9633,0.9685,0.979
0.8663,0.9266,0.8899,0.8584,0.9021,0.9152,0.9012,0.8995,0.8645,0.8086,0.8671,0.8392
0.9391,0.9505,0.9213,0.9343,0.9562,0.9724,0.9318,0.9432,0.9213,0.918,0.9343,0.9481
0.882,0.9047,0.8837,0.8837,0.9222,0.9458,0.9178,0.9292,0.8619,0.8864,0.9292,0.8715
0.847,0.8864,0.9082,0.8907,0.8829,0.924,0.9178,0.9135,0.84,0.8759,0.9073,0.8986
0.8698,0.8654,0.9073,0.8916,0.8846,0.8977,0.9065,0.9012,0.8628,0.8846,0.9012,0.8304
0.8754,0.936,0.9286,0.8771,0.9319,0.9452,0.9477,0.9444,0.8787,0.946,0.9169,0.8837
0.9385,0.9551,0.9493,0.9252,0.9576,0.9651,0.9726,0.9734,0.951,0.9635,0.9618,0.9402
0.7824,0.8846,0.8364,0.8248,0.843,0.8497,0.8505,0.8754,0.8306,0.7924,0.8098,0.8414
0.892,0.9311,0.9203,0.9385,0.9402,0.9477,0.956,0.9435,0.8937,0.9111,0.9427,0.9352
0.9444,0.9203,0.956,0.9286,0.9468,0.9369,0.941,0.9452,0.9244,0.9319,0.9178,0.8405
0.9659,0.9618,0.9784,0.9261,0.9751,0.9684,0.9734,0.9734,0.9419,0.9302,0.9718,0.9377
0.9326,0.9034,0.9594,0.789,0.9424,0.9489,0.9383,0.9245,0.8425,0.9448,0.8994,0.9229
0.826,0.8715,0.8435,0.8794,0.8741,0.8951,0.8829,0.8916,0.8794,0.9021,0.8899,0.8628
0.9397,0.9502,0.951,0.9598,0.9554,0.958,0.9563,0.9642,0.9143,0.9047,0.91,0.958
0.924,0.9615,0.9248,0.9484,0.9598,0.9738,0.9781,0.9668,0.9327,0.9301,0.9266,0.8925
0.8862,0.9435,0.9061,0.9419,0.9402,0.9286,0.9294,0.9369,0.8414,0.9352,0.8571,0.8796
0.8588,0.8953,0.8804,0.902,0.9211,0.9319,0.9236,0.9294,0.8704,0.9028,0.8812,0.8895
0.8854,0.9252,0.9269,0.8804,0.8995,0.9286,0.9319,0.9261,0.9061,0.9377,0.8846,0.9219
0.8953,0.8937,0.7915,0.8713,0.9244,0.9169,0.9111,0.9136,0.8862,0.8513,0.897,0.9186
0.9286,0.9186,0.9095,0.9518,0.9435,0.9252,0.9435,0.9485,0.9178,0.9128,0.9485,0.9319
0.8563,0.902,0.8937,0.8895,0.912,0.9153,0.9161,0.9211,0.9103,0.8688,0.8181,0.9277
0.7995,0.8766,0.8823,0.8677,0.8709,0.8531,0.8742,0.8506,0.8474,0.832,0.7744,0.8019
0.9397,0.9738,0.9073,0.9388,0.924,0.9397,0.9449,0.9659,0.9292,0.917,0.9353,0.9152
0.9126,0.9205,0.9318,0.9082,0.9388,0.9353,0.9371,0.9178,0.8619,0.8986,0.8899,0.8767
0.9423,0.9545,0.9388,0.972,0.979,0.993,0.9948,0.9895,0.9467,0.9615,0.9843,0.9685
0.843,0.8439,0.8547,0.8389,0.8937,0.902,0.897,0.8895,0.7882,0.7973,0.8347,0.838
0.9626,0.9518,0.9061,0.9327,0.9726,0.9784,0.9676,0.9684,0.9734,0.9435,0.9651,0.9801
0.9169,0.8887,0.8355,0.9037,0.9169,0.8696,0.8879,0.9228,0.8812,0.8945,0.8671,0.8738
0.9618,0.9468,0.9078,0.9277,0.9701,0.9502,0.9435,0.9444,0.9419,0.9045,0.8787,0.9535
