Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.812,0.8652,0.818,0.804,0.8584,0.8584,0.8714,0.8579,0.8845,0.7757,0.8143,0.809
0.8539,0.8316,0.8569,0.8516,0.8852,0.8767,0.8529,0.8564,0.8742,0.8003,0.787,0.8694
0.8733,0.8714,0.8688,0.8778,0.9124,0.9204,0.919,0.9116,0.8767,0.8968,0.8593,0.873
0.8148,0.763,0.7963,0.791,0.8614,0.8053,0.8352,0.8288,0.741,0.7622,0.8175,0.7762
0.9,0.8278,0.831,0.8563,0.9008,0.8868,0.8881,0.9013,0.8976,0.8799,0.8471,0.8571
0.782,0.8011,0.7757,0.7619,0.8291,0.8183,0.7886,0.8124,0.7796,0.7817,0.8249,0.8201
0.8063,0.8616,0.8011,0.8619,0.914,0.886,0.9116,0.8683,0.8934,0.8937,0.8463,0.8259
0.9203,0.9183,0.9228,0.941,0.9585,0.9294,0.938,0.9221,0.941,0.919,0.9324,0.9279
0.8451,0.8292,0.854,0.8492,0.8902,0.8925,0.8917,0.8588,0.8376,0.7791,0.8796,0.8563
0.7978,0.8836,0.8467,0.7788,0.8631,0.8684,0.8884,0.835,0.8532,0.8692,0.8097,0.8818
0.8875,0.8318,0.8539,0.8734,0.906,0.9155,0.9351,0.909,0.8183,0.8561,0.8822,0.881
0.8303,0.8163,0.807,0.8579,0.912,0.887,0.8622,0.8762,0.8534,0.8709,0.8398,0.799
0.8209,0.8315,0.7844,0.8026,0.8216,0.8335,0.8252,0.7983,0.8026,0.8102,0.7604,0.7918
0.8621,0.9162,0.897,0.8687,0.9228,0.9431,0.9274,0.9165,0.8406,0.8489,0.8866,0.8689
0.8143,0.8393,0.8568,0.8537,0.8849,0.8753,0.9028,0.8725,0.7829,0.8383,0.8477,0.8659
0.8902,0.8474,0.8413,0.7971,0.8899,0.8852,0.8717,0.8505,0.7958,0.8751,0.8601,0.8841
0.8659,0.8905,0.8442,0.8474,0.895,0.8913,0.891,0.8728,0.8484,0.8328,0.8333,0.8254
0.922,0.9251,0.8812,0.8931,0.9212,0.9233,0.9204,0.9392,0.923,0.8974,0.9045,0.9164
0.8794,0.891,0.8392,0.882,0.9249,0.9339,0.9108,0.9283,0.9183,0.9204,0.9066,0.904
0.8222,0.7886,0.8362,0.7841,0.8606,0.8278,0.8323,0.8333,0.855,0.8206,0.7955,0.8325
0.8273,0.795,0.8521,0.7987,0.8321,0.8569,0.8639,0.8328,0.7767,0.8779,0.8266,0.8797
0.8559,0.9035,0.917,0.8897,0.9624,0.9421,0.9396,0.9454,0.896,0.9053,0.9549,0.9218
0.8821,0.8742,0.8052,0.8798,0.8864,0.9028,0.8796,0.8887,0.8788,0.8922,0.8737,0.8699
0.853,0.8133,0.8454,0.8016,0.8816,0.8879,0.8441,0.8629,0.7837,0.7745,0.8659,0.8978
0.8057,0.8292,0.8193,0.8203,0.8596,0.8687,0.8851,0.8654,0.7892,0.768,0.7396,0.7948
0.8299,0.8122,0.769,0.8582,0.8635,0.8669,0.8532,0.8743,0.8077,0.8074,0.8053,0.8159
0.8653,0.8437,0.8257,0.8749,0.8825,0.881,0.8421,0.8484,0.8124,0.8548,0.8558,0.8802
0.8534,0.9206,0.8844,0.8368,0.9114,0.9209,0.9151,0.9029,0.8439,0.8876,0.9005,0.8979
0.8921,0.8828,0.777,0.9119,0.9249,0.9169,0.8749,0.9267,0.9347,0.9333,0.9071,0.9032
0.8063,0.7947,0.8558,0.8249,0.8587,0.8783,0.8757,0.8376,0.8135,0.7746,0.7653,0.8347
0.8692,0.8574,0.8654,0.898,0.913,0.9068,0.9253,0.9025,0.8907,0.8566,0.8612,0.7757
0.8351,0.8581,0.8704,0.8845,0.9261,0.918,0.9226,0.8877,0.9105,0.883,0.8544,0.8208
0.8847,0.8492,0.7815,0.8683,0.8878,0.8767,0.873,0.8939,0.9098,0.9093,0.881,0.823
0.8884,0.9024,0.8378,0.9026,0.9365,0.9159,0.937,0.9169,0.8796,0.9032,0.9389,0.9204
