Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8747,0.8792,0.8709,0.8776,0.9206,0.9232,0.9168,0.9168,0.8758,0.9109,0.8768,0.8952
0.9207,0.8919,0.8915,0.9029,0.9312,0.9397,0.936,0.9298,0.9057,0.9005,0.8951,0.909
0.8601,0.9169,0.9201,0.9065,0.9234,0.9332,0.9322,0.9305,0.8601,0.8726,0.8819,0.886
0.8433,0.8473,0.8341,0.8379,0.8652,0.8708,0.8714,0.8721,0.8402,0.848,0.8367,0.8684
0.9149,0.9156,0.8939,0.9218,0.9404,0.9416,0.9346,0.9412,0.8721,0.9196,0.8914,0.8941
0.8865,0.9279,0.9111,0.9108,0.9235,0.9263,0.9328,0.9285,0.8532,0.8642,0.8511,0.859
0.8644,0.8902,0.8637,0.901,0.8942,0.9153,0.9007,0.9007,0.8438,0.8666,0.8598,0.8514
0.9037,0.9092,0.8901,0.8657,0.909,0.9125,0.9058,0.9051,0.8346,0.8545,0.8554,0.8456
0.8794,0.8648,0.8533,0.9175,0.9255,0.9198,0.9208,0.913,0.8592,0.8664,0.8842,0.8638
0.8635,0.9102,0.9111,0.8689,0.9127,0.913,0.9082,0.9065,0.9039,0.9054,0.9009,0.9011
0.8875,0.8765,0.8642,0.8669,0.8984,0.9012,0.896,0.8968,0.8741,0.8524,0.8564,0.8425
0.9035,0.8786,0.8946,0.8789,0.9232,0.9309,0.9228,0.9236,0.9033,0.9088,0.9011,0.8885
0.8882,0.9201,0.9348,0.9135,0.9297,0.9306,0.9271,0.9287,0.9183,0.9123,0.9076,0.9097
0.871,0.8711,0.888,0.8565,0.8789,0.8813,0.876,0.8762,0.8638,0.83,0.8605,0.8447
0.8758,0.8767,0.8605,0.8828,0.907,0.9127,0.8965,0.9133,0.8668,0.8773,0.8495,0.8293
0.9036,0.9222,0.9163,0.9181,0.9418,0.9432,0.9497,0.9414,0.9506,0.8955,0.9238,0.9246
0.9025,0.8821,0.887,0.8847,0.9271,0.9132,0.9214,0.9154,0.8802,0.8794,0.8596,0.8729
0.8922,0.8778,0.8965,0.8743,0.9135,0.918,0.9104,0.9153,0.8602,0.8749,0.8721,0.8945
0.8727,0.8664,0.8875,0.892,0.9118,0.9124,0.9116,0.9148,0.8917,0.8721,0.8847,0.8739
0.8889,0.9054,0.8781,0.8953,0.9303,0.9308,0.932,0.9214,0.9089,0.881,0.9151,0.9102
0.9252,0.9476,0.9231,0.9547,0.9483,0.9466,0.9409,0.9533,0.9073,0.9144,0.908,0.9202
0.9157,0.8901,0.903,0.8763,0.9191,0.9168,0.9241,0.9213,0.8542,0.8985,0.9052,0.8584
0.8587,0.8615,0.8651,0.8668,0.8906,0.8987,0.8945,0.8933,0.8528,0.8586,0.8429,0.8618
0.8987,0.9063,0.9137,0.8878,0.9295,0.9333,0.9204,0.9182,0.8306,0.8975,0.8988,0.8899
0.9356,0.9247,0.9146,0.9381,0.9584,0.9562,0.9485,0.9564,0.8907,0.9101,0.9014,0.9392
0.8774,0.8924,0.8567,0.9284,0.9244,0.9288,0.9256,0.9293,0.9057,0.8923,0.885,0.8922
0.8885,0.8991,0.8719,0.8792,0.9175,0.9125,0.909,0.9068,0.886,0.8878,0.8799,0.932
0.848,0.8849,0.8587,0.8644,0.8838,0.8885,0.8759,0.8872,0.8576,0.8663,0.8566,0.8584
0.8772,0.905,0.8551,0.8942,0.9064,0.909,0.9071,0.9068,0.8696,0.8793,0.8893,0.8919
0.893,0.9028,0.8643,0.8603,0.8885,0.8944,0.9066,0.9109,0.8697,0.8995,0.8801,0.8895
0.9032,0.904,0.9168,0.9136,0.9125,0.912,0.9157,0.9014,0.8945,0.8909,0.8828,0.8589
0.8756,0.875,0.8884,0.8917,0.8987,0.9086,0.8984,0.9015,0.8354,0.8477,0.8641,0.8636
0.8343,0.8756,0.8522,0.8576,0.8746,0.8985,0.8829,0.8894,0.8395,0.8591,0.8651,0.8514
0.8848,0.8911,0.88,0.905,0.9137,0.9191,0.9104,0.9143,0.9032,0.8779,0.9084,0.8715
0.9185,0.8973,0.8838,0.8952,0.9169,0.9189,0.9196,0.906,0.8433,0.891,0.9121,0.8862
0.8604,0.8355,0.8581,0.8625,0.8996,0.8969,0.892,0.8886,0.8641,0.8579,0.8545,0.8165
0.8829,0.9085,0.9111,0.8909,0.9315,0.9286,0.9372,0.9315,0.886,0.8643,0.8653,0.8825
0.9197,0.9169,0.9171,0.9078,0.9364,0.9342,0.9245,0.94,0.878,0.9044,0.9101,0.8883
0.8881,0.9069,0.9054,0.8934,0.9318,0.9427,0.9373,0.9386,0.898,0.9015,0.8926,0.8852
0.9098,0.9196,0.9048,0.9121,0.9347,0.9406,0.9307,0.9355,0.9079,0.9361,0.9097,0.9099
0.8743,0.9195,0.8952,0.8963,0.9265,0.928,0.9157,0.9221,0.9051,0.8731,0.8513,0.8684
0.9014,0.9014,0.874,0.9029,0.9011,0.9097,0.9116,0.9073,0.8864,0.8776,0.8909,0.8601
0.8768,0.9042,0.8885,0.9073,0.9206,0.9187,0.918,0.9161,0.8751,0.8973,0.8938,0.8958
0.8426,0.8495,0.8146,0.8475,0.8805,0.8729,0.8773,0.8687,0.8496,0.8263,0.8497,0.8451
0.9204,0.8951,0.9032,0.8958,0.9242,0.9242,0.9237,0.9252,0.8703,0.8933,0.8958,0.8906
0.9019,0.9119,0.9211,0.8894,0.9263,0.9363,0.9247,0.9285,0.8788,0.9079,0.8969,0.9033
0.8976,0.8946,0.8859,0.8941,0.9092,0.9217,0.9085,0.918,0.8806,0.9036,0.9254,0.8999
0.9098,0.8942,0.9033,0.9043,0.9146,0.92,0.9109,0.9169,0.8885,0.8893,0.8803,0.8856
0.8592,0.8825,0.859,0.8688,0.9135,0.9289,0.9253,0.9178,0.8616,0.8911,0.9088,0.8653
0.9252,0.9248,0.9304,0.923,0.9387,0.9483,0.9392,0.9512,0.8932,0.9138,0.9065,0.9155
0.9001,0.8995,0.8945,0.9023,0.9176,0.9228,0.9215,0.9238,0.9013,0.8917,0.9143,0.8905
0.889,0.8897,0.887,0.8854,0.9093,0.9202,0.931,0.9225,0.8528,0.8796,0.8775,0.8535
0.8823,0.8879,0.905,0.9042,0.9165,0.9212,0.9179,0.9135,0.8855,0.8938,0.9067,0.9085
0.9187,0.8798,0.8828,0.906,0.9239,0.9226,0.9154,0.9209,0.9061,0.8785,0.886,0.8958
0.8061,0.8424,0.8134,0.8514,0.8643,0.8727,0.8649,0.8479,0.7789,0.8307,0.7973,0.8765
0.8419,0.8499,0.8616,0.9021,0.8978,0.9118,0.9031,0.9067,0.8521,0.8726,0.8912,0.889
0.8675,0.869,0.8862,0.8683,0.9086,0.9107,0.9022,0.8959,0.857,0.8732,0.8665,0.8266
0.926,0.895,0.9215,0.911,0.9403,0.9374,0.9341,0.9376,0.9014,0.9175,0.9069,0.9046
0.9161,0.9319,0.8863,0.9349,0.9319,0.9504,0.9386,0.9429,0.9371,0.9327,0.901,0.9214
0.9342,0.9117,0.9098,0.8935,0.9328,0.9424,0.9308,0.9393,0.8992,0.9093,0.8945,0.8664
0.9138,0.9206,0.9168,0.9279,0.9364,0.9394,0.9297,0.937,0.893,0.9072,0.876,0.9299
0.9084,0.8878,0.8846,0.9279,0.9036,0.9237,0.9232,0.9251,0.885,0.8836,0.8719,0.9096
0.878,0.9033,0.9124,0.9146,0.9416,0.9431,0.9368,0.9362,0.9045,0.899,0.9013,0.8877
0.8734,0.8809,0.8749,0.8876,0.9031,0.9167,0.9053,0.9022,0.8612,0.8461,0.8816,0.8739
0.8874,0.8651,0.8782,0.8846,0.898,0.9101,0.9084,0.9151,0.8725,0.8845,0.8499,0.8858
0.9163,0.9022,0.8978,0.9,0.9361,0.925,0.9189,0.9178,0.8814,0.8895,0.8912,0.8704
0.8589,0.8575,0.8768,0.8881,0.9312,0.9287,0.9194,0.9144,0.8529,0.899,0.8942,0.8902
0.8739,0.8605,0.8385,0.8965,0.9011,0.898,0.8904,0.896,0.866,0.8288,0.859,0.88
0.9115,0.8896,0.9225,0.8973,0.9243,0.9353,0.9242,0.9216,0.8962,0.8864,0.9018,0.8844
0.8914,0.8969,0.8855,0.8981,0.9095,0.9192,0.9029,0.9074,0.8761,0.902,0.9102,0.9067
0.9123,0.8987,0.9156,0.9316,0.9304,0.9356,0.9335,0.9277,0.9154,0.9069,0.9059,0.8977
0.8756,0.8998,0.864,0.8666,0.9103,0.9159,0.9002,0.9052,0.8769,0.8649,0.8907,0.8738
0.8413,0.8575,0.8929,0.8655,0.901,0.9104,0.9162,0.9051,0.8458,0.8851,0.8887,0.8559
0.9412,0.9375,0.9367,0.9395,0.9592,0.9621,0.9685,0.9688,0.9164,0.9402,0.9193,0.9144
0.8736,0.8764,0.8986,0.8934,0.9135,0.9055,0.9124,0.9128,0.8598,0.8975,0.8833,0.8817
0.8396,0.8625,0.8593,0.8762,0.892,0.8981,0.8981,0.9028,0.8661,0.8919,0.8695,0.9235
0.8938,0.911,0.9122,0.8937,0.9136,0.921,0.9045,0.9169,0.8674,0.8766,0.8911,0.8681
0.9293,0.9336,0.8985,0.9321,0.9486,0.9423,0.9309,0.9377,0.959,0.9396,0.9314,0.8957
0.8624,0.8678,0.878,0.8608,0.886,0.8978,0.894,0.8838,0.8112,0.8364,0.8513,0.8411
0.8785,0.8941,0.8475,0.8794,0.9003,0.8985,0.898,0.9042,0.8715,0.8886,0.8882,0.8423
0.91,0.9138,0.9063,0.9345,0.9304,0.9375,0.9337,0.9383,0.8876,0.9267,0.8905,0.8897
0.9304,0.9263,0.9177,0.9182,0.941,0.9437,0.9264,0.9443,0.9123,0.9319,0.9282,0.9183
0.8944,0.8714,0.8939,0.8787,0.9142,0.9226,0.9156,0.9228,0.8461,0.8963,0.8728,0.8914
0.8823,0.8795,0.9011,0.8947,0.8974,0.9078,0.9111,0.909,0.8306,0.8707,0.8953,0.8524
0.8538,0.8879,0.8658,0.8296,0.8819,0.8925,0.8815,0.8805,0.7924,0.795,0.8523,0.8556
0.8734,0.9152,0.8998,0.9153,0.9268,0.9274,0.9279,0.9347,0.8793,0.8832,0.8776,0.8754
0.8651,0.8632,0.8621,0.8512,0.8905,0.8931,0.8903,0.8886,0.8815,0.8448,0.8498,0.8449
0.9098,0.8945,0.8752,0.9016,0.9355,0.9329,0.9354,0.9304,0.8581,0.8976,0.8822,0.9084
0.8726,0.898,0.8805,0.8699,0.9042,0.9148,0.9162,0.9109,0.8539,0.9016,0.8971,0.8528
0.8882,0.8995,0.8839,0.8961,0.9049,0.9197,0.8939,0.9081,0.86,0.8841,0.8742,0.8883
