Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8888,0.8888,0.9025,0.8638,0.915,0.9163,0.9263,0.9131,0.9038,0.9113,0.9237,0.8675
0.7269,0.7325,0.7544,0.7813,0.7381,0.7887,0.7562,0.7675,0.7375,0.7863,0.7506,0.7238
0.8363,0.7362,0.81,0.845,0.8037,0.7913,0.8344,0.8294,0.7937,0.8063,0.8237,0.7913
0.9047,0.872,0.9147,0.9073,0.9287,0.9313,0.9387,0.9533,0.882,0.878,0.8893,0.91
0.944,0.966,0.9513,0.944,0.9513,0.9767,0.9787,0.98,0.9327,0.9653,0.9813,0.9053
0.7978,0.7864,0.8705,0.8284,0.8571,0.8399,0.8476,0.808,0.8909,0.8144,0.838,0.8457
0.7927,0.8138,0.8686,0.7946,0.8138,0.8253,0.8348,0.8144,0.831,0.794,0.838,0.78
0.8099,0.8335,0.898,0.8291,0.9018,0.896,0.8935,0.8992,0.8673,0.8367,0.8278,0.8878
0.8227,0.868,0.8878,0.9388,0.9101,0.919,0.9305,0.9528,0.9318,0.9107,0.8846,0.9362
0.8508,0.8999,0.905,0.8897,0.9101,0.9069,0.9037,0.8922,0.8635,0.8673,0.8776,0.8967
0.925,0.8669,0.9237,0.8956,0.9231,0.9375,0.9313,0.9344,0.8931,0.8962,0.9125,0.8656
0.8856,0.8156,0.8094,0.8381,0.8638,0.8588,0.8556,0.86,0.8144,0.83,0.805,0.7963
0.8994,0.8094,0.8594,0.8912,0.8875,0.9119,0.9331,0.9031,0.8981,0.8231,0.8756,0.8694
0.8527,0.8425,0.8814,0.8425,0.8425,0.875,0.8616,0.8699,0.8795,0.8297,0.8227,0.896
0.7455,0.7679,0.7615,0.7749,0.824,0.8265,0.831,0.8112,0.7946,0.8099,0.8189,0.8744
0.8546,0.861,0.898,0.8795,0.9171,0.9152,0.9024,0.9101,0.8897,0.8884,0.868,0.8476
0.7806,0.8514,0.8648,0.8444,0.8374,0.8412,0.8584,0.8616,0.7978,0.7526,0.8807,0.8374
0.8208,0.8635,0.8463,0.8406,0.8482,0.8782,0.8648,0.8661,0.8342,0.8508,0.8846,0.8508
0.9353,0.8513,0.8647,0.93,0.914,0.9527,0.9233,0.9387,0.9187,0.8967,0.8707,0.9413
0.7547,0.8893,0.8087,0.8767,0.8247,0.8653,0.866,0.916,0.8407,0.8487,0.868,0.7647
0.8263,0.8194,0.8669,0.8775,0.8662,0.8925,0.8881,0.8619,0.8525,0.8969,0.8531,0.875
0.8225,0.8287,0.7981,0.8731,0.8163,0.8063,0.8313,0.8656,0.7819,0.7662,0.7469,0.745
0.77,0.7662,0.8137,0.8056,0.8119,0.8363,0.8125,0.8063,0.7913,0.7731,0.86,0.7019
0.954,0.972,0.9433,0.9593,0.988,0.9813,0.9753,0.992,0.9613,0.9547,0.9667,0.9607
0.862,0.8213,0.8553,0.8747,0.874,0.8813,0.864,0.8293,0.878,0.8407,0.812,0.8773
0.7647,0.7953,0.7207,0.7589,0.7972,0.7991,0.8176,0.8093,0.7717,0.7283,0.8335,0.7526
0.889,0.8712,0.8686,0.8495,0.905,0.8909,0.8948,0.9082,0.8616,0.8157,0.896,0.8559
0.8182,0.8348,0.8284,0.787,0.8565,0.8482,0.8591,0.8616,0.8393,0.7832,0.8074,0.8151
0.9381,0.8718,0.9018,0.8948,0.9401,0.9247,0.933,0.9209,0.8871,0.9011,0.9209,0.8871
0.8495,0.8763,0.8514,0.8265,0.8903,0.896,0.889,0.9267,0.898,0.8992,0.8935,0.8744
0.8869,0.8931,0.8956,0.9344,0.9081,0.9287,0.9187,0.9463,0.8962,0.8712,0.8912,0.8706
0.8712,0.9131,0.8494,0.8969,0.9012,0.9006,0.9031,0.8938,0.9169,0.7712,0.8512,0.9206
0.85,0.8175,0.8125,0.7869,0.8169,0.8169,0.8175,0.8369,0.875,0.8181,0.8456,0.8
0.696,0.8267,0.7533,0.7533,0.7693,0.804,0.7867,0.7867,0.7973,0.7507,0.7953,0.7307
0.8753,0.9727,0.9107,0.8607,0.91,0.9493,0.9333,0.952,0.9167,0.9093,0.8593,0.894
0.8087,0.8214,0.8361,0.8552,0.8546,0.8839,0.8705,0.8763,0.9031,0.8916,0.8648,0.8253
0.8629,0.8986,0.9094,0.8406,0.926,0.9011,0.8929,0.896,0.8233,0.9343,0.817,0.9031
0.9349,0.9222,0.9279,0.9362,0.9566,0.9503,0.9611,0.9407,0.9413,0.963,0.9114,0.9286
0.7302,0.8438,0.8431,0.7825,0.8291,0.8323,0.8335,0.8272,0.8023,0.7717,0.7659,0.7315
0.7239,0.8284,0.7111,0.7787,0.7659,0.7876,0.787,0.7819,0.7742,0.7959,0.7902,0.7819
0.8538,0.8644,0.8656,0.8425,0.8644,0.8475,0.8525,0.8919,0.8688,0.8656,0.8469,0.9038
0.8269,0.8594,0.7875,0.7931,0.8325,0.8356,0.835,0.8438,0.8919,0.8125,0.8006,0.8269
0.8475,0.8063,0.8569,0.8331,0.885,0.8862,0.8688,0.8756,0.8869,0.8625,0.8187,0.8263
0.8412,0.8559,0.9088,0.8476,0.9171,0.8852,0.8744,0.9094,0.8584,0.8316,0.8718,0.8603
0.7557,0.7519,0.8265,0.8508,0.8023,0.861,0.8291,0.8571,0.8559,0.8406,0.7551,0.7857
0.896,0.9177,0.9145,0.8131,0.9024,0.9305,0.9222,0.9165,0.8922,0.7895,0.896,0.8469
0.8718,0.9011,0.9203,0.8776,0.8724,0.8897,0.9018,0.9037,0.8227,0.882,0.9324,0.8878
0.852,0.926,0.8763,0.8916,0.889,0.9043,0.9139,0.9018,0.9101,0.8737,0.8157,0.9413
0.8073,0.7907,0.7173,0.798,0.776,0.8153,0.7687,0.7707,0.7833,0.7273,0.73,0.798
0.9087,0.9067,0.8607,0.932,0.9373,0.946,0.9493,0.9613,0.904,0.9093,0.9533,0.9373
0.9044,0.8681,0.8638,0.9356,0.9175,0.9056,0.9012,0.9225,0.8656,0.8881,0.8906,0.8988
0.8069,0.8375,0.8744,0.8269,0.8694,0.8519,0.865,0.8525,0.8488,0.8456,0.8275,0.8225
0.8562,0.835,0.8013,0.7644,0.8244,0.8825,0.8619,0.895,0.8562,0.8294,0.8688,0.8812
0.8756,0.7889,0.7927,0.8571,0.8527,0.8852,0.8591,0.852,0.8603,0.7844,0.8036,0.8297
0.8967,0.9031,0.898,0.8571,0.9063,0.9126,0.8903,0.8858,0.8246,0.7864,0.8099,0.8871
0.875,0.8769,0.8093,0.8571,0.8559,0.8858,0.8788,0.8807,0.8954,0.8935,0.8457,0.8476
0.905,0.8693,0.8189,0.831,0.8795,0.9031,0.8897,0.9043,0.8202,0.8603,0.8406,0.794
0.8756,0.8693,0.8214,0.838,0.8763,0.8546,0.861,0.875,0.8935,0.8119,0.8393,0.8029
0.8933,0.8887,0.8007,0.904,0.912,0.918,0.9067,0.9147,0.87,0.8547,0.9027,0.894
0.8033,0.8513,0.8413,0.8467,0.7967,0.8213,0.8413,0.83,0.754,0.8193,0.8387,0.8053
0.8137,0.8369,0.8375,0.86,0.8644,0.8581,0.8688,0.8781,0.8375,0.815,0.8762,0.8656
0.8619,0.9031,0.9069,0.9031,0.9194,0.9394,0.9169,0.9331,0.9263,0.9087,0.8681,0.8856
0.8631,0.8337,0.8688,0.8319,0.9063,0.9225,0.8888,0.9094,0.9225,0.8856,0.9206,0.8363
0.8884,0.787,0.8036,0.8036,0.8176,0.852,0.852,0.8457,0.7889,0.8131,0.8406,0.8418
0.8406,0.9094,0.8992,0.8584,0.8731,0.8807,0.8469,0.8916,0.8999,0.8393,0.8603,0.8552
0.8565,0.9005,0.9133,0.905,0.8846,0.9247,0.9311,0.9133,0.9101,0.8495,0.9043,0.8948
0.7921,0.8055,0.7436,0.7526,0.7825,0.8278,0.8138,0.8208,0.7774,0.7813,0.7634,0.808
0.7908,0.8259,0.8253,0.7864,0.7761,0.8348,0.8036,0.8195,0.8425,0.817,0.7679,0.7793
0.8933,0.8647,0.8767,0.894,0.9173,0.946,0.9187,0.926,0.94,0.9293,0.9227,0.852
0.8967,0.754,0.7833,0.8533,0.8567,0.8547,0.9013,0.8773,0.8473,0.8587,0.868,0.8807
0.8619,0.9206,0.8694,0.8619,0.9213,0.9163,0.9206,0.9213,0.8825,0.8619,0.8438,0.8706
0.8263,0.8812,0.8762,0.875,0.8906,0.8944,0.8831,0.8944,0.8712,0.9119,0.9025,0.9031
0.8219,0.7388,0.7913,0.8575,0.7944,0.775,0.7813,0.8081,0.7575,0.8056,0.785,0.7519
0.8267,0.7753,0.8793,0.7427,0.8287,0.8513,0.8347,0.8467,0.8333,0.8153,0.806,0.9173
0.7213,0.6613,0.7633,0.746,0.772,0.7647,0.7787,0.78,0.7587,0.824,0.75,0.8107
0.9037,0.8909,0.8954,0.8871,0.9311,0.9043,0.9088,0.9037,0.8916,0.8386,0.8393,0.898
0.8061,0.7545,0.8355,0.8316,0.8214,0.8469,0.8444,0.8495,0.8259,0.8514,0.854,0.7991
0.8431,0.8438,0.8297,0.8756,0.8788,0.8827,0.8903,0.8948,0.8718,0.8578,0.8246,0.8967
0.8731,0.9636,0.8973,0.8916,0.9426,0.942,0.9318,0.9318,0.905,0.9056,0.9158,0.9668
