Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9918,0.9832,0.9936,0.9936,0.9934,0.998,0.9956,0.9979,0.9947,0.9939,0.9881,0.9951
0.9768,0.9775,0.9789,0.9818,0.9806,0.983,0.985,0.9878,0.9835,0.9811,0.9832,0.9745
0.9829,0.9721,0.968,0.9797,0.9827,0.9826,0.9821,0.984,0.9872,0.9761,0.984,0.9703
0.9857,0.9614,0.9761,0.9815,0.9805,0.9838,0.9826,0.9891,0.9863,0.9754,0.9695,0.9693
0.9819,0.9798,0.9747,0.9749,0.9881,0.9857,0.9867,0.9888,0.9829,0.9901,0.9875,0.9805
0.978,0.9563,0.962,0.9778,0.978,0.9829,0.9828,0.9842,0.9799,0.9771,0.9859,0.9771
0.9757,0.9737,0.9628,0.9813,0.9762,0.9837,0.9809,0.984,0.9918,0.9903,0.9869,0.9788
0.9817,0.9729,0.9817,0.9757,0.9852,0.988,0.985,0.988,0.977,0.9911,0.9831,0.9842
0.9787,0.9766,0.9865,0.9798,0.9866,0.9856,0.9857,0.9887,0.9773,0.9905,0.9766,0.9829
0.9763,0.9692,0.9732,0.9868,0.9885,0.9877,0.9875,0.9889,0.9944,0.9837,0.9895,0.9873
0.9941,0.9788,0.9844,0.9861,0.9903,0.9906,0.9913,0.9903,0.9872,0.9879,0.9848,0.9895
0.9869,0.9772,0.9726,0.9806,0.9878,0.9904,0.9928,0.992,0.9949,0.9952,0.9916,0.99
0.9675,0.9579,0.9579,0.9695,0.9777,0.9796,0.9804,0.9763,0.9575,0.9711,0.9658,0.9752
0.9767,0.9784,0.9699,0.9817,0.9791,0.9868,0.9822,0.9833,0.978,0.9811,0.9792,0.9719
0.9709,0.9708,0.9664,0.9696,0.9738,0.9767,0.9732,0.9769,0.9737,0.9696,0.9696,0.9608
0.9835,0.9748,0.9707,0.9828,0.9787,0.9854,0.983,0.9886,0.9891,0.9809,0.9839,0.9882
0.9898,0.9828,0.9793,0.9843,0.99,0.9927,0.9922,0.994,0.9959,0.9995,0.9949,0.9925
0.9812,0.9823,0.9674,0.9881,0.9849,0.9864,0.9865,0.9842,0.9771,0.9591,0.9777,0.9852
0.9878,0.9773,0.9707,0.9842,0.9895,0.992,0.9894,0.9916,0.9847,0.9862,0.9885,0.9911
0.9703,0.9544,0.9464,0.9772,0.9706,0.9734,0.9726,0.9803,0.9625,0.978,0.9747,0.9801
0.9796,0.9755,0.9613,0.9832,0.9813,0.9793,0.9818,0.9849,0.9864,0.9811,0.9909,0.9703
0.9725,0.963,0.9654,0.9737,0.978,0.9788,0.981,0.9792,0.9888,0.976,0.9809,0.9767
0.9877,0.9854,0.9806,0.9861,0.9883,0.9898,0.9896,0.993,0.9889,0.9793,0.9842,0.987
0.9756,0.9723,0.9761,0.9779,0.9811,0.9885,0.9876,0.9896,0.9906,0.9875,0.9841,0.9816
0.9902,0.9788,0.9917,0.9928,0.992,0.9922,0.9921,0.9942,0.9956,0.9977,0.9922,0.9943
0.9844,0.9494,0.954,0.9728,0.978,0.9772,0.9837,0.9845,0.9799,0.9846,0.9836,0.9873
0.9882,0.9742,0.9856,0.9832,0.9853,0.9907,0.9893,0.9921,0.9809,0.9859,0.9885,0.9903
0.9876,0.9776,0.9744,0.9907,0.9894,0.993,0.9953,0.9943,0.9845,0.9907,0.9931,0.9863
0.9694,0.9501,0.9473,0.9729,0.977,0.976,0.9805,0.9806,0.989,0.9842,0.985,0.9692
0.9745,0.9731,0.984,0.9866,0.9901,0.9919,0.9937,0.9947,0.9836,0.9679,0.9868,0.9928
0.9624,0.9411,0.9473,0.9561,0.9724,0.9734,0.97,0.9794,0.9793,0.9635,0.9702,0.9653
0.993,0.9851,0.991,0.9898,0.9937,0.9946,0.9956,0.9937,0.9934,0.9952,0.9983,0.9897
0.9822,0.9805,0.9745,0.9723,0.9785,0.9856,0.9815,0.9846,0.972,0.9813,0.9707,0.9711
0.9915,0.9751,0.9839,0.9866,0.9912,0.993,0.9947,0.9932,0.9879,0.9969,0.996,0.9947
0.9844,0.9953,0.9867,0.9894,0.9913,0.9919,0.9925,0.9938,0.9951,0.9948,0.9901,0.988
0.9752,0.9824,0.9739,0.9694,0.9843,0.986,0.9864,0.984,0.9708,0.9727,0.9744,0.9879
0.9664,0.9698,0.9689,0.9844,0.9741,0.9811,0.98,0.9816,0.9737,0.9749,0.9664,0.9814
0.9874,0.9906,0.9826,0.9875,0.9864,0.9911,0.9923,0.9944,0.9904,0.997,0.9863,0.9974
0.9854,0.9849,0.9888,0.9942,0.9876,0.9916,0.9916,0.9935,0.9964,0.9919,0.9886,0.9944
0.9821,0.9593,0.9675,0.9796,0.9853,0.9877,0.9872,0.9894,0.9788,0.9902,0.9885,0.9909
0.9892,0.9727,0.9803,0.9875,0.9945,0.9951,0.9956,0.9943,0.9922,0.9906,0.9899,0.9964
0.9849,0.9813,0.9825,0.9879,0.9902,0.9916,0.9924,0.9939,0.9842,0.9784,0.9825,0.9859
0.9712,0.9795,0.9891,0.991,0.9885,0.9911,0.9905,0.992,0.9895,0.9829,0.9863,0.9876
0.9845,0.9882,0.9821,0.9922,0.9923,0.9918,0.9901,0.9928,0.9922,0.9935,0.984,0.9931
0.9765,0.9666,0.9716,0.9751,0.9779,0.9858,0.9834,0.9853,0.977,0.9873,0.9854,0.9867
0.9478,0.9614,0.9357,0.9473,0.9526,0.9555,0.957,0.9626,0.9515,0.9526,0.9629,0.9513
0.9823,0.9545,0.9651,0.973,0.975,0.9823,0.9795,0.9831,0.9783,0.9831,0.9767,0.9809
0.985,0.9683,0.9684,0.99,0.9842,0.9871,0.9861,0.9888,0.9758,0.9835,0.9939,0.9844
0.9799,0.9723,0.9745,0.9826,0.9838,0.9837,0.9846,0.9869,0.9884,0.9768,0.9871,0.9842
0.9798,0.9594,0.9733,0.9842,0.9795,0.9821,0.9818,0.9834,0.9762,0.9718,0.9789,0.977
0.9697,0.972,0.9745,0.9705,0.9774,0.9782,0.9766,0.9848,0.9812,0.9731,0.9752,0.9788
0.9805,0.98,0.9831,0.9856,0.9903,0.9908,0.9928,0.9923,0.9882,0.9917,0.9872,0.9847
0.9778,0.9558,0.978,0.9819,0.9923,0.9954,0.9926,0.9945,0.9989,0.9922,0.9918,0.9963
0.9709,0.9646,0.9584,0.9807,0.9711,0.9785,0.9794,0.9803,0.9818,0.9757,0.9779,0.9896
0.9752,0.9649,0.9721,0.985,0.9851,0.9867,0.9876,0.9881,0.9844,0.9817,0.9881,0.9871
0.9936,0.9738,0.971,0.9876,0.9943,0.9928,0.9936,0.9969,0.9878,0.9901,0.9927,0.9969
0.9927,0.9738,0.9801,0.9867,0.989,0.9885,0.9888,0.9893,0.996,0.9969,0.9914,0.9851
0.9779,0.9589,0.9603,0.9857,0.9815,0.9858,0.9834,0.9863,0.9692,0.9672,0.9699,0.9705
0.9906,0.9796,0.976,0.9855,0.9907,0.9899,0.9895,0.9898,0.9887,0.9829,0.984,0.9935
0.9869,0.9684,0.981,0.9808,0.9863,0.9849,0.9867,0.9915,0.9831,0.9801,0.9839,0.9801
0.978,0.9595,0.9737,0.9866,0.9844,0.9926,0.9917,0.9945,0.9903,0.9923,0.9923,0.9973
0.979,0.9662,0.9696,0.9817,0.9824,0.9915,0.9889,0.9926,0.9842,0.9944,0.9911,0.9965
0.9859,0.9743,0.9701,0.9823,0.9836,0.9921,0.9893,0.9919,0.9962,0.9872,0.9895,0.9934
0.9809,0.9616,0.983,0.9767,0.9752,0.9783,0.9772,0.9834,0.9775,0.9852,0.9816,0.9684
0.9857,0.985,0.9792,0.9878,0.9895,0.992,0.9921,0.9924,0.989,0.9894,0.9872,0.9881
0.9755,0.9755,0.9695,0.9733,0.9811,0.9793,0.9784,0.9773,0.9798,0.9669,0.9679,0.9827
0.9753,0.977,0.9695,0.9752,0.9833,0.9838,0.9813,0.983,0.9612,0.9814,0.9871,0.9838
0.9948,0.9846,0.9902,0.9911,0.9918,0.9957,0.9957,0.9948,0.9889,0.9973,0.9932,0.997
0.9842,0.9781,0.9722,0.9925,0.9871,0.9871,0.9867,0.9893,0.9909,0.9923,0.9864,0.9874
0.9806,0.9451,0.9476,0.9728,0.9725,0.9768,0.9793,0.9823,0.9775,0.9802,0.9814,0.9726
0.9831,0.9771,0.9683,0.9822,0.979,0.9868,0.9789,0.986,0.981,0.9855,0.9764,0.9808
0.988,0.9695,0.9713,0.9922,0.9902,0.9925,0.9928,0.9929,0.994,0.9897,0.9786,0.9973
0.974,0.9721,0.9746,0.9849,0.9841,0.9837,0.9833,0.9853,0.9899,0.9851,0.9801,0.9788
0.9886,0.9714,0.9777,0.9884,0.9842,0.9907,0.9898,0.9896,0.98,0.9942,0.9793,0.9883
0.9776,0.9551,0.9642,0.9712,0.978,0.9808,0.9789,0.9792,0.9716,0.9804,0.9818,0.9701
0.9934,0.9861,0.9911,0.9871,0.992,0.9932,0.9914,0.9932,0.9884,0.9931,0.9813,0.9932
0.9884,0.9733,0.9738,0.9813,0.9883,0.9902,0.9901,0.9926,0.9725,0.9898,0.9826,0.9797
0.9871,0.9689,0.9696,0.9768,0.9826,0.9863,0.9868,0.9888,0.9821,0.9905,0.9856,0.9871
0.9744,0.9776,0.983,0.9872,0.9831,0.9843,0.9883,0.9847,0.989,0.9869,0.9817,0.9814
0.978,0.968,0.9674,0.9771,0.9794,0.9806,0.9775,0.9832,0.9817,0.9786,0.9752,0.9829
0.9609,0.9667,0.9729,0.9706,0.9671,0.9755,0.9708,0.9737,0.9603,0.9621,0.975,0.967
0.9931,0.9771,0.9949,0.9923,0.9954,0.9962,0.9954,0.9969,0.9966,0.9924,0.9907,0.9934
0.9858,0.9825,0.9837,0.9813,0.9904,0.9899,0.9917,0.9929,0.9874,0.9879,0.9915,0.9941
0.9876,0.9773,0.9876,0.9862,0.9875,0.9897,0.9909,0.9931,0.9938,0.989,0.9886,0.9846
0.9835,0.9508,0.9585,0.9759,0.9747,0.9771,0.9747,0.9792,0.9757,0.9696,0.9741,0.9717
0.9699,0.9666,0.9774,0.9797,0.9844,0.9857,0.9835,0.9858,0.9797,0.9811,0.9762,0.9744
0.9625,0.9752,0.9782,0.9843,0.98,0.9857,0.9838,0.9866,0.9858,0.9763,0.9773,0.9791
0.9896,0.9903,0.9824,0.9951,0.9925,0.9943,0.9951,0.9957,0.9916,0.9926,0.9901,0.9949
0.9866,0.9759,0.9747,0.976,0.9827,0.9887,0.9862,0.9909,0.996,0.9896,0.9967,0.9894
0.9822,0.9609,0.978,0.9714,0.9868,0.987,0.9831,0.9903,0.9882,0.9799,0.9826,0.9844
0.9817,0.964,0.9549,0.9698,0.9837,0.9827,0.9818,0.9862,0.9578,0.9748,0.9813,0.9771
0.989,0.9763,0.9844,0.9811,0.9885,0.9853,0.9862,0.9902,0.9838,0.9603,0.9777,0.9663
0.9877,0.9873,0.9779,0.9905,0.9901,0.9901,0.991,0.994,0.9839,0.9931,0.9812,0.9828
0.9918,0.9834,0.9839,0.9915,0.9878,0.9936,0.9906,0.9925,0.9835,0.9879,0.9844,0.9934
0.9762,0.9642,0.9629,0.9802,0.9847,0.9822,0.9809,0.99,0.9691,0.9818,0.9781,0.9666
0.9915,0.9727,0.9674,0.9775,0.9865,0.9878,0.9934,0.9953,0.9915,0.9932,0.9901,0.9938
0.9673,0.9563,0.9603,0.9786,0.9778,0.9778,0.9804,0.9795,0.9787,0.9777,0.9834,0.9712
0.9773,0.9662,0.9595,0.9718,0.9782,0.9818,0.9805,0.9852,0.9787,0.9829,0.985,0.989
0.9594,0.9354,0.9521,0.9698,0.9684,0.9763,0.9729,0.9734,0.9668,0.9768,0.9589,0.9496
0.9834,0.9679,0.97,0.9833,0.9833,0.9869,0.9855,0.9897,0.976,0.9729,0.9798,0.9827
0.9781,0.9673,0.9492,0.9721,0.9769,0.9811,0.9716,0.984,0.9879,0.989,0.9854,0.9797
0.9808,0.9817,0.9756,0.9885,0.9897,0.9923,0.9915,0.9924,0.9928,0.9923,0.9958,0.9931
0.9506,0.9469,0.9597,0.963,0.9685,0.9686,0.9735,0.9751,0.9553,0.9441,0.9466,0.9653
0.9792,0.9736,0.9712,0.9884,0.9877,0.9882,0.988,0.9908,0.9798,0.978,0.9747,0.9726
0.9701,0.9659,0.9663,0.9747,0.9783,0.9767,0.9835,0.978,0.9622,0.9754,0.9779,0.979
0.9803,0.9711,0.9782,0.9849,0.9855,0.9901,0.9859,0.988,0.9808,0.9889,0.985,0.9872
0.9905,0.9775,0.9838,0.98,0.9912,0.9933,0.9907,0.9945,0.9831,0.9908,0.9931,0.9867
0.9854,0.9768,0.9826,0.9772,0.9873,0.9873,0.9859,0.9896,0.9867,0.9857,0.979,0.9823
