Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8217,0.7881,0.8013,0.8814,0.8868,0.8839,0.8858,0.9033,0.8936,0.8756,0.8406,0.8936
0.6992,0.6545,0.6701,0.6448,0.6769,0.6846,0.656,0.6696,0.639,0.6827,0.6842,0.6443
0.887,0.8765,0.891,0.8405,0.8775,0.901,0.9,0.9155,0.871,0.809,0.841,0.82
0.8755,0.899,0.889,0.873,0.94,0.939,0.9225,0.94,0.855,0.8445,0.9205,0.8315
0.8025,0.814,0.7755,0.833,0.848,0.8255,0.824,0.8545,0.789,0.845,0.748,0.7455
0.844,0.823,0.7765,0.8465,0.8255,0.8505,0.837,0.828,0.7905,0.734,0.8525,0.802
0.798,0.8475,0.7675,0.7715,0.8265,0.841,0.8355,0.857,0.825,0.704,0.7705,0.7955
0.763,0.668,0.6805,0.7145,0.7725,0.766,0.801,0.7735,0.715,0.7325,0.767,0.7605
0.7898,0.7867,0.7505,0.7444,0.7898,0.8148,0.8087,0.7944,0.7117,0.7638,0.7505,0.7327
0.8745,0.9015,0.8102,0.9235,0.9082,0.9332,0.9153,0.9245,0.8959,0.8316,0.9306,0.926
0.7805,0.7885,0.803,0.8405,0.8265,0.806,0.832,0.832,0.7735,0.776,0.7945,0.8355
0.7635,0.7745,0.831,0.7965,0.8515,0.8065,0.831,0.829,0.8375,0.83,0.834,0.805
0.8125,0.823,0.7855,0.854,0.8475,0.8595,0.857,0.8825,0.74,0.802,0.762,0.842
0.8585,0.88,0.9015,0.8555,0.884,0.8935,0.9035,0.8885,0.857,0.84,0.7515,0.8405
0.6705,0.652,0.591,0.655,0.704,0.6945,0.721,0.7425,0.7445,0.768,0.7445,0.713
0.8185,0.8305,0.822,0.8635,0.8855,0.8745,0.8585,0.885,0.813,0.85,0.8125,0.8465
0.7551,0.7566,0.689,0.7085,0.6837,0.7551,0.7332,0.7099,0.7012,0.6516,0.6968,0.6885
0.9014,0.862,0.8324,0.8955,0.9519,0.9295,0.9577,0.9276,0.8722,0.8965,0.9116,0.9155
0.8867,0.9092,0.874,0.8469,0.8949,0.9153,0.8974,0.9153,0.8765,0.8526,0.876,0.8673
0.7745,0.7148,0.7699,0.823,0.7985,0.8031,0.774,0.8148,0.7281,0.7668,0.7536,0.7005
0.8765,0.8445,0.806,0.8885,0.9065,0.879,0.9005,0.895,0.8655,0.8635,0.8555,0.8935
0.833,0.8305,0.724,0.886,0.862,0.858,0.838,0.8545,0.7705,0.8455,0.8475,0.802
0.782,0.735,0.7665,0.7595,0.805,0.799,0.8115,0.817,0.7285,0.758,0.7245,0.7795
0.8635,0.8265,0.813,0.8375,0.884,0.892,0.8605,0.896,0.8975,0.848,0.884,0.9
0.804,0.785,0.898,0.782,0.8565,0.861,0.863,0.8715,0.8005,0.8,0.857,0.803
0.8575,0.8155,0.8685,0.836,0.8655,0.882,0.88,0.8855,0.799,0.8375,0.8705,0.8455
0.8003,0.8013,0.7979,0.8061,0.7935,0.7964,0.846,0.811,0.7167,0.7157,0.8299,0.7464
0.7609,0.741,0.7736,0.7959,0.8042,0.8095,0.7862,0.7915,0.8017,0.81,0.7716,0.7959
0.8673,0.848,0.8872,0.8587,0.8709,0.8673,0.8781,0.8597,0.8469,0.8031,0.7923,0.8566
0.8209,0.7944,0.8296,0.876,0.875,0.8658,0.8556,0.8827,0.8321,0.8495,0.8658,0.7867
0.879,0.8455,0.7877,0.8581,0.8965,0.8688,0.8848,0.8557,0.8552,0.8372,0.8688,0.8649
0.8965,0.8591,0.9208,0.8907,0.9057,0.9184,0.9213,0.931,0.9329,0.9072,0.8503,0.8878
0.86,0.891,0.8715,0.8485,0.904,0.876,0.8845,0.883,0.857,0.88,0.8655,0.7875
0.756,0.788,0.766,0.839,0.813,0.842,0.845,0.8455,0.7965,0.848,0.7865,0.7705
0.7045,0.7835,0.763,0.7625,0.7375,0.731,0.7375,0.795,0.748,0.731,0.763,0.672
0.7495,0.8195,0.7415,0.783,0.8045,0.804,0.7965,0.8025,0.7645,0.77,0.769,0.7855
0.841,0.8075,0.845,0.8465,0.8605,0.872,0.8555,0.899,0.813,0.838,0.756,0.83
0.8235,0.832,0.813,0.845,0.8645,0.8645,0.8835,0.8715,0.8065,0.7935,0.8165,0.8205
0.6755,0.7597,0.677,0.6179,0.7148,0.7117,0.7449,0.7235,0.8179,0.6724,0.7056,0.6423
0.7786,0.8765,0.7995,0.8194,0.8163,0.8071,0.8209,0.8143,0.7648,0.7321,0.7867,0.8454
0.8015,0.781,0.8345,0.765,0.815,0.793,0.8165,0.8275,0.7855,0.8475,0.787,0.7535
0.718,0.741,0.695,0.778,0.814,0.7795,0.77,0.785,0.722,0.767,0.7665,0.711
0.781,0.8405,0.773,0.7585,0.7855,0.822,0.833,0.8305,0.7915,0.7515,0.8165,0.8045
0.888,0.831,0.8895,0.8885,0.8585,0.908,0.912,0.9195,0.807,0.8595,0.8215,0.8465
0.78,0.68,0.818,0.7375,0.7595,0.794,0.795,0.8035,0.7675,0.774,0.6815,0.7615
0.8135,0.778,0.794,0.7215,0.789,0.818,0.833,0.808,0.73,0.81,0.8035,0.832
0.8095,0.8071,0.7789,0.792,0.8503,0.8465,0.8503,0.8805,0.8022,0.8265,0.8688,0.8105
0.7323,0.7935,0.8421,0.8275,0.7716,0.8076,0.8124,0.8042,0.775,0.8319,0.7109,0.8421
0.902,0.851,0.9036,0.8607,0.9026,0.9276,0.899,0.9046,0.8474,0.8403,0.8781,0.8612
0.8663,0.8245,0.7755,0.8515,0.8816,0.8704,0.8745,0.8908,0.8245,0.8449,0.8663,0.8107
