Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6067,0.6408,0.6,0.6383,0.6341,0.7222,0.6714,0.6408,0.6279,0.6739,0.6316,0.6813
0.6818,0.64,0.629,0.6863,0.6818,0.717,0.6715,0.7255,0.6966,0.7292,0.7174,0.6809
0.6024,0.6275,0.713,0.6122,0.6118,0.7091,0.6667,0.6947,0.6593,0.6737,0.6316,0.6316
0.5977,0.5607,0.5106,0.5143,0.5647,0.6316,0.5793,0.6111,0.5556,0.5773,0.5,0.5859
0.7333,0.7184,0.6475,0.7723,0.7692,0.7593,0.6767,0.76,0.7292,0.7097,0.7216,0.7579
0.5882,0.7255,0.6772,0.5957,0.6506,0.6796,0.6716,0.6875,0.7174,0.6136,0.6222,0.6047
0.6207,0.6275,0.5846,0.7083,0.6437,0.7115,0.6667,0.625,0.6374,0.6593,0.6383,0.6739
0.6882,0.708,0.6197,0.5962,0.6882,0.7143,0.6069,0.6726,0.6737,0.7059,0.6465,0.7083
0.6279,0.6,0.5693,0.6465,0.6588,0.6869,0.6667,0.6526,0.7174,0.6136,0.6522,0.617
0.6744,0.7308,0.6515,0.6316,0.6897,0.66,0.6923,0.7083,0.7033,0.6966,0.6667,0.6374
0.6136,0.6263,0.626,0.6214,0.6265,0.6481,0.5816,0.6667,0.6742,0.6304,0.6374,0.6596
0.7191,0.6804,0.6721,0.6804,0.7033,0.6792,0.6667,0.6939,0.6596,0.6374,0.625,0.6667
0.7416,0.7257,0.704,0.6981,0.7045,0.7358,0.6716,0.7184,0.7333,0.7551,0.7333,0.6947
0.5843,0.6195,0.6111,0.6392,0.6517,0.6486,0.6143,0.6337,0.625,0.6237,0.6596,0.64
0.6279,0.6226,0.5775,0.5833,0.5366,0.6667,0.6324,0.6327,0.6118,0.5909,0.6136,0.5618
0.6517,0.7379,0.7213,0.7573,0.6966,0.7664,0.7368,0.7767,0.7551,0.7347,0.7723,0.7551
0.6437,0.6019,0.6364,0.6237,0.6667,0.6607,0.6714,0.6916,0.6522,0.6531,0.5843,0.6667
