Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7143,0.7857,0.6377,0.7843,0.7111,0.7857,0.6575,0.6792,0.7347,0.6957,0.6809,0.7111
0.6667,0.8214,0.6957,0.8,0.6531,0.7667,0.6579,0.7636,0.6667,0.7692,0.7719,0.7308
0.7347,0.7308,0.6176,0.7083,0.75,0.7692,0.6957,0.72,0.6809,0.7347,0.7917,0.7347
0.7347,0.7636,0.6667,0.7407,0.76,0.8364,0.6486,0.7636,0.7234,0.7755,0.7347,0.7451
0.6522,0.7547,0.6111,0.7234,0.7391,0.7407,0.64,0.7547,0.7111,0.766,0.72,0.7826
0.8,0.8235,0.697,0.8163,0.8444,0.8302,0.6957,0.875,0.7917,0.7755,0.7917,0.8261
0.7556,0.75,0.6761,0.72,0.7843,0.7778,0.6486,0.7308,0.7843,0.7843,0.72,0.6957
0.7143,0.75,0.6897,0.6364,0.7907,0.7755,0.7541,0.6957,0.6829,0.7143,0.6667,0.6667
0.7179,0.72,0.5882,0.7826,0.6829,0.7234,0.6667,0.7273,0.65,0.6818,0.7273,0.7442
0.6957,0.6786,0.597,0.6275,0.75,0.678,0.6301,0.6792,0.6957,0.6531,0.6667,0.6087
0.6512,0.6786,0.6061,0.6383,0.6667,0.7143,0.6197,0.72,0.5854,0.6364,0.6939,0.6667
0.6667,0.766,0.6984,0.7273,0.7273,0.75,0.7188,0.7391,0.6977,0.7111,0.7556,0.7273
0.5778,0.6154,0.6667,0.625,0.6222,0.6667,0.6486,0.6538,0.6667,0.6122,0.6667,0.6531
0.7143,0.7755,0.6875,0.76,0.7442,0.8302,0.6849,0.84,0.8163,0.7556,0.8085,0.766
0.7727,0.8077,0.7273,0.8163,0.8333,0.8627,0.6486,0.7917,0.8261,0.7556,0.8,0.7556
0.8,0.8077,0.8214,0.7843,0.8261,0.8462,0.7059,0.8333,0.7917,0.8,0.8085,0.8
0.5455,0.5882,0.6567,0.5532,0.5714,0.6,0.6857,0.5778,0.5854,0.5714,0.5581,0.5
0.6512,0.7037,0.6364,0.6957,0.6,0.7636,0.6316,0.6667,0.5854,0.6667,0.6667,0.6957
0.6977,0.7308,0.7419,0.7826,0.7826,0.8077,0.6957,0.8,0.8163,0.8163,0.8511,0.8
0.7083,0.6897,0.5789,0.7308,0.7347,0.8136,0.6234,0.7692,0.76,0.68,0.76,0.8163
0.7442,0.7692,0.6301,0.76,0.7442,0.7143,0.6486,0.7059,0.6667,0.6818,0.72,0.6957
0.6667,0.6667,0.6301,0.7857,0.64,0.7213,0.6173,0.6545,0.7273,0.7407,0.6909,0.7241
0.6939,0.8302,0.6857,0.8148,0.7755,0.8276,0.6957,0.7755,0.7755,0.8085,0.8163,0.766
0.6957,0.6909,0.6389,0.7059,0.7083,0.7458,0.6957,0.6792,0.6939,0.6667,0.72,0.72
0.4865,0.7083,0.6,0.5909,0.55,0.68,0.5833,0.6364,0.5366,0.6047,0.6087,0.5854
0.8261,0.8235,0.7188,0.84,0.8333,0.8077,0.7273,0.8235,0.7826,0.8333,0.8261,0.8163
0.7442,0.7917,0.7164,0.766,0.7143,0.7755,0.7077,0.766,0.6977,0.8,0.8163,0.8
0.65,0.7083,0.697,0.6957,0.6667,0.7347,0.6866,0.6667,0.6667,0.619,0.6829,0.7273
0.766,0.7119,0.5789,0.7407,0.6939,0.7636,0.6076,0.6792,0.7451,0.72,0.7308,0.7308
0.8444,0.84,0.7302,0.8444,0.8444,0.8462,0.7419,0.7917,0.8182,0.8511,0.8085,0.7727
0.5854,0.7083,0.6857,0.6383,0.6977,0.68,0.6389,0.6818,0.65,0.6341,0.6522,0.6
0.84,0.8148,0.7692,0.7719,0.8302,0.8421,0.7042,0.8214,0.7917,0.7843,0.8679,0.7843
0.6667,0.75,0.6957,0.7451,0.8,0.75,0.6761,0.7547,0.6939,0.7234,0.68,0.7347
0.72,0.7869,0.7246,0.7586,0.7925,0.8,0.6579,0.7931,0.7308,0.7778,0.7857,0.7692
0.7273,0.76,0.6667,0.7234,0.7143,0.84,0.6765,0.7755,0.5854,0.7111,0.7273,0.7826
