Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8333,0.6875,0.4889,0.7407,0.7619,0.6875,0.4898,0.6207,0.72,0.7273,0.6957,0.7619
0.6957,0.7419,0.5455,0.7333,0.6667,0.6571,0.4902,0.7,0.6957,0.7407,0.6875,0.7037
0.75,0.7037,0.4884,0.7391,0.7826,0.7407,0.5455,0.72,0.7273,0.75,0.8261,0.75
0.75,0.7,0.5366,0.6897,0.76,0.7667,0.4898,0.7,0.7727,0.7917,0.75,0.7308
0.6818,0.6897,0.4583,0.7391,0.7727,0.6667,0.4706,0.6897,0.7619,0.7826,0.6923,0.8182
0.8571,0.7778,0.5476,0.8,0.9048,0.7586,0.5333,0.875,0.7917,0.76,0.7917,0.8636
0.8095,0.6563,0.5106,0.6923,0.7407,0.7,0.48,0.6786,0.7407,0.7407,0.6923,0.7273
0.8333,0.75,0.5882,0.7,0.8947,0.76,0.6216,0.7273,0.8235,0.8333,0.7778,0.7778
0.9333,0.6923,0.4545,0.8182,0.8235,0.7391,0.5238,0.8,0.8125,0.75,0.8,0.8421
0.7273,0.5938,0.4651,0.5926,0.75,0.5714,0.4694,0.6207,0.7273,0.64,0.6296,0.6364
0.7368,0.5938,0.4762,0.6522,0.7778,0.625,0.4681,0.6923,0.7059,0.7,0.68,0.6667
0.8235,0.8182,0.5789,0.8421,0.8421,0.7826,0.5897,0.8095,0.8333,0.8,0.85,0.8421
0.65,0.5926,0.5227,0.6522,0.7,0.6207,0.4898,0.6296,0.6957,0.625,0.6538,0.6667
0.8824,0.7917,0.5641,0.76,0.8889,0.7857,0.5208,0.84,0.8333,0.85,0.8636,0.8182
0.85,0.75,0.5714,0.8,0.8333,0.8148,0.48,0.7917,0.8636,0.8095,0.7692,0.8095
0.8571,0.75,0.7188,0.7407,0.8636,0.7857,0.5455,0.8333,0.7917,0.8571,0.8261,0.8571
0.6,0.5556,0.5116,0.5652,0.6667,0.5769,0.5217,0.619,0.7059,0.6667,0.6316,0.625
0.7368,0.6333,0.5,0.7273,0.75,0.6774,0.4615,0.6296,0.7059,0.7143,0.6296,0.7273
0.7895,0.6786,0.6053,0.8182,0.8182,0.75,0.5333,0.7692,0.8,0.8,0.8696,0.7692
0.7083,0.5882,0.4231,0.6786,0.72,0.6857,0.4528,0.7143,0.7308,0.6538,0.7308,0.8
0.8421,0.7143,0.4694,0.7308,0.8421,0.625,0.48,0.6667,0.7143,0.75,0.6923,0.7273
0.6207,0.5714,0.4792,0.7097,0.64,0.6111,0.4464,0.6,0.6667,0.6897,0.6333,0.6364
0.7083,0.7857,0.5333,0.7586,0.7917,0.7273,0.5455,0.7917,0.7917,0.8636,0.8333,0.8182
0.7619,0.6333,0.4894,0.6923,0.7391,0.6471,0.5455,0.6429,0.7083,0.6957,0.72,0.72
0.6923,0.7083,0.5,0.65,0.6875,0.6538,0.4375,0.7,0.6471,0.6842,0.6364,0.7059
0.8636,0.7778,0.575,0.8077,0.8333,0.75,0.5714,0.7778,0.8182,0.8333,0.8636,0.8
0.8421,0.7917,0.5581,0.7826,0.8333,0.76,0.561,0.7826,0.7895,0.8571,0.8,0.8571
0.8125,0.7083,0.5476,0.7273,0.7778,0.72,0.5349,0.7143,0.8667,0.7222,0.8235,0.8
0.7826,0.6,0.4231,0.6667,0.68,0.6774,0.4364,0.6207,0.7037,0.6923,0.6786,0.6786
0.9048,0.8077,0.5897,0.9048,0.9048,0.7857,0.6053,0.7917,0.9,0.8696,0.8261,0.85
0.7059,0.7083,0.5217,0.6522,0.7895,0.6538,0.4792,0.75,0.8125,0.7647,0.6818,0.75
0.84,0.7586,0.625,0.6875,0.7857,0.75,0.5435,0.7419,0.8261,0.7692,0.8214,0.7692
0.75,0.6774,0.5455,0.7308,0.9,0.6774,0.5217,0.7143,0.7083,0.7727,0.68,0.75
