Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8769,0.806,0.6705,0.8615,0.8923,0.8824,0.75,0.8939,0.8923,0.8906,0.8923,0.9219
0.8983,0.7778,0.7073,0.8485,0.8548,0.8485,0.6988,0.8615,0.8615,0.8615,0.8906,0.8923
0.9107,0.7536,0.6506,0.8689,0.9123,0.9016,0.8028,0.9153,0.9153,0.9138,0.9107,0.9153
0.8727,0.8519,0.7612,0.8814,0.8621,0.8667,0.7639,0.8814,0.8772,0.875,0.8793,0.8571
0.8333,0.8182,0.7183,0.8364,0.8519,0.8167,0.7397,0.8596,0.8727,0.875,0.8596,0.9057
0.8545,0.7833,0.7,0.85,0.8909,0.803,0.726,0.8125,0.9091,0.8929,0.8667,0.85
0.8909,0.7465,0.6512,0.8983,0.8846,0.871,0.7051,0.8983,0.9153,0.9016,0.8438,0.9153
0.9074,0.7969,0.7215,0.931,0.94,0.918,0.76,0.9483,0.8947,0.9138,0.9273,0.9464
0.9167,0.7222,0.7179,0.9032,0.9016,0.8529,0.7763,0.9063,0.9194,0.9194,0.9167,0.8923
0.9219,0.8333,0.7215,0.9672,0.9667,0.9219,0.831,0.9365,0.9508,0.9667,0.9516,0.9516
0.9608,0.8103,0.7571,0.9615,0.9216,0.9107,0.7778,0.9615,0.9412,0.9231,0.9434,0.9434
0.8448,0.7581,0.75,0.8305,0.8491,0.8475,0.7391,0.8333,0.9091,0.9074,0.9074,0.8929
0.9057,0.8154,0.7746,0.9286,0.9091,0.8571,0.8209,0.9138,0.9138,0.9138,0.9107,0.9138
0.9167,0.7639,0.6897,0.9048,0.9322,0.9063,0.7632,0.8788,0.9333,0.9016,0.9333,0.9032
0.9057,0.8182,0.6835,0.9016,0.9038,0.9048,0.7792,0.9153,0.9153,0.9032,0.9167,0.9153
0.8776,0.7727,0.6849,0.8889,0.8846,0.8947,0.7746,0.8947,0.8947,0.8909,0.8909,0.8983
0.9434,0.8246,0.7606,0.9273,0.9492,0.9322,0.7403,0.9483,0.9649,0.9464,0.9273,0.9636
0.9259,0.8197,0.7123,0.8889,0.9184,0.9298,0.8182,0.9273,0.9286,0.9286,0.963,0.9298
