Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9172,0.862,0.7808,0.8506,0.918,0.9286,0.8709,0.9075,0.9667,0.9269,0.961,0.9594
0.6967,0.6914,0.8024,0.7142,0.7832,0.8051,0.7998,0.7325,0.7194,0.7247,0.7745,0.7168
0.7194,0.8322,0.8365,0.8549,0.8531,0.8977,0.8942,0.8951,0.9257,0.8479,0.917,0.9091
0.8077,0.8121,0.8007,0.8505,0.7946,0.8837,0.9178,0.8531,0.9624,0.9545,0.9423,0.9397
0.8812,0.9178,0.848,0.8945,0.9419,0.9493,0.9078,0.9028,0.9934,0.8987,0.9452,0.9319
0.7741,0.8106,0.7874,0.8463,0.8605,0.9003,0.9145,0.9003,0.8837,0.9352,0.9419,0.9078
0.8339,0.8596,0.8239,0.8239,0.8023,0.8929,0.9128,0.848,0.9269,0.8937,0.9161,0.8571
0.7741,0.7051,0.7882,0.7998,0.8214,0.843,0.9128,0.7857,0.9186,0.8771,0.8738,0.9003
0.7267,0.8588,0.74,0.8355,0.8164,0.941,0.912,0.8679,0.8846,0.9635,0.9311,0.9194
0.9294,0.8945,0.8596,0.8713,0.961,0.9178,0.9203,0.9219,0.9718,0.9493,0.9518,0.9493
0.7029,0.7208,0.6981,0.8036,0.8174,0.7646,0.8539,0.7597,0.8174,0.7914,0.7606,0.7622
0.7865,0.7525,0.7409,0.7757,0.8596,0.8289,0.8115,0.7658,0.8389,0.8879,0.8688,0.8588
0.8455,0.8115,0.8364,0.848,0.8821,0.9128,0.8945,0.8646,0.9435,0.8787,0.9078,0.9153
0.7857,0.8231,0.8115,0.9169,0.8812,0.9394,0.9078,0.9111,0.9394,0.9535,0.9261,0.946
0.75,0.7633,0.8115,0.799,0.7824,0.8596,0.8704,0.7957,0.8821,0.8663,0.8887,0.8846
0.7151,0.8115,0.7417,0.765,0.8106,0.8189,0.8098,0.8339,0.858,0.9136,0.8879,0.8779
0.8455,0.9061,0.8945,0.9535,0.9427,0.9593,0.9767,0.9767,0.9751,0.9385,0.9668,0.9585
0.8234,0.8208,0.8479,0.8706,0.8977,0.9493,0.917,0.8916,0.9266,0.9257,0.9642,0.9222
0.8077,0.9091,0.8977,0.882,0.9432,0.9449,0.9178,0.9318,0.9642,0.9423,0.9449,0.9423
0.7351,0.8208,0.7054,0.8208,0.7692,0.8575,0.8829,0.8217,0.9021,0.861,0.9231,0.882
0.7386,0.8133,0.8506,0.8247,0.8596,0.8985,0.8709,0.8141,0.9196,0.9529,0.9334,0.9464
0.7579,0.7893,0.7483,0.778,0.8129,0.8645,0.8497,0.7937,0.896,0.9135,0.8733,0.875
0.8234,0.8024,0.757,0.8365,0.9248,0.9196,0.9091,0.8531,0.8829,0.854,0.8549,0.8986
0.7963,0.8278,0.7981,0.8663,0.8462,0.8759,0.896,0.8628,0.9362,0.8776,0.9371,0.9038
0.7982,0.8231,0.8123,0.7998,0.8522,0.863,0.8588,0.8248,0.8837,0.9352,0.8679,0.9028
0.8571,0.8821,0.8472,0.9294,0.9178,0.9294,0.8978,0.9352,0.8937,0.9377,0.9402,0.9618
0.6553,0.7525,0.8115,0.8115,0.8023,0.8621,0.9153,0.8123,0.8945,0.9003,0.9003,0.8904
0.7982,0.8239,0.8472,0.8123,0.9244,0.9203,0.9336,0.9136,0.9078,0.9336,0.9252,0.9385
0.7625,0.8347,0.8713,0.8223,0.8472,0.8829,0.9394,0.8397,0.9161,0.8771,0.8904,0.8621
0.8812,0.8821,0.8713,0.8945,0.9145,0.9086,0.9128,0.9028,0.9875,0.9419,0.9452,0.9369
0.8458,0.8718,0.8864,0.862,0.8685,0.9261,0.9318,0.9464,0.9619,0.9107,0.9659,0.9432
0.785,0.6486,0.7142,0.6871,0.8514,0.7587,0.8059,0.7299,0.8357,0.7815,0.84,0.7806
0.8505,0.8479,0.764,0.8706,0.9353,0.8741,0.8916,0.868,0.9432,0.9371,0.9056,0.8829
0.9117,0.882,0.875,0.9205,0.9432,0.9607,0.9143,0.9353,0.9563,0.9493,0.9755,0.9493
0.7267,0.7874,0.8231,0.799,0.8513,0.8571,0.8854,0.8547,0.902,0.8854,0.902,0.8688
0.7151,0.74,0.7641,0.6927,0.7633,0.8173,0.8405,0.7276,0.9045,0.8771,0.9336,0.9186
0.8214,0.9061,0.8372,0.8347,0.9776,0.9319,0.9394,0.8754,0.9319,0.8953,0.9003,0.8721
0.7741,0.7998,0.8355,0.8355,0.8297,0.8563,0.8821,0.8472,0.8513,0.8937,0.8372,0.8555
0.8339,0.9186,0.907,0.9302,0.9286,0.9618,0.9585,0.9535,0.9178,0.9302,0.902,0.9194
0.691,0.8596,0.8248,0.8472,0.7907,0.9145,0.9003,0.8779,0.8696,0.8904,0.8364,0.9161
0.8101,0.7321,0.7808,0.7549,0.8157,0.7776,0.8555,0.78,0.8856,0.858,0.8174,0.8515
0.8733,0.882,0.8322,0.8435,0.8706,0.8724,0.8942,0.8811,0.965,0.9336,0.9423,0.9755
0.8462,0.7666,0.8479,0.9161,0.8741,0.9397,0.8837,0.9135,0.9143,0.9458,0.9003,0.9196
0.8462,0.8619,0.8706,0.9274,0.9082,0.9764,0.9572,0.9703,0.9747,0.9624,0.979,0.9659
0.7384,0.7633,0.7774,0.74,0.7816,0.8281,0.8688,0.7807,0.9194,0.8978,0.9028,0.8995
0.7741,0.8123,0.8488,0.8248,0.9551,0.9003,0.8846,0.8812,0.9219,0.9302,0.9028,0.9568
0.6794,0.7998,0.8488,0.8472,0.9078,0.887,0.9186,0.8538,0.887,0.9551,0.9028,0.9186
0.7625,0.7998,0.6819,0.7641,0.8164,0.814,0.8189,0.7757,0.8837,0.8837,0.8895,0.8472
0.8696,0.8347,0.8256,0.8945,0.907,0.9178,0.907,0.9012,0.9493,0.9468,0.9468,0.9352
0.7267,0.7998,0.8364,0.7998,0.8264,0.8621,0.8738,0.8671,0.9128,0.9095,0.8829,0.9668
0.8214,0.8945,0.9318,0.8831,0.9188,0.9692,0.974,0.9302,0.9692,0.9407,0.9659,0.961
0.8223,0.8123,0.7774,0.8007,0.8829,0.8945,0.8738,0.8713,0.9277,0.9502,0.9535,0.9244
0.7384,0.9178,0.8472,0.9294,0.838,0.9618,0.956,0.9668,0.9701,0.858,0.8746,0.9302
0.7749,0.8945,0.8721,0.8355,0.8613,0.9352,0.9061,0.9128,0.9161,0.902,0.8953,0.8804
0.7982,0.8115,0.7641,0.8231,0.8555,0.8663,0.8771,0.8206,0.8787,0.9037,0.8804,0.8929
0.7035,0.7766,0.7533,0.7525,0.838,0.8073,0.8115,0.7508,0.8272,0.8754,0.9111,0.892
0.8696,0.8704,0.8829,0.9535,0.9169,0.9468,0.9651,0.9493,0.9269,0.9385,0.9676,0.9435
0.8348,0.8593,0.8138,0.882,0.9196,0.9248,0.8846,0.8575,0.9353,0.8759,0.8724,0.8759
0.7465,0.7666,0.778,0.778,0.8295,0.84,0.8278,0.771,0.8453,0.8593,0.8112,0.8479
0.7465,0.7596,0.7098,0.7168,0.7902,0.7867,0.8051,0.792,0.8462,0.8715,0.9108,0.889
0.7873,0.8961,0.849,0.9075,0.8506,0.9196,0.9221,0.8929,0.9261,0.8726,0.875,0.9034
0.8462,0.8392,0.8593,0.7937,0.8514,0.9397,0.9161,0.8549,0.9362,0.8785,0.8864,0.8759
0.8234,0.882,0.8706,0.8164,0.9038,0.9484,0.9388,0.9108,0.9598,0.9388,0.9598,0.9659
0.7963,0.8435,0.8094,0.7937,0.8374,0.8942,0.8505,0.8435,0.9467,0.9283,0.9222,0.91
0.7267,0.8588,0.6927,0.799,0.7558,0.8696,0.8854,0.8355,0.9003,0.8929,0.9003,0.8771
0.8214,0.7633,0.8829,0.8829,0.8854,0.902,0.9294,0.9078,0.907,0.9061,0.9543,0.9468
0.8696,0.8829,0.8713,0.8829,0.912,0.9037,0.9103,0.892,0.9468,0.9128,0.9194,0.9493
0.7384,0.8837,0.8256,0.907,0.9543,0.9676,0.9676,0.9535,0.9319,0.8771,0.8829,0.9535
0.7865,0.7641,0.7658,0.7882,0.8422,0.8571,0.8721,0.8206,0.8522,0.858,0.863,0.853
0.7857,0.7882,0.7425,0.7757,0.8621,0.8214,0.804,0.8164,0.8331,0.8256,0.8771,0.809
0.7516,0.7906,0.9091,0.7679,0.8157,0.8685,0.9261,0.8677,0.8742,0.8969,0.8864,0.9164
0.799,0.7176,0.7774,0.8239,0.8297,0.8904,0.8638,0.8372,0.8929,0.8804,0.9186,0.9228
0.8571,0.8355,0.7882,0.8355,0.8846,0.8787,0.8895,0.8821,0.9344,0.9045,0.8821,0.9419
0.8339,0.9294,0.8588,0.8821,0.8837,0.9502,0.9352,0.9435,0.9535,0.9751,0.9269,0.9601
0.7625,0.8115,0.7998,0.8115,0.8206,0.858,0.9103,0.838,0.9103,0.8704,0.8679,0.8937
0.7267,0.7276,0.7882,0.8106,0.8148,0.8488,0.8688,0.7965,0.8322,0.848,0.9086,0.8771
0.8571,0.765,0.7658,0.8588,0.8638,0.8953,0.8538,0.8347,0.9194,0.8372,0.8929,0.8654
0.8462,0.9432,0.9432,0.8934,0.9965,0.9851,0.9851,0.924,0.9677,0.965,0.9607,0.9878
