Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.591,0.7085,0.7707,0.7206,0.7411,0.7902,0.8306,0.817,0.8158,0.8366,0.8093,0.7659
0.6579,0.7253,0.7586,0.7323,0.7461,0.8293,0.7772,0.7536,0.8649,0.796,0.8511,0.7952
0.7222,0.7992,0.8127,0.8365,0.8759,0.8579,0.8984,0.8672,0.8783,0.8632,0.877,0.8878
0.5413,0.6365,0.6873,0.6135,0.6974,0.7402,0.7534,0.6995,0.7574,0.754,0.7579,0.7635
0.5643,0.8032,0.7476,0.7754,0.8087,0.8198,0.7868,0.8087,0.8286,0.8426,0.8971,0.8005
0.5873,0.6357,0.6825,0.6913,0.7087,0.7278,0.7138,0.6918,0.7399,0.7439,0.841,0.7728
0.6063,0.7802,0.7341,0.6968,0.6963,0.8101,0.8241,0.7553,0.7548,0.8074,0.8765,0.7627
0.6268,0.8441,0.8727,0.8489,0.8694,0.9059,0.9223,0.8707,0.9372,0.8902,0.8856,0.8849
0.4904,0.7126,0.7126,0.7244,0.6556,0.7943,0.7842,0.7419,0.7169,0.7627,0.7442,0.7667
0.5382,0.7315,0.71,0.6885,0.731,0.7627,0.7652,0.7242,0.7685,0.6761,0.7513,0.7523
0.5957,0.7323,0.706,0.7371,0.7619,0.7965,0.8221,0.7965,0.7887,0.8815,0.8419,0.7779
0.6484,0.6917,0.7805,0.699,0.7792,0.7752,0.7935,0.7256,0.8622,0.8326,0.7769,0.794
0.5645,0.6766,0.7123,0.6981,0.7151,0.7429,0.7067,0.6665,0.7336,0.7983,0.7341,0.7452
0.5789,0.7581,0.8036,0.7485,0.794,0.7915,0.8548,0.7778,0.7553,0.8128,0.8411,0.8059
0.6579,0.6766,0.7556,0.7508,0.7353,0.8203,0.872,0.8214,0.837,0.7986,0.8049,0.7998
0.5643,0.8452,0.8357,0.7198,0.7373,0.881,0.85,0.8108,0.8759,0.8614,0.8272,0.8201
0.523,0.8071,0.8119,0.8167,0.8421,0.8212,0.8214,0.8135,0.8079,0.8153,0.8386,0.8524
0.546,0.7206,0.7246,0.7484,0.6894,0.8085,0.7772,0.7405,0.8175,0.7468,0.8537,0.8955
0.6524,0.7937,0.7659,0.8079,0.8339,0.8574,0.8262,0.869,0.8857,0.8288,0.9077,0.8913
0.5921,0.7103,0.6865,0.6913,0.728,0.6992,0.759,0.6836,0.6765,0.6865,0.6897,0.6923
0.5815,0.7038,0.7469,0.7491,0.7469,0.8125,0.8045,0.7589,0.8075,0.7872,0.8511,0.8261
0.6484,0.8138,0.8043,0.809,0.7494,0.8652,0.8694,0.8351,0.8865,0.8977,0.8862,0.8571
0.5693,0.6336,0.7052,0.6551,0.6673,0.7376,0.7249,0.6959,0.7287,0.7624,0.7391,0.7151
0.5908,0.7196,0.7222,0.6647,0.7095,0.7996,0.7882,0.7482,0.7864,0.7809,0.8259,0.7649
0.622,0.7844,0.7986,0.7437,0.7437,0.8214,0.7925,0.8373,0.8679,0.8451,0.8039,0.7953
0.6476,0.7468,0.7484,0.7151,0.796,0.786,0.8185,0.7839,0.8151,0.778,0.8429,0.8712
0.6294,0.7429,0.7698,0.7103,0.786,0.8212,0.772,0.7712,0.8056,0.8354,0.8235,0.8164
0.6016,0.7706,0.8079,0.7476,0.7511,0.7913,0.8714,0.7696,0.7783,0.7743,0.818,0.7823
0.6016,0.7754,0.7238,0.7897,0.7759,0.8373,0.8259,0.8143,0.8347,0.8212,0.7841,0.8135
0.5556,0.669,0.7016,0.6643,0.7799,0.7995,0.8175,0.778,0.7331,0.7058,0.8058,0.7929
0.6005,0.8018,0.7922,0.718,0.7752,0.7972,0.8306,0.7288,0.8108,0.7749,0.7524,0.7822
0.6221,0.7491,0.7922,0.7586,0.7431,0.784,0.8461,0.7942,0.8534,0.8404,0.8774,0.8937
0.5556,0.7437,0.6778,0.6833,0.7053,0.814,0.7167,0.7029,0.8116,0.8034,0.7574,0.7984
0.6341,0.8175,0.7476,0.8032,0.8042,0.8661,0.8275,0.8151,0.9037,0.8966,0.8794,0.7987
0.5738,0.7286,0.7698,0.7143,0.7635,0.7698,0.7704,0.7458,0.7709,0.795,0.8434,0.7267
0.569,0.7341,0.6508,0.6413,0.6265,0.7762,0.7611,0.7085,0.7759,0.7278,0.7407,0.7103
0.4952,0.7437,0.7619,0.7151,0.6839,0.7664,0.7418,0.7513,0.7347,0.7238,0.7492,0.7939
0.622,0.7938,0.7533,0.7771,0.8024,0.8606,0.836,0.8315,0.8601,0.8229,0.8019,0.8411
0.5908,0.6959,0.7604,0.7363,0.7298,0.767,0.8034,0.733,0.7103,0.7811,0.8305,0.8138
0.6721,0.7675,0.8464,0.7915,0.7627,0.8327,0.8388,0.8209,0.8722,0.8487,0.8398,0.8651
0.5694,0.7732,0.6561,0.7158,0.7,0.7862,0.7283,0.6987,0.8471,0.7737,0.7627,0.8323
0.4857,0.706,0.7251,0.694,0.6684,0.7845,0.7875,0.7411,0.7614,0.7867,0.7762,0.782
0.5786,0.7341,0.6833,0.6929,0.7214,0.7585,0.8325,0.7153,0.7783,0.7913,0.8204,0.7704
0.5833,0.7389,0.8825,0.7802,0.8357,0.8344,0.8669,0.8521,0.796,0.8198,0.7899,0.7937
0.6294,0.7008,0.7381,0.7937,0.8111,0.7799,0.8159,0.7913,0.832,0.7635,0.831,0.7463
0.6016,0.7294,0.7429,0.6921,0.7421,0.7947,0.709,0.727,0.8394,0.8283,0.805,0.8085
0.6341,0.8595,0.9333,0.8595,0.8153,0.8979,0.9489,0.9262,0.9423,0.8884,0.8511,0.8857
0.5478,0.7389,0.71,0.7052,0.6883,0.7072,0.688,0.6743,0.7675,0.7449,0.7222,0.7563
0.6483,0.7222,0.7604,0.7771,0.7581,0.7996,0.8044,0.7713,0.8085,0.8163,0.872,0.8181
0.5908,0.7244,0.7578,0.6933,0.7308,0.813,0.7966,0.7819,0.814,0.8117,0.8193,0.8338
0.6005,0.7589,0.711,0.7158,0.8221,0.7927,0.8155,0.7845,0.7481,0.7534,0.801,0.7955
0.5336,0.797,0.7276,0.718,0.7328,0.7679,0.899,0.7474,0.7075,0.7617,0.8283,0.7997
0.7751,0.8082,0.8679,0.8297,0.8697,0.892,0.8922,0.8381,0.9264,0.8813,0.8704,0.892
0.5741,0.7052,0.7411,0.6526,0.7262,0.7611,0.7409,0.7348,0.7925,0.7819,0.8613,0.816
0.5215,0.6288,0.6551,0.5858,0.6129,0.6791,0.7379,0.6665,0.6673,0.73,0.7386,0.7313
0.6016,0.6738,0.6595,0.6968,0.7325,0.7778,0.7156,0.754,0.8164,0.7616,0.8,0.7918
0.569,0.7246,0.7563,0.6738,0.6762,0.7688,0.7455,0.6852,0.7873,0.7997,0.7735,0.8026
0.6294,0.7714,0.7532,0.7897,0.8069,0.7899,0.8148,0.7963,0.8108,0.8437,0.8426,0.7733
