Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5602,0.7384,0.7153,0.7269,0.6778,0.7525,0.7461,0.7338,0.782,0.8041,0.796,0.761
0.544,0.7269,0.7222,0.7407,0.7161,0.7411,0.7369,0.7383,0.779,0.8024,0.7877,0.8094
0.544,0.713,0.7106,0.7199,0.6944,0.7246,0.7184,0.7199,0.7733,0.7482,0.7183,0.7595
0.5112,0.7372,0.7463,0.7486,0.6835,0.7477,0.7536,0.7453,0.7419,0.776,0.7674,0.7537
0.5273,0.7805,0.7463,0.76,0.7619,0.7904,0.7713,0.7685,0.763,0.8212,0.768,0.7677
0.5431,0.7556,0.767,0.7622,0.781,0.7952,0.8166,0.7877,0.802,0.7626,0.7876,0.8545
0.5091,0.678,0.6827,0.6915,0.6893,0.6959,0.706,0.6727,0.7208,0.7503,0.7511,0.6759
0.5203,0.7304,0.7463,0.7554,0.7161,0.7619,0.7518,0.7632,0.8048,0.764,0.8066,0.786
0.5658,0.7049,0.7323,0.7161,0.6621,0.7211,0.742,0.7266,0.7766,0.8004,0.7673,0.757
0.5648,0.752,0.7497,0.7635,0.7703,0.7769,0.7755,0.7676,0.7854,0.7938,0.8228,0.8079
0.5116,0.7176,0.7269,0.7477,0.697,0.7744,0.7491,0.7576,0.8007,0.7734,0.7923,0.7421
0.544,0.7384,0.7731,0.7639,0.7397,0.7572,0.773,0.7621,0.8273,0.7754,0.8117,0.7763
0.5231,0.7708,0.7222,0.7546,0.7272,0.7745,0.7788,0.7677,0.8401,0.8494,0.8281,0.799
0.5294,0.7049,0.6909,0.7277,0.6822,0.7272,0.7199,0.7165,0.7497,0.7734,0.7833,0.7973
0.5681,0.6687,0.7076,0.6755,0.6975,0.6897,0.7022,0.6782,0.727,0.7395,0.7504,0.7395
0.5545,0.7784,0.7693,0.8057,0.7802,0.7981,0.7779,0.8038,0.8265,0.8391,0.8174,0.7679
0.5499,0.7374,0.7144,0.7397,0.698,0.7415,0.7345,0.7441,0.7204,0.756,0.7173,0.7595
0.5795,0.7461,0.7507,0.7554,0.7119,0.7652,0.7731,0.7698,0.7953,0.7639,0.7981,0.7894
0.5091,0.7188,0.7121,0.7186,0.7042,0.7386,0.7348,0.7227,0.7664,0.7187,0.7502,0.7459
0.5463,0.752,0.7497,0.7451,0.726,0.7629,0.7755,0.751,0.7979,0.7759,0.752,0.7358
0.5602,0.838,0.8171,0.8171,0.7966,0.8535,0.8397,0.8448,0.8534,0.8434,0.875,0.8584
0.5347,0.7292,0.7269,0.7292,0.6554,0.76,0.7419,0.7335,0.7579,0.7592,0.7259,0.7643
0.5347,0.7245,0.7222,0.7176,0.6797,0.7283,0.7254,0.7194,0.7762,0.8025,0.7975,0.7798
0.5362,0.6964,0.7078,0.7169,0.693,0.7216,0.7129,0.7148,0.7273,0.7919,0.8003,0.7595
0.5658,0.7235,0.7144,0.7279,0.6944,0.7581,0.7264,0.73,0.7759,0.7635,0.7645,0.7782
0.5408,0.7689,0.7622,0.7734,0.6638,0.7863,0.7833,0.7802,0.8033,0.7997,0.8024,0.823
0.5249,0.7939,0.7871,0.803,0.7597,0.8098,0.8003,0.8047,0.8337,0.8236,0.8321,0.815
0.5317,0.6482,0.6962,0.6734,0.685,0.6727,0.7031,0.6708,0.7515,0.7186,0.7283,0.7255
0.5431,0.7391,0.7801,0.7617,0.748,0.769,0.8012,0.7712,0.8001,0.8118,0.8094,0.8058
0.5324,0.7081,0.6757,0.6942,0.6961,0.7313,0.7253,0.7142,0.7557,0.7111,0.7277,0.7462
0.5556,0.7315,0.7269,0.7338,0.7279,0.7757,0.7456,0.7533,0.7739,0.7977,0.7765,0.7304
0.5486,0.7824,0.7662,0.7755,0.7634,0.7888,0.7942,0.7749,0.7798,0.7682,0.758,0.7757
0.6667,0.7083,0.6898,0.6991,0.6965,0.7288,0.6981,0.72,0.7702,0.769,0.7296,0.7492
0.559,0.6867,0.6871,0.6706,0.6838,0.6877,0.6795,0.6765,0.7134,0.6963,0.709,0.7214
0.5545,0.751,0.7622,0.7554,0.6803,0.77,0.7771,0.7573,0.7964,0.8182,0.813,0.7945
0.5182,0.7486,0.7093,0.7256,0.6786,0.7514,0.7445,0.7348,0.7635,0.7227,0.7417,0.7121
0.5135,0.7302,0.7461,0.7577,0.7114,0.7674,0.7865,0.7643,0.7616,0.8273,0.8002,0.8065
0.5681,0.7712,0.7645,0.7712,0.7412,0.7951,0.7737,0.7797,0.8468,0.8575,0.8291,0.796
0.5408,0.7507,0.7374,0.7507,0.7431,0.7513,0.7564,0.7525,0.7628,0.8178,0.8151,0.7681
0.5602,0.7497,0.7497,0.759,0.7351,0.7564,0.7564,0.7646,0.7688,0.7611,0.8224,0.8033
0.5347,0.7176,0.6944,0.7083,0.6685,0.7542,0.7536,0.7415,0.7441,0.7538,0.735,0.757
0.5556,0.7153,0.7269,0.7315,0.7037,0.7508,0.7426,0.7394,0.7894,0.7839,0.7903,0.8068
0.5301,0.7269,0.7269,0.7292,0.7448,0.7353,0.7528,0.7266,0.807,0.7858,0.7865,0.7689
0.5112,0.7055,0.7148,0.7146,0.6916,0.7249,0.7177,0.7123,0.7372,0.6962,0.723,0.714
0.5611,0.7461,0.7093,0.7345,0.6801,0.7505,0.7433,0.7434,0.7365,0.754,0.7436,0.7507
0.5249,0.7598,0.7693,0.7575,0.7229,0.7738,0.7792,0.7652,0.8101,0.8091,0.8268,0.8202
0.5522,0.7461,0.7142,0.7414,0.7461,0.7479,0.7336,0.7414,0.7592,0.8001,0.7805,0.7673
0.5476,0.7368,0.737,0.7345,0.7463,0.7688,0.7687,0.7357,0.7929,0.7584,0.7707,0.7849
0.534,0.6987,0.6962,0.7011,0.666,0.7234,0.7092,0.7021,0.7581,0.7194,0.7147,0.7194
0.5648,0.8169,0.8215,0.8192,0.7745,0.8294,0.8369,0.8158,0.8469,0.8224,0.8644,0.8454
0.5162,0.7685,0.7685,0.7662,0.7335,0.7926,0.8069,0.7761,0.7978,0.8282,0.8263,0.8423
0.6134,0.7847,0.7986,0.7963,0.7293,0.8165,0.7917,0.8038,0.806,0.7954,0.7767,0.7885
0.5347,0.7593,0.7037,0.7431,0.7386,0.7608,0.7562,0.748,0.7951,0.8119,0.8107,0.8063
0.5545,0.7486,0.7419,0.7556,0.7075,0.7489,0.7443,0.7542,0.7881,0.745,0.7751,0.7607
0.5203,0.6873,0.6894,0.6915,0.6466,0.705,0.711,0.6874,0.7521,0.6886,0.6775,0.6802
0.5068,0.7144,0.719,0.7188,0.6867,0.7326,0.7409,0.7282,0.7628,0.7279,0.7936,0.8037
0.5408,0.7004,0.7142,0.6797,0.6685,0.725,0.7163,0.6966,0.7429,0.763,0.7493,0.7383
0.5499,0.7622,0.7393,0.7645,0.7564,0.7826,0.7744,0.7733,0.8006,0.7835,0.7863,0.7903
0.518,0.7049,0.7258,0.714,0.7052,0.7366,0.7327,0.7223,0.7323,0.7617,0.7806,0.7696
0.5556,0.7428,0.7588,0.7473,0.7276,0.7714,0.7877,0.7562,0.7808,0.8137,0.796,0.8373
0.5278,0.7037,0.6968,0.7014,0.6777,0.7354,0.7212,0.7053,0.8052,0.7461,0.7598,0.7749
0.5532,0.7269,0.7523,0.7315,0.7534,0.7608,0.7737,0.7472,0.7701,0.7676,0.804,0.7707
0.5208,0.7014,0.706,0.7176,0.6735,0.7258,0.7116,0.7074,0.7788,0.7573,0.7574,0.8046
0.5455,0.7167,0.7008,0.7167,0.727,0.7264,0.7123,0.732,0.7916,0.78,0.795,0.7725
0.5066,0.7368,0.7366,0.7529,0.6859,0.7582,0.7523,0.7498,0.7796,0.7853,0.7523,0.7631
0.5431,0.7461,0.7687,0.7687,0.7584,0.7805,0.7819,0.7777,0.821,0.832,0.8331,0.8568
0.5543,0.7397,0.733,0.7419,0.6863,0.7457,0.7706,0.7638,0.7399,0.7809,0.7711,0.7805
