Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.693,0.9018,0.8988,0.9018,0.8723,0.9018,0.908,0.9018,0.9434,0.9761,0.9507,0.9679
0.6446,0.8951,0.8951,0.8951,0.8428,0.8951,0.8951,0.8951,0.9347,0.9478,0.9394,0.9291
0.6707,0.9105,0.9105,0.9105,0.8388,0.9105,0.9136,0.9105,0.9522,0.9619,0.9544,0.9686
0.7877,0.8798,0.8736,0.8798,0.8804,0.8826,0.9133,0.8798,0.9665,0.9738,0.9704,0.9731
0.7083,0.8951,0.8981,0.8981,0.892,0.8981,0.8981,0.8981,0.9698,0.9437,0.9608,0.9375
0.723,0.9074,0.9043,0.9074,0.9051,0.9074,0.9074,0.9074,0.9718,0.9763,0.9688,0.9842
0.7647,0.892,0.8827,0.892,0.8791,0.892,0.9012,0.892,0.9659,0.9708,0.9711,0.9675
0.7261,0.9444,0.9444,0.9444,0.8034,0.9444,0.9444,0.9444,0.9815,0.9774,0.9693,0.9847
0.7022,0.9136,0.9074,0.9136,0.7892,0.9187,0.9167,0.9136,0.9441,0.9568,0.9414,0.9609
0.7199,0.9074,0.8897,0.9043,0.7927,0.9068,0.9066,0.9043,0.9511,0.9605,0.9633,0.9658
0.6397,0.911,0.908,0.911,0.8335,0.9141,0.9141,0.911,0.9381,0.9531,0.9499,0.96
0.7,0.9259,0.9198,0.9198,0.813,0.9227,0.9198,0.9198,0.9731,0.959,0.9579,0.9609
0.6646,0.9012,0.9012,0.9012,0.8322,0.9043,0.9043,0.9012,0.9584,0.9578,0.9556,0.9674
0.6907,0.9136,0.9105,0.9136,0.8564,0.9167,0.9167,0.9136,0.96,0.964,0.977,0.9726
0.7052,0.9043,0.9012,0.9043,0.9023,0.9043,0.9074,0.9043,0.9567,0.9725,0.9635,0.969
0.7647,0.9321,0.9259,0.8997,0.9221,0.9321,0.9321,0.8994,0.9767,0.9789,0.97,0.9793
0.7346,0.8333,0.9043,0.8511,0.8021,0.8511,0.9047,0.8511,0.925,0.9198,0.921,0.9232
0.7168,0.8981,0.892,0.8981,0.8647,0.9012,0.8981,0.8981,0.9442,0.9722,0.9339,0.9712
0.7407,0.9136,0.9136,0.9136,0.8434,0.9136,0.9136,0.9136,0.9599,0.9706,0.9624,0.9707
0.6157,0.8858,0.8681,0.8858,0.874,0.8841,0.8841,0.8858,0.9578,0.9527,0.9563,0.9669
0.72,0.8988,0.881,0.8988,0.8537,0.8976,0.8976,0.8988,0.9523,0.9677,0.9569,0.9569
0.7584,0.8858,0.8858,0.8858,0.8314,0.8858,0.8951,0.8858,0.9365,0.9349,0.9242,0.9437
0.7338,0.9321,0.929,0.9321,0.8249,0.9321,0.9321,0.9321,0.9767,0.9777,0.9653,0.9731
