Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6426,0.6756,0.6917,0.718,0.7312,0.7613,0.7344,0.7411,0.7014,0.8096,0.8008,0.7857
0.6163,0.7334,0.6442,0.6442,0.7113,0.7551,0.7559,0.6909,0.7642,0.7342,0.703,0.7538
0.6528,0.6246,0.6858,0.6085,0.7084,0.6568,0.6756,0.609,0.6163,0.5865,0.6673,0.6837
0.6426,0.718,0.6756,0.7027,0.725,0.775,0.7615,0.7707,0.7258,0.7347,0.7675,0.7868
0.6477,0.7282,0.7538,0.7282,0.7135,0.7908,0.8045,0.7666,0.7879,0.8351,0.8238,0.786
0.5636,0.6756,0.696,0.6748,0.6829,0.7511,0.7143,0.7092,0.7398,0.7269,0.66,0.718
0.6638,0.797,0.8072,0.797,0.7854,0.8757,0.8622,0.8413,0.8947,0.8789,0.9138,0.8679
0.6638,0.7341,0.6961,0.7012,0.7115,0.7681,0.7106,0.7293,0.7443,0.7681,0.7032,0.6621
0.5958,0.7868,0.805,0.7823,0.6366,0.8552,0.8416,0.8529,0.8183,0.7849,0.835,0.8053
0.5898,0.7854,0.7488,0.7802,0.6723,0.7762,0.8486,0.7873,0.7078,0.8367,0.732,0.787
0.6426,0.8013,0.8488,0.775,0.7078,0.8496,0.8547,0.8002,0.8413,0.8671,0.8343,0.8724
0.6112,0.8123,0.7809,0.8123,0.7849,0.8472,0.8424,0.8128,0.848,0.8128,0.8252,0.7811
0.5849,0.5559,0.6077,0.6085,0.5916,0.6061,0.6566,0.6246,0.623,0.7078,0.6582,0.7006
0.5798,0.707,0.6493,0.6968,0.6963,0.7258,0.7213,0.6963,0.7223,0.7449,0.7151,0.7594
0.6265,0.7919,0.7911,0.7444,0.7618,0.7868,0.782,0.7637,0.7919,0.7919,0.8392,0.8357
0.6053,0.7699,0.7223,0.696,0.6735,0.8037,0.7938,0.7282,0.7607,0.7621,0.7293,0.765
0.6791,0.8072,0.8123,0.8123,0.8547,0.8563,0.8867,0.8343,0.8684,0.8687,0.8397,0.8375
0.5795,0.6755,0.6441,0.6961,0.6549,0.7409,0.7124,0.6953,0.7314,0.7149,0.7108,0.694
0.6514,0.7392,0.7517,0.7596,0.7211,0.8166,0.7409,0.7693,0.8438,0.8112,0.786,0.8231
0.6236,0.699,0.7041,0.7392,0.6655,0.7758,0.7225,0.7647,0.7341,0.7406,0.6922,0.7367
0.7113,0.7334,0.7699,0.8013,0.7041,0.8523,0.8394,0.8112,0.7997,0.7903,0.6912,0.7342
0.5798,0.7137,0.6866,0.6611,0.6332,0.7291,0.681,0.7159,0.6823,0.7374,0.6563,0.696
0.6791,0.7919,0.8072,0.7919,0.7658,0.8257,0.826,0.7905,0.8574,0.8018,0.7865,0.8402
0.6053,0.7538,0.7113,0.7589,0.7006,0.775,0.7825,0.7524,0.7363,0.6533,0.6858,0.6936
0.5798,0.6917,0.6136,0.5924,0.6697,0.6681,0.6958,0.6149,0.6619,0.6732,0.7513,0.7022
