Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7712,0.8263,0.8375,0.785,0.91,0.8569,0.8256,0.8256,0.8862,0.885,0.8462,0.8944
0.6462,0.6813,0.6813,0.6713,0.7056,0.6687,0.7075,0.6925,0.7375,0.7512,0.7994,0.7694
0.6775,0.7125,0.785,0.7738,0.7544,0.8294,0.8225,0.8125,0.8063,0.8131,0.835,0.7913
0.7567,0.75,0.7733,0.7933,0.832,0.862,0.8427,0.8453,0.8527,0.7953,0.7973,0.8613
0.8033,0.8633,0.9067,0.8633,0.9027,0.9113,0.934,0.884,0.9127,0.8387,0.924,0.89
0.6569,0.7934,0.7832,0.8246,0.8374,0.8393,0.8227,0.8176,0.7723,0.8476,0.8629,0.824
0.7608,0.7207,0.8138,0.7723,0.8093,0.8004,0.7953,0.801,0.8182,0.7978,0.8195,0.8501
0.6983,0.7404,0.7302,0.7717,0.8265,0.831,0.8374,0.8214,0.8763,0.8444,0.854,0.9139
0.7194,0.6792,0.7105,0.8036,0.8476,0.8546,0.8099,0.8482,0.8246,0.7621,0.8304,0.8189
0.6046,0.7819,0.7819,0.7615,0.7972,0.8673,0.9056,0.7723,0.8335,0.8916,0.8023,0.8412
0.74,0.7512,0.7412,0.7525,0.81,0.7969,0.7825,0.795,0.7512,0.7919,0.8506,0.8256
0.6687,0.765,0.775,0.7538,0.785,0.8325,0.855,0.8375,0.7694,0.8075,0.8525,0.8356
0.7087,0.775,0.8163,0.775,0.8612,0.8356,0.8325,0.795,0.8681,0.8894,0.8675,0.8875
0.7513,0.6276,0.8151,0.7111,0.7685,0.8119,0.8195,0.78,0.7736,0.7806,0.8418,0.7679
0.6563,0.72,0.7621,0.7513,0.7806,0.7838,0.8476,0.8017,0.7774,0.713,0.7417,0.8182
0.625,0.6569,0.8029,0.6983,0.7813,0.8214,0.8323,0.7105,0.8463,0.8119,0.8884,0.8584
0.6779,0.7825,0.8036,0.7927,0.7806,0.8297,0.8374,0.8125,0.8316,0.8259,0.8195,0.7991
0.7085,0.7717,0.7513,0.7506,0.8125,0.831,0.8272,0.7749,0.8648,0.8119,0.8878,0.8648
0.78,0.79,0.8,0.81,0.866,0.8527,0.8487,0.814,0.8767,0.7733,0.8227,0.7747
0.6467,0.7633,0.7733,0.7533,0.796,0.7407,0.7747,0.79,0.7213,0.8113,0.808,0.8347
0.71,0.7113,0.7425,0.7425,0.7887,0.7875,0.8031,0.7712,0.8125,0.8488,0.8287,0.8294
0.71,0.65,0.6913,0.7113,0.6881,0.725,0.7394,0.7231,0.74,0.7794,0.82,0.745
0.615,0.7212,0.7312,0.7525,0.7756,0.765,0.7662,0.7719,0.8244,0.7662,0.7438,0.8438
0.8233,0.9133,0.9133,0.9133,0.9207,0.9493,0.9687,0.9427,0.9533,0.9333,0.9353,0.9267
0.59,0.7667,0.8033,0.7567,0.7773,0.8427,0.832,0.8047,0.7953,0.7973,0.8113,0.8647
0.7296,0.72,0.7417,0.7628,0.7972,0.7851,0.8195,0.7506,0.8546,0.7621,0.7602,0.7366
0.6773,0.7825,0.7621,0.7927,0.8304,0.8272,0.8208,0.8348,0.882,0.8221,0.8903,0.8355
0.7921,0.7315,0.8042,0.7309,0.8284,0.8265,0.8259,0.7991,0.8393,0.8055,0.8807,0.7915
0.7921,0.8769,0.8667,0.8871,0.8654,0.8941,0.8903,0.8865,0.9088,0.8839,0.9031,0.8916
0.6358,0.7302,0.824,0.7098,0.75,0.7972,0.7997,0.7615,0.8291,0.8246,0.8329,0.8648
0.6887,0.8475,0.8688,0.8063,0.8638,0.8694,0.9056,0.8137,0.825,0.8387,0.8325,0.8363
0.6875,0.7325,0.7125,0.6813,0.7188,0.7775,0.7738,0.7813,0.725,0.7469,0.7625,0.7806
0.6362,0.69,0.6687,0.69,0.6913,0.7837,0.8175,0.7031,0.7562,0.7644,0.8063,0.785
0.68,0.7067,0.72,0.6833,0.792,0.7753,0.76,0.7547,0.766,0.7833,0.7733,0.8087
0.7133,0.73,0.74,0.73,0.7593,0.7633,0.7867,0.726,0.7327,0.7787,0.8147,0.7613
0.6881,0.6792,0.6996,0.7411,0.7111,0.8355,0.7742,0.8444,0.8399,0.7864,0.8724,0.8578
0.6671,0.6684,0.7098,0.7098,0.7985,0.7851,0.794,0.7666,0.8023,0.8125,0.8176,0.8584
0.8546,0.9177,0.9592,0.9177,0.9369,0.9541,0.9579,0.9541,0.9745,0.9298,0.9458,0.9681
0.7194,0.7513,0.7934,0.7615,0.7978,0.8284,0.817,0.8093,0.8438,0.824,0.8189,0.817
0.7085,0.6888,0.72,0.6888,0.7666,0.7557,0.7277,0.7653,0.8673,0.808,0.8278,0.8552
0.7712,0.8037,0.815,0.8037,0.8287,0.8625,0.8612,0.8375,0.9187,0.8888,0.9063,0.8531
0.605,0.785,0.7538,0.8363,0.78,0.8706,0.8213,0.8363,0.8325,0.8106,0.8363,0.8263
0.6775,0.7013,0.7013,0.7013,0.7638,0.7469,0.7538,0.7037,0.7581,0.8313,0.8156,0.8075
0.6365,0.6486,0.7315,0.669,0.6288,0.6671,0.7156,0.6824,0.7219,0.648,0.6964,0.7073
0.6671,0.7404,0.8131,0.6881,0.7813,0.8125,0.8163,0.7538,0.8087,0.8144,0.8418,0.7832
0.646,0.7717,0.72,0.6888,0.7296,0.78,0.7908,0.7417,0.7844,0.7717,0.7385,0.8559
0.7296,0.8865,0.8654,0.7819,0.8399,0.8846,0.8807,0.8074,0.8106,0.8348,0.8253,0.8648
0.75,0.8661,0.8457,0.845,0.9133,0.8744,0.8884,0.8724,0.8967,0.8661,0.8399,0.8731
0.6833,0.8,0.7433,0.7867,0.8387,0.782,0.776,0.776,0.8407,0.8067,0.8253,0.826
0.7233,0.8767,0.82,0.8633,0.842,0.894,0.9147,0.8993,0.834,0.882,0.872,0.8293
0.7925,0.7837,0.7937,0.7837,0.8106,0.8369,0.8606,0.8425,0.865,0.8531,0.8969,0.8912
0.73,0.7525,0.7525,0.7425,0.7863,0.7894,0.7913,0.7519,0.8569,0.835,0.76,0.8
0.6875,0.6787,0.69,0.7312,0.7119,0.8,0.7863,0.75,0.8575,0.8025,0.7844,0.8187
0.6773,0.7404,0.7092,0.7506,0.7545,0.8036,0.7404,0.7857,0.8119,0.7813,0.8731,0.8259
0.6046,0.7819,0.8552,0.7608,0.8367,0.8763,0.8935,0.831,0.8954,0.8431,0.8527,0.845
0.7296,0.7411,0.8138,0.7825,0.8112,0.7717,0.8202,0.7608,0.8329,0.8214,0.7813,0.8157
0.625,0.7003,0.7315,0.7309,0.7462,0.7902,0.8278,0.7417,0.7997,0.8399,0.7825,0.7825
0.6563,0.845,0.7825,0.8246,0.8673,0.8571,0.8425,0.845,0.8699,0.896,0.8603,0.9114
0.77,0.7367,0.7133,0.8,0.8627,0.8173,0.8087,0.802,0.898,0.832,0.85,0.816
0.6733,0.7667,0.8,0.81,0.788,0.836,0.8327,0.8413,0.8187,0.7593,0.7953,0.774
0.73,0.765,0.765,0.7538,0.8413,0.8075,0.7588,0.8081,0.8656,0.8744,0.9113,0.855
0.7813,0.7625,0.8037,0.7837,0.8181,0.8413,0.8794,0.8325,0.7619,0.805,0.7894,0.7963
0.7087,0.6813,0.7438,0.7225,0.8719,0.7731,0.8069,0.7175,0.765,0.8106,0.8131,0.7994
0.6046,0.7098,0.7411,0.7098,0.7494,0.7277,0.7793,0.7213,0.8195,0.7934,0.8584,0.8151
0.7411,0.7003,0.7526,0.7105,0.7494,0.7538,0.7915,0.7315,0.8348,0.8514,0.7851,0.7851
0.6046,0.845,0.8967,0.7927,0.8297,0.875,0.8929,0.8737,0.8163,0.8431,0.8457,0.8457
0.646,0.6582,0.6996,0.6792,0.6378,0.6964,0.6818,0.6792,0.8457,0.7213,0.7755,0.8055
0.6046,0.7411,0.7309,0.72,0.8099,0.8291,0.8106,0.7334,0.824,0.8291,0.8151,0.831
0.79,0.9267,0.9367,0.8833,0.9587,0.954,0.9913,0.8967,0.9407,0.8733,0.9013,0.9053
0.7233,0.85,0.84,0.8833,0.86,0.8987,0.8847,0.8853,0.8967,0.8813,0.824,0.858
0.7725,0.7963,0.89,0.8163,0.8213,0.8488,0.8919,0.8688,0.8588,0.81,0.8137,0.795
0.7612,0.815,0.8462,0.815,0.9156,0.8688,0.8538,0.8313,0.8919,0.8531,0.8975,0.8962
0.6375,0.6375,0.69,0.6687,0.6713,0.7806,0.7544,0.7181,0.7556,0.7825,0.7775,0.7775
0.6667,0.6467,0.71,0.72,0.736,0.7393,0.7253,0.7387,0.776,0.7547,0.7667,0.818
0.7,0.6433,0.7067,0.6633,0.7533,0.7267,0.75,0.6907,0.8013,0.8087,0.802,0.8073
0.6358,0.699,0.7411,0.7513,0.764,0.773,0.7774,0.7398,0.7991,0.8233,0.8055,0.8406
0.7092,0.7838,0.7213,0.8042,0.7959,0.7838,0.7895,0.7908,0.8221,0.8412,0.8074,0.7953
0.771,0.845,0.8552,0.845,0.8112,0.8673,0.8763,0.845,0.8036,0.8329,0.8616,0.8151
0.75,0.8131,0.8756,0.8756,0.838,0.8833,0.9063,0.8731,0.9037,0.8954,0.8635,0.9445
0.7296,0.7519,0.7832,0.7411,0.8253,0.8469,0.8514,0.8138,0.8597,0.8756,0.8335,0.8782
0.7712,0.7125,0.785,0.7538,0.8525,0.8113,0.7981,0.7575,0.8413,0.8294,0.8287,0.8331
0.7087,0.7312,0.7937,0.7825,0.7469,0.7963,0.7963,0.7638,0.7044,0.755,0.7781,0.8119
