Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.619,0.6939,0.6259,0.7211,0.6885,0.7498,0.7318,0.7196,0.7711,0.6895,0.7381,0.7702
0.6327,0.7245,0.6803,0.6224,0.6521,0.7532,0.7541,0.7595,0.7109,0.6501,0.7031,0.6477
0.675,0.75,0.795,0.725,0.7935,0.812,0.804,0.776,0.815,0.8425,0.817,0.7805
0.6,0.81,0.79,0.805,0.782,0.8385,0.851,0.859,0.7795,0.8305,0.858,0.8845
0.725,0.79,0.765,0.755,0.782,0.7835,0.8075,0.8205,0.834,0.8195,0.8575,0.851
0.65,0.695,0.73,0.78,0.7415,0.801,0.7945,0.807,0.821,0.847,0.8615,0.805
0.605,0.695,0.67,0.645,0.6915,0.7465,0.7645,0.6705,0.769,0.695,0.804,0.7995
0.65,0.71,0.755,0.75,0.7095,0.781,0.796,0.7665,0.791,0.8115,0.8265,0.76
0.5546,0.6332,0.6832,0.6786,0.6255,0.8138,0.8352,0.7301,0.7587,0.774,0.7607,0.7214
0.6546,0.748,0.7173,0.7173,0.7372,0.7342,0.7964,0.7255,0.7888,0.7684,0.8194,0.7255
0.605,0.75,0.755,0.8,0.6935,0.8155,0.8455,0.852,0.8635,0.7165,0.8725,0.8375
0.625,0.725,0.66,0.755,0.722,0.742,0.788,0.784,0.816,0.8415,0.8415,0.8445
0.625,0.7,0.73,0.71,0.654,0.7535,0.749,0.7145,0.743,0.7955,0.795,0.7935
0.74,0.77,0.755,0.76,0.773,0.8325,0.849,0.796,0.8285,0.8695,0.862,0.839
0.65,0.64,0.68,0.695,0.682,0.6925,0.713,0.649,0.7715,0.7225,0.7105,0.639
0.675,0.765,0.76,0.75,0.75,0.787,0.7875,0.781,0.793,0.9065,0.894,0.902
0.5612,0.6327,0.5442,0.6769,0.7522,0.6929,0.6672,0.674,0.689,0.7357,0.6914,0.6973
0.6429,0.7483,0.7483,0.7721,0.7328,0.7983,0.845,0.7575,0.8649,0.8688,0.881,0.8382
0.6,0.6888,0.7934,0.7388,0.6878,0.8679,0.8444,0.8393,0.8255,0.7719,0.7796,0.8189
0.6194,0.6673,0.7061,0.6173,0.6597,0.6694,0.7459,0.6929,0.7128,0.6842,0.7296,0.7092
0.59,0.765,0.635,0.77,0.6165,0.7865,0.7945,0.7285,0.6385,0.7935,0.706,0.799
0.615,0.64,0.59,0.6,0.624,0.6865,0.633,0.6305,0.7355,0.797,0.724,0.779
0.575,0.725,0.755,0.75,0.673,0.7835,0.765,0.7695,0.739,0.768,0.8565,0.7605
0.615,0.82,0.805,0.785,0.712,0.833,0.864,0.83,0.822,0.844,0.846,0.874
0.665,0.79,0.695,0.79,0.773,0.8145,0.8345,0.7965,0.809,0.8235,0.86,0.8375
0.65,0.605,0.63,0.69,0.667,0.6795,0.78,0.678,0.7855,0.764,0.7885,0.8345
0.6429,0.6395,0.7279,0.7347,0.6438,0.7225,0.7459,0.7585,0.759,0.8134,0.7809,0.8076
0.6803,0.6701,0.6667,0.6939,0.7167,0.7085,0.76,0.6793,0.8066,0.7862,0.8061,0.8076
0.6398,0.8036,0.7923,0.7776,0.776,0.8699,0.8214,0.7872,0.8056,0.8066,0.8673,0.8071
0.7,0.7934,0.7628,0.8128,0.7388,0.8357,0.8306,0.851,0.8291,0.9173,0.8872,0.8439
0.619,0.8401,0.7245,0.8401,0.7245,0.8479,0.9368,0.8805,0.8178,0.8902,0.8528,0.8659
0.7619,0.8061,0.7279,0.7551,0.8115,0.8771,0.8635,0.8129,0.897,0.9116,0.8737,0.8639
0.665,0.695,0.755,0.735,0.76,0.82,0.7845,0.767,0.7715,0.868,0.865,0.8855
0.665,0.715,0.715,0.74,0.71,0.7755,0.821,0.7465,0.843,0.7995,0.8185,0.828
0.625,0.675,0.675,0.715,0.709,0.7705,0.7835,0.758,0.7835,0.7305,0.752,0.7365
0.625,0.65,0.73,0.69,0.674,0.7825,0.7945,0.775,0.776,0.7885,0.7315,0.6895
0.655,0.725,0.725,0.68,0.6815,0.761,0.7495,0.747,0.7355,0.7785,0.7485,0.7945
0.575,0.79,0.77,0.78,0.7615,0.838,0.8305,0.8245,0.8525,0.7725,0.8135,0.7525
0.5796,0.6423,0.6413,0.6265,0.6571,0.6724,0.652,0.6821,0.6485,0.6163,0.623,0.7046
0.5796,0.6434,0.673,0.7036,0.6704,0.6857,0.7112,0.7046,0.7791,0.8316,0.8495,0.8112
0.69,0.645,0.695,0.775,0.736,0.7595,0.7405,0.7725,0.777,0.774,0.8185,0.7425
0.665,0.605,0.59,0.605,0.6645,0.675,0.7305,0.6505,0.745,0.7325,0.766,0.7225
0.625,0.68,0.74,0.73,0.728,0.772,0.8495,0.7365,0.8265,0.7305,0.7395,0.751
0.575,0.71,0.815,0.765,0.6655,0.879,0.892,0.8055,0.8525,0.8615,0.809,0.8545
0.625,0.715,0.755,0.715,0.684,0.7575,0.7815,0.763,0.811,0.693,0.7295,0.673
0.6,0.655,0.725,0.705,0.6595,0.7125,0.685,0.7195,0.673,0.7435,0.8135,0.7925
0.6497,0.7449,0.7211,0.6871,0.6973,0.7381,0.7959,0.6793,0.776,0.8285,0.8022,0.8139
0.6667,0.7789,0.6939,0.8401,0.7964,0.8508,0.8503,0.8362,0.8192,0.8416,0.8635,0.8751
0.625,0.8582,0.7832,0.7663,0.8168,0.8939,0.8811,0.8714,0.8316,0.8796,0.8653,0.8663
0.6398,0.7082,0.7128,0.7128,0.674,0.7684,0.7883,0.7643,0.7806,0.799,0.8209,0.801
0.605,0.62,0.57,0.625,0.6365,0.665,0.697,0.6435,0.7635,0.711,0.788,0.7435
0.675,0.685,0.635,0.68,0.733,0.709,0.746,0.715,0.78,0.775,0.7915,0.7645
0.535,0.8,0.745,0.72,0.691,0.8135,0.8315,0.795,0.7785,0.7245,0.8045,0.782
0.63,0.655,0.685,0.635,0.715,0.6585,0.713,0.649,0.7355,0.729,0.705,0.717
0.6,0.57,0.74,0.615,0.576,0.633,0.633,0.6275,0.8045,0.701,0.7045,0.759
0.65,0.78,0.84,0.76,0.7,0.815,0.8255,0.7855,0.7665,0.8805,0.804,0.8695
0.7619,0.7925,0.7687,0.8299,0.8285,0.9043,0.9052,0.8844,0.897,0.8999,0.9402,0.8984
0.6667,0.7891,0.7925,0.7381,0.7852,0.8445,0.8309,0.7566,0.8513,0.7886,0.8173,0.7979
0.575,0.7332,0.773,0.7786,0.6893,0.7791,0.8107,0.825,0.7724,0.7872,0.8071,0.8398
0.625,0.799,0.7878,0.7536,0.7464,0.8709,0.8923,0.8602,0.824,0.8658,0.8383,0.8418
0.555,0.69,0.68,0.69,0.6625,0.6775,0.6545,0.6645,0.7055,0.7115,0.7025,0.793
0.7,0.74,0.73,0.805,0.738,0.817,0.8625,0.873,0.831,0.847,0.907,0.807
0.675,0.79,0.695,0.75,0.7585,0.8345,0.8155,0.7765,0.833,0.8545,0.8535,0.8255
