Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6667,0.7063,0.673,0.7396,0.7162,0.791,0.6946,0.7378,0.8532,0.6973,0.7712,0.6883
0.6198,0.7459,0.7126,0.7658,0.6198,0.8306,0.7405,0.7946,0.8009,0.7982,0.7414,0.7225
0.5532,0.6586,0.6721,0.6586,0.7225,0.6613,0.6667,0.6441,0.6234,0.6685,0.6721,0.5928
0.5532,0.4919,0.4919,0.4919,0.5288,0.5,0.4865,0.4946,0.6649,0.6279,0.5793,0.5234
0.6865,0.6856,0.6856,0.6523,0.6748,0.7144,0.6802,0.6874,0.8126,0.7423,0.8315,0.7036
0.6,0.6324,0.6523,0.6658,0.6982,0.6739,0.6541,0.6874,0.736,0.7045,0.7342,0.7613
0.6,0.5991,0.6856,0.6856,0.7486,0.6874,0.6892,0.6856,0.7468,0.736,0.7838,0.8126
0.6865,0.7054,0.6919,0.6919,0.7108,0.7099,0.6883,0.6919,0.7973,0.7874,0.7964,0.7802
0.7361,0.7222,0.7361,0.7535,0.8082,0.7491,0.7691,0.7439,0.8472,0.7969,0.7951,0.7526
0.5333,0.6583,0.625,0.625,0.5074,0.6676,0.675,0.6861,0.7676,0.7157,0.725,0.7694
0.6,0.6793,0.6793,0.6793,0.655,0.6721,0.6721,0.6721,0.7586,0.7613,0.7243,0.7261
0.5865,0.6793,0.6324,0.6658,0.6297,0.6937,0.6685,0.6613,0.7541,0.7685,0.6937,0.791
0.5667,0.7991,0.7991,0.7523,0.7901,0.7766,0.8018,0.7928,0.8054,0.8072,0.8099,0.8658
0.6667,0.7045,0.6784,0.7315,0.7423,0.7468,0.7604,0.7468,0.8162,0.8126,0.8676,0.7901
0.673,0.7459,0.7459,0.6793,0.6955,0.7432,0.7279,0.7333,0.755,0.7414,0.7523,0.7252
0.7,0.7117,0.7054,0.7117,0.764,0.7757,0.7261,0.7649,0.8306,0.8414,0.7874,0.8081
0.6667,0.5856,0.5856,0.5721,0.6396,0.5676,0.5856,0.5721,0.6784,0.6252,0.7532,0.6622
0.6063,0.5919,0.5919,0.5919,0.5775,0.5811,0.582,0.5847,0.6568,0.6775,0.6577,0.6739
0.5486,0.7431,0.7292,0.7431,0.5773,0.7257,0.7292,0.7431,0.8125,0.7717,0.7925,0.8385
0.5861,0.65,0.6639,0.6639,0.6213,0.6852,0.663,0.6657,0.7139,0.763,0.7491,0.7009
0.6,0.7658,0.6991,0.6658,0.7477,0.7757,0.7351,0.7099,0.8279,0.8009,0.7901,0.7982
0.6198,0.6649,0.7252,0.6586,0.6622,0.7063,0.7234,0.7108,0.7901,0.7829,0.727,0.809
0.6333,0.6054,0.6387,0.5991,0.6126,0.6297,0.6396,0.6369,0.6748,0.7955,0.7054,0.7045
0.6333,0.5784,0.5919,0.5919,0.5919,0.5622,0.5973,0.5757,0.7261,0.6207,0.6838,0.6387
0.6667,0.6387,0.6387,0.6054,0.6892,0.6306,0.6252,0.6252,0.7135,0.6748,0.7,0.7009
0.6928,0.7856,0.7856,0.8189,0.8,0.7973,0.8081,0.8162,0.8117,0.8486,0.8198,0.7703
0.5667,0.7532,0.7198,0.7396,0.6198,0.7369,0.7378,0.7468,0.7928,0.7468,0.8532,0.7964
0.5865,0.5658,0.6189,0.5856,0.6036,0.5586,0.5667,0.6009,0.6081,0.645,0.6225,0.6775
0.6111,0.7396,0.691,0.7396,0.6406,0.7448,0.7396,0.7396,0.8116,0.8168,0.737,0.7622
0.6,0.6556,0.6556,0.6556,0.6083,0.6926,0.6407,0.6556,0.7694,0.5944,0.7917,0.725
0.5667,0.5523,0.5658,0.5856,0.5937,0.582,0.5892,0.5856,0.6865,0.6676,0.6937,0.6631
0.673,0.7315,0.745,0.718,0.7288,0.7216,0.7297,0.7243,0.8252,0.7423,0.7838,0.782
0.5198,0.5919,0.6252,0.6252,0.591,0.6,0.618,0.6252,0.7027,0.6342,0.6297,0.6495
0.573,0.6586,0.6117,0.6784,0.5982,0.673,0.6351,0.6568,0.6613,0.6766,0.6739,0.7324
0.6,0.5991,0.6459,0.6793,0.6757,0.7297,0.6613,0.6721,0.6865,0.6288,0.6324,0.7252
0.6532,0.773,0.773,0.773,0.7396,0.7658,0.7712,0.7712,0.8595,0.7856,0.8288,0.8342
0.6,0.8126,0.7793,0.7793,0.8261,0.7928,0.7892,0.818,0.8351,0.8306,0.845,0.8378
0.7333,0.6586,0.6721,0.6721,0.7171,0.6775,0.6595,0.6658,0.8099,0.7207,0.7099,0.7342
0.5938,0.5729,0.5868,0.5729,0.6094,0.6554,0.6181,0.5773,0.7014,0.7969,0.7786,0.7231
0.6333,0.7111,0.7111,0.7111,0.6556,0.7556,0.7185,0.7407,0.837,0.8148,0.787,0.8
0.6667,0.6784,0.7054,0.6784,0.7604,0.7162,0.6946,0.6865,0.8,0.7622,0.7432,0.7901
0.7198,0.7387,0.7189,0.7189,0.755,0.7613,0.755,0.7468,0.7604,0.8099,0.7189,0.7766
0.6667,0.8595,0.8063,0.8396,0.7333,0.8712,0.8432,0.8333,0.8883,0.8577,0.8919,0.864
0.5396,0.5315,0.545,0.5649,0.5991,0.5414,0.5432,0.5477,0.5955,0.5631,0.6342,0.691
0.6667,0.6721,0.6856,0.7387,0.7162,0.7198,0.7333,0.7261,0.7486,0.809,0.7432,0.7964
0.5865,0.5991,0.6324,0.6054,0.6613,0.6288,0.6099,0.6081,0.6955,0.6784,0.7171,0.6405
0.6063,0.6991,0.6991,0.6991,0.7054,0.7477,0.7297,0.7315,0.8252,0.7874,0.7216,0.7757
0.5667,0.5991,0.5991,0.5991,0.6405,0.6369,0.5991,0.5991,0.7541,0.7631,0.7216,0.7423
0.6111,0.6806,0.6944,0.6944,0.6797,0.6832,0.6832,0.6875,0.7778,0.7734,0.7231,0.7752
0.5667,0.6222,0.6694,0.7028,0.7583,0.6935,0.6852,0.6972,0.7741,0.7167,0.775,0.7259
0.6333,0.6919,0.6856,0.7054,0.745,0.736,0.6937,0.7027,0.7613,0.791,0.736,0.7775
0.6198,0.7324,0.6658,0.6991,0.682,0.745,0.6901,0.7234,0.7838,0.7541,0.745,0.818
0.5063,0.6252,0.6387,0.6387,0.6009,0.6216,0.6243,0.6162,0.6333,0.5748,0.6703,0.6649
0.6,0.5991,0.6324,0.6324,0.6468,0.6676,0.6541,0.6568,0.6495,0.7333,0.6937,0.6658
0.7,0.6586,0.6721,0.6721,0.7351,0.6874,0.673,0.6658,0.7586,0.6973,0.7396,0.7162
0.573,0.6784,0.645,0.6586,0.6234,0.6784,0.6703,0.6586,0.7108,0.7081,0.7252,0.7279
0.6,0.645,0.6586,0.645,0.5775,0.6991,0.6793,0.6523,0.773,0.7306,0.7027,0.7459
0.6865,0.6856,0.7459,0.7793,0.6982,0.764,0.7685,0.7685,0.818,0.827,0.7441,0.7297
0.6111,0.6806,0.7083,0.6806,0.7274,0.7283,0.7083,0.6944,0.7517,0.7639,0.7188,0.7274
0.6667,0.7833,0.7028,0.75,0.7037,0.7481,0.7398,0.75,0.8287,0.8481,0.8241,0.8259
0.6,0.7721,0.7991,0.7991,0.6468,0.7928,0.8072,0.7982,0.7505,0.7396,0.7243,0.6892
0.6667,0.7793,0.7459,0.7459,0.8198,0.7685,0.8018,0.7721,0.8883,0.8315,0.8649,0.8396
