Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.2222,0.562,0.5289,0.5455,0.1356,0.5641,0.5333,0.5546,0.32,0.5484,0.528,0.544
0.2,0.5517,0.5424,0.5667,0.4598,0.5763,0.5246,0.5667,0.3117,0.6087,0.5789,0.5812
0.1667,0.5299,0.5203,0.5378,0.2388,0.5517,0.5424,0.5424,0.5412,0.5424,0.5424,0.5217
0.0667,0.5739,0.5862,0.5913,0.0339,0.5636,0.5536,0.5965,0.4146,0.5818,0.5556,0.5556
0.1034,0.6379,0.5862,0.6087,0.1034,0.614,0.6435,0.6018,0.3733,0.6607,0.6038,0.6195
0.1639,0.6071,0.625,0.605,0.1639,0.5913,0.6441,0.5983,0.5435,0.614,0.625,0.614
0.0357,0.4865,0.4954,0.5043,0.4651,0.4815,0.5,0.4602,0.2059,0.4685,0.4952,0.4528
0.0984,0.5664,0.5862,0.5983,0.1563,0.5913,0.5739,0.6034,0.439,0.547,0.5946,0.5614
0.2424,0.5161,0.5574,0.5271,0.4494,0.5156,0.5484,0.5354,0.4578,0.4694,0.4717,0.5192
0.2295,0.5833,0.5862,0.592,0.2,0.5902,0.562,0.5873,0.4186,0.5641,0.5636,0.569
0.0678,0.5333,0.5455,0.5738,0.0345,0.5902,0.5391,0.5378,0.439,0.5,0.5926,0.5299
0.1846,0.5556,0.6116,0.592,0.209,0.5806,0.6,0.6016,0.5055,0.5517,0.5641,0.5806
0.1017,0.6066,0.5424,0.5806,0.1356,0.5854,0.5614,0.5738,0.4096,0.5405,0.5556,0.5391
0.129,0.5161,0.4923,0.5484,0.0984,0.5203,0.4961,0.5323,0.5057,0.5546,0.5323,0.5323
0.2462,0.4696,0.531,0.4786,0.2687,0.4912,0.5133,0.4786,0.3077,0.5045,0.4685,0.5
0.1967,0.6429,0.6306,0.6783,0.254,0.6667,0.6372,0.6842,0.5349,0.6481,0.6355,0.6372
0.1905,0.5818,0.5391,0.5872,0.4819,0.5741,0.5586,0.5741,0.2817,0.5524,0.5524,0.5849
0.2769,0.5785,0.5882,0.5983,0.3478,0.605,0.5574,0.6,0.5476,0.5487,0.5739,0.5614
0.0357,0.5424,0.5345,0.5366,0.0345,0.5167,0.5345,0.5366,0.5,0.5484,0.5424,0.5167
0.1695,0.5913,0.5862,0.5841,0.2295,0.5893,0.5965,0.5841,0.3188,0.5766,0.5913,0.5714
0.2222,0.6992,0.6614,0.6721,0.1017,0.6885,0.6325,0.6774,0.3889,0.6825,0.6733,0.6984
0.1356,0.5385,0.5397,0.5385,0.1379,0.5426,0.5197,0.5271,0.3333,0.5424,0.5041,0.5437
0.1356,0.541,0.5424,0.528,0.1639,0.541,0.5345,0.528,0.4048,0.487,0.5,0.5357
0.1563,0.5185,0.537,0.5505,0.1538,0.5505,0.5088,0.5455,0.4941,0.5333,0.5688,0.5243
0.2424,0.5517,0.5391,0.5546,0.4819,0.5739,0.5345,0.5641,0.425,0.5421,0.5439,0.5688
0.1613,0.6116,0.605,0.6129,0.1935,0.5932,0.6218,0.608,0.4762,0.6387,0.6218,0.6102
0.1017,0.64,0.6341,0.6508,0.1034,0.6504,0.6066,0.6613,0.3421,0.6435,0.6496,0.6549
0.1311,0.4386,0.5133,0.4779,0.0678,0.4545,0.4821,0.4821,0.2319,0.4771,0.4952,0.4779
0.1639,0.5645,0.619,0.5891,0.5393,0.6066,0.64,0.5806,0.5,0.5873,0.5932,0.595
0.1333,0.5455,0.4898,0.5143,0.475,0.5253,0.5385,0.5243,0.2388,0.5049,0.4902,0.5098
0.2,0.5546,0.5455,0.5593,0.2857,0.5714,0.5574,0.55,0.3611,0.5321,0.5289,0.5424
0.1905,0.6325,0.614,0.6167,0.6047,0.6102,0.6207,0.605,0.4444,0.5913,0.6102,0.5763
0.4742,0.5161,0.4918,0.5041,0.4468,0.5042,0.4786,0.5397,0.4948,0.4828,0.464,0.5299
0.2187,0.4918,0.5,0.4677,0.2187,0.5,0.5,0.4874,0.3133,0.5273,0.4952,0.5091
0.1967,0.5965,0.605,0.5983,0.1875,0.6087,0.6218,0.5983,0.3733,0.5636,0.6281,0.5872
0.0702,0.5913,0.5197,0.55,0.1034,0.5593,0.5528,0.541,0.4198,0.521,0.5124,0.5345
0.0678,0.5593,0.5785,0.6034,0.1311,0.5789,0.5812,0.6034,0.3721,0.5981,0.5913,0.5893
0.2462,0.6167,0.6102,0.6167,0.2388,0.6387,0.6102,0.6167,0.4416,0.6195,0.6071,0.6102
0.1613,0.5882,0.5818,0.5882,0.1311,0.5932,0.6055,0.5882,0.5227,0.6306,0.6034,0.5983
0.2222,0.5862,0.5862,0.5983,0.2222,0.5913,0.5812,0.5913,0.4103,0.5225,0.6226,0.6
0.1356,0.5333,0.5,0.521,0.1667,0.5254,0.528,0.521,0.381,0.4957,0.4915,0.5042
0.2,0.5405,0.5517,0.5546,0.2769,0.5593,0.5299,0.5424,0.4634,0.5347,0.5437,0.5686
0.1311,0.5397,0.5517,0.544,0.5275,0.544,0.5882,0.544,0.4762,0.544,0.5323,0.5271
0.0667,0.5321,0.5524,0.5455,0.0678,0.5421,0.5524,0.5455,0.2963,0.5133,0.5143,0.5357
0.2353,0.5785,0.5197,0.5556,0.4783,0.5556,0.5197,0.56,0.325,0.5426,0.5203,0.5385
0.1017,0.6,0.6306,0.595,0.1017,0.6218,0.6071,0.6116,0.2933,0.5714,0.569,0.595
0.1935,0.5785,0.5333,0.5691,0.1333,0.5528,0.5574,0.5645,0.3467,0.5333,0.569,0.5714
0.1875,0.56,0.5667,0.5556,0.1613,0.5645,0.5556,0.5556,0.4819,0.5528,0.5574,0.5667
0.1333,0.5234,0.5133,0.5283,0.069,0.5143,0.5091,0.5143,0.3377,0.5049,0.5321,0.5149
0.2295,0.6838,0.6957,0.6897,0.2295,0.6607,0.6897,0.6667,0.5195,0.6441,0.713,0.6441
0.0968,0.5938,0.6016,0.5891,0.127,0.5984,0.625,0.5846,0.506,0.5741,0.6,0.5741
0.3714,0.6379,0.6609,0.6552,0.4651,0.6552,0.6087,0.6441,0.5,0.5739,0.6018,0.5714
0.1356,0.5983,0.5225,0.5714,0.2222,0.5833,0.5565,0.5833,0.4368,0.5487,0.6034,0.5641
0.1967,0.5913,0.5841,0.6071,0.2258,0.6071,0.5862,0.6018,0.481,0.5688,0.6078,0.5981
0.0984,0.5047,0.5045,0.5043,0.0656,0.4956,0.5321,0.4912,0.425,0.4259,0.4038,0.4404
0.0351,0.5391,0.5487,0.5424,0.0678,0.5593,0.5812,0.5641,0.4048,0.5546,0.5,0.547
0.1613,0.5124,0.5333,0.48,0.2154,0.4918,0.5082,0.5041,0.4048,0.5391,0.5254,0.4912
0.1905,0.605,0.5714,0.6102,0.1639,0.6034,0.6087,0.6116,0.5301,0.6364,0.614,0.6087
0.0968,0.5161,0.5565,0.528,0.0968,0.528,0.5246,0.5323,0.4138,0.55,0.5424,0.5254
0.2,0.5789,0.5758,0.5738,0.2258,0.5833,0.5983,0.5833,0.3846,0.5714,0.5862,0.6102
0.1053,0.5347,0.5192,0.5234,0.1053,0.5049,0.52,0.5094,0.2941,0.5098,0.5225,0.5243
0.2121,0.5397,0.576,0.5426,0.2424,0.5538,0.5968,0.5455,0.6122,0.5641,0.5739,0.5882
0.1,0.5179,0.5167,0.5391,0.129,0.5487,0.5042,0.5179,0.2388,0.5143,0.5225,0.5472
0.1667,0.5439,0.5225,0.5439,0.1356,0.5487,0.5133,0.5391,0.5412,0.5094,0.5607,0.4954
